ID,EffectAura,DifficultyID,EffectIndex,Effect,EffectAmplitude,EffectAttributes,EffectAuraPeriod,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectPos_facing,EffectRealPointsPerLevel,EffectTriggerSpell,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectBasePointsF,EffectMiscValue_0,EffectMiscValue_1,EffectRadiusIndex_0,EffectRadiusIndex_1,EffectSpellClassMask_0,EffectSpellClassMask_1,EffectSpellClassMask_2,EffectSpellClassMask_3,ImplicitTarget_0,ImplicitTarget_1,SpellID
4322,0,0,1,44,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.25,0,1,1,516,0,0,0,0,0,0,0,0,0,10239
4402,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.25,0,1,0,2520,0,0,0,0,0,0,0,1,0,10459
4427,0,0,0,24,0,0,0,0,1,0,8216,0,0,0,0,0,0,1,0,0.25,0,1,1,0,0,0,0,0,0,0,0,1,0,10562
4743,4,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,21,0,11196
4923,0,0,0,24,0,0,0,0,1,0,9316,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11545
4925,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2932,0,0,0,0,0,0,0,1,0,11547
5064,3,0,0,6,1,0,3000,0.10000000149,1,0,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,0,6,0,11918
5743,0,0,0,24,0,0,0,0,1,0,10716,0,0,0,0,0,0,1,0,0.25,0,1,1,0,0,0,0,0,0,0,0,1,0,12899
5961,189,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,16,0,0,0,0,0,0,0,1,0,13462
6083,0,0,0,53,0,0,0,0,1,0,38816,0,0,0,0,0,0,1,0.15000000596,0,0,1,0,4736,11,0,0,0,0,0,0,0,0,13659
6102,189,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10,16,0,0,0,0,0,0,0,1,0,13690
6289,189,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10,393216,0,0,0,0,0,0,0,1,0,13928
6957,3,0,0,6,1,0,2000,0,1,0,0,15,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,0,6,0,14874
6977,3,0,0,6,1,0,2000,0,1,0,0,15,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,0,6,0,14903
7101,69,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,120,16,0,0,0,0,0,0,0,1,0,15044
7743,0,0,0,24,0,0,0,0,1,0,12216,0,0,0,0,0,0,1,0,0.25,0,1,1,0,0,0,0,0,0,0,0,1,0,15915
7791,3,0,0,6,1,0,2000,0,1,0,0,15,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,0,6,0,15976
8081,22,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.30000001192,0,0,1,0,16,0,0,0,0,0,0,0,1,0,16325
8130,87,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-15,16,0,0,0,0,0,0,0,25,0,16392
8374,0,0,0,24,0,0,0,0,1,0,12416,0,0,0,0,0,0,1,0,0.25,0,1,1,0,0,0,0,0,0,0,0,1,0,16645
8833,3,0,1,6,1,0,2000,0.0270000007,1,0,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,0,6,0,17140
8874,3,0,1,6,1,0,2000,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,0,6,0,17170
9016,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,16,0,0,0,0,0,6,16,17276
9109,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,11144,64,16,0,0,0,0,0,47,0,17449
9217,69,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.36100000143,0.5,0,1,0,16,0,0,0,0,0,0,0,1,0,17544
10668,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,11727,64,16,0,0,0,0,0,18,0,19459
10814,74,0,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,100,16,0,0,0,0,0,0,0,25,0,19595
11499,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,12806,64,16,0,0,0,0,0,18,0,20506
11595,87,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,16,0,0,0,0,0,0,0,1,0,20596
11717,0,0,0,76,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,178205,0,16,0,0,0,0,0,47,0,20737
11827,0,0,0,24,0,0,0,0,1,0,17016,0,0,0,0,0,0,1,0,0.25,0,1,1,0,0,0,0,0,0,0,0,1,0,20897
11972,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13148,64,16,0,0,0,0,0,53,0,21154
12031,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,13136,64,16,0,0,0,0,0,47,0,21327
12227,0,0,0,61,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7216,0,0,0,0,0,0,0,0,0,21538
12392,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,13620,66,16,0,0,0,0,0,18,0,21837
12473,13,0,0,6,0,0,0,0,1,0,0,0,0,0,0,21923,0,1,0.85000002384,0,0,1,0,16,0,0,0,0,0,0,0,1,0,21920
12485,13,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.20000000298,0,0,1,0,16,0,0,0,0,0,0,0,1,0,21930
12492,102,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,20,16,0,0,0,0,0,0,0,1,0,21937
12493,131,0,1,6,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,20,16,0,0,0,0,0,0,0,1,0,21937
12496,0,0,0,24,0,0,0,0,1,0,17716,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,21940
12667,87,0,1,6,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1100,16,0,0,0,0,0,0,0,1,0,22278
12825,0,0,0,111,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,16,0,0,0,0,0,0,0,1,0,22619
13149,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,14397,64,16,0,0,0,0,0,18,0,22939
13222,0,0,0,104,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,179604,3,16,0,0,0,0,0,47,0,22996
13235,0,0,0,104,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,179624,3,16,0,0,0,0,0,47,0,23005
13245,0,0,0,28,1000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,14305,4612,16,0,0,0,0,0,32,0,23013
13269,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1500,14465,4088,16,0,0,0,0,0,47,0,23034
13270,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1500,14466,4088,16,0,0,0,0,0,47,0,23035
13366,74,0,0,6,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,100,16,0,0,0,0,0,0,0,1,0,23131
13394,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,14504,64,16,0,0,0,0,0,22,32,23159
13812,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1500,14751,121,16,0,0,0,0,0,47,0,23538
13813,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1500,14752,121,16,0,0,0,0,0,47,0,23539
14387,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,1,0,24173
14671,107,0,0,6,0,0,0,1,1,0,16416,0,0,0,0,0,0,1,0,0,0,1,-2000,11,0,0,0,16416,0,0,0,1,0,24429
14930,0,0,0,86,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,40,0,24734
14945,0,0,0,86,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,40,0,24744
14961,0,0,0,86,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,40,0,24756
14964,0,0,0,86,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,40,0,24758
14967,0,0,0,86,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,40,0,24760
14971,0,0,0,86,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,40,0,24763
14973,0,0,0,86,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,40,0,24765
14978,0,0,0,86,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,40,0,24768
14981,0,0,0,86,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,40,0,24770
14984,0,0,0,86,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,40,0,24772
14998,0,0,0,86,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,40,0,24784
15001,0,0,0,86,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,40,0,24786
15004,0,0,0,86,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,40,0,24788
15006,0,0,0,86,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,40,0,24789
15008,0,0,0,86,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,40,0,24790
15095,0,0,0,24,0,0,0,1,1,0,20416,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,24874
15244,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15368,64,16,0,0,0,0,0,18,0,25024
15292,13,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.27000001073,0,0,1,0,16,0,0,0,0,0,0,0,1,0,25066
15443,0,0,0,24,0,0,0,0,1,0,20816,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,25255
15467,0,0,0,252,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,6,48,25371
15622,0,0,0,76,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,180660,0,16,0,0,0,0,0,32,0,25720
15761,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,8,0,25822
15895,4,0,0,27,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,16,0,0,0,0,0,18,28,25996
15948,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15710,3221,16,0,0,0,0,0,47,0,26045
15971,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,15718,64,16,0,0,0,0,0,18,0,26060
16132,0,0,0,252,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,6,48,26196
16231,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,15717,64,16,0,0,0,0,0,18,0,26284
16349,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,15902,64,16,0,0,0,0,0,18,0,26392
16388,0,0,0,24,0,0,0,0,1,0,21716,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,26427
16825,0,0,0,28,1000000000,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11325,41,16,0,0,0,0,0,32,0,26972
17016,69,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,63.92694091797,0.5,0,1,400,16,0,0,0,0,0,0,0,1,0,27534
17266,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,1,0,27771
17430,189,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,15,16,0,0,0,0,0,0,0,1,0,27940
17477,13,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.57700002193,0,0,1,0,16,0,0,0,0,0,0,0,1,0,27980
17565,189,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.34999999404,0,0,1,0,393216,0,0,0,0,0,0,0,1,0,28093
17960,13,0,0,6,0,0,0,0,1,0,0,0,0,0,0,28549,0,1,1.12199997902,0,0,1,0,16,0,0,0,0,0,0,0,1,0,28493
17986,69,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.33806499839,0.35299998522,0,1,0,16,0,0,0,0,0,0,0,1,0,28512
18162,189,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,150,393216,0,0,0,0,0,0,0,1,0,28701
18237,87,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-5,16,0,0,0,0,0,0,0,1,0,28766
18259,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,16,0,0,0,0,6,0,28783
18369,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,38,0,28861
18372,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3000,0,0,16,0,0,0,0,0,1,0,28863
18463,0,0,0,24,0,0,0,0,1,0,23116,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,28948
18594,64,0,1,6,1,0,1000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,0,6,0,29098
18741,0,0,0,28,0,0,0,0,1,0,0,0,0,5.21853017807,0,0,0,1,0,0,0,1,2,16983,64,16,0,0,0,0,0,17,0,29223
18742,0,0,1,28,0,0,0,0,1,0,0,0,0,5.21853017807,0,0,0,1,0,0,0,1,1.5,16981,64,16,0,0,0,0,0,17,0,29223
18756,0,0,0,28,0,0,0,0,1,0,0,0,0,5.51524019241,0,0,0,1,0,0,0,1,1,16984,64,16,0,0,0,0,0,17,0,29237
18757,0,0,1,28,0,0,0,0,1,0,0,0,0,4.55530977249,0,0,0,1,0,0,0,1,1.5,16984,64,16,0,0,0,0,0,17,0,29237
18758,0,0,2,28,0,0,0,0,1,0,0,0,0,2.93214988708,0,0,0,1,0,0,0,1,1,16984,64,16,0,0,0,0,0,17,0,29237
18817,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9378,0,0,0,0,0,0,0,1,0,29294
18858,4,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,16,0,0,0,0,0,18,0,29322
19019,0,0,0,53,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0.47999998927,0,0,1,0,2716,0,0,0,0,0,0,0,0,0,29480
19181,0,0,0,24,0,0,0,0,1,0,23516,0,0,0,0,0,0,1,0,0.25,0,1,1,0,0,0,0,0,0,0,0,1,0,29615
19255,0,0,0,28,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,18342,64,16,0,0,0,0,0,18,0,29683
19666,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,18,0,30101
19703,0,0,0,28,0,0,0,1,1,0,0,0,0,0.55850499868,0,0,0,1,0,0,0,1,1,17248,64,16,0,0,0,0,0,17,0,30120
19755,0,0,0,28,0,0,0,0,1,0,0,0,0,1.329859972,0,0,0,1,0,0,0,1,0,17265,64,16,0,0,0,0,0,17,0,30171
19762,0,0,0,28,0,0,0,0,1,0,0,0,0,6.15220022202,0,0,0,1,0,0,0,1,0,17265,64,16,0,0,0,0,0,17,0,30179
19781,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,1,0,30201
19858,0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,88,0,30262
19859,0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,88,0,30263
19860,0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,88,0,30264
19861,4,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,88,0,30265
19981,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9538,0,0,0,0,0,0,0,1,0,30419
20029,0,0,1,30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,16,0,0,0,0,0,0,0,1,0,30451
20087,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,17471,64,16,0,0,0,0,0,53,0,30496
20151,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,17470,64,16,0,0,0,0,0,53,0,30539
20336,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,18370,64,16,0,0,0,0,0,63,0,30744
20341,0,0,0,149,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,63,8,30751
20392,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9595,0,10,0,0,0,0,0,22,15,30790
20624,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9666,0,0,0,0,0,0,0,1,0,30988
20705,0,0,0,24,0,0,0,0,1,0,24116,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,31071
20828,22,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,8.85478210449,16,0,0,0,0,0,0,0,1,0,31256
20929,0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9711,0,23,0,0,0,0,0,22,15,31336
20932,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9711,0,0,0,0,0,0,0,25,0,31339
20954,4,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,63,0,31361
20977,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9711,0,20,0,0,0,0,0,22,30,31377
21056,0,0,0,24,0,0,0,0,1,0,24255,0,0,0,0,0,0,1,0,0.25,0,1,1,0,0,0,0,0,0,0,0,1,0,31442
21072,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.25,0,1,36.17543411255,0,0,0,0,0,0,0,0,6,0,31457
21344,3,0,0,6,1,0,2000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,0,6,0,31715
21914,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9889,0,0,11,0,0,0,0,22,15,32174
22040,4,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,18,52,32286
22089,3,0,2,6,0,0,3000,0,1,0,0,0,0,0,1.5,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,0,6,0,32317
22109,3,0,1,6,0,0,3000,0,1,0,0,0,0,0,0,0,0,1,0,0.25,0,1,53.48331451416,0,0,0,0,0,0,0,0,6,0,32328
22163,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18430,64,16,0,0,0,0,0,18,0,32372
22333,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18553,64,16,0,0,0,0,0,18,0,32564
22391,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,1,0,32618
22424,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,53,0,32647
22472,13,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,1,0,32698
22521,3,0,1,6,1,0,2000,0.10000000149,1,0,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,0,6,0,32739
22589,0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,88,0,32812
23137,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,0,1,0,33283
23381,14,0,1,6,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,20,16,0,0,0,0,0,0,0,6,0,33528
23436,0,0,0,28,0,0,0,0,1,0,0,0,0,3.12187004089,0,0,0,1,0,0,0,1,1,19224,64,16,0,0,0,0,0,17,0,33566
23446,0,0,0,28,0,0,0,0,1,0,0,0,0,3.12187004089,0,0,0,1,0,0,0,1,1,19226,64,16,0,0,0,0,0,17,0,33582
23447,0,0,0,28,0,0,0,0,1,0,0,0,0,1.36024999619,0,0,0,1,0,0,0,1,1,19226,64,16,0,0,0,0,0,17,0,33583
23448,0,0,0,28,0,0,0,0,1,0,0,0,0,5.58017015457,0,0,0,1,0,0,0,1,1,19226,64,16,0,0,0,0,0,17,0,33584
23449,0,0,0,28,0,0,0,0,1,0,0,0,0,0.04773399979,0,0,0,1,0,0,0,1,1,19226,64,16,0,0,0,0,0,17,0,33585
23450,0,0,0,28,0,0,0,0,1,0,0,0,0,6.01282978058,0,0,0,1,0,0,0,1,1,19226,64,16,0,0,0,0,0,17,0,33586
