3.4.0.43659
q(11189),	-- One Last Time	 WOTLK:One Last Time	 CATA:One Last Time	 MOP:One Last Time
q(25092),	-- Subduing the Elements	 WOTLK:Elemental Research	 CATA:Elemental Research	 MOP:Elemental Research
q(25180),	-- Tablets of the Earth	 WOTLK:Tablets of the Earth	 CATA:Tablets of the Earth	 MOP:Tablets of the Earth
q(25181),	-- Tablets of Fire	 WOTLK:Tablets of Fire	 CATA:Tablets of Fire	 MOP:Tablets of Fire
q(25228),	-- Prophecies Of Doom
q(25253),	-- Prophecies Of Doom
q(25254),	-- Signs Of The Times
q(25282),	-- Signs Of The Times
q(25286),	-- Words for Delivery	 WOTLK:Words for Delivery	 CATA:Words for Delivery	 MOP:Words for Delivery
q(25288),	-- Infiltrating The Cult
q(25290),	-- Infiltrating the Cult
q(25293),	-- The Missing
q(25343),	-- The Master's Plan
q(25347),	-- The Doomsday Plan
q(25348),	-- Thwarting Twilight's Hammer
q(25351),	-- Alert Our Leaders
q(25380),	-- Spreading The Word
q(25414),	-- The Missing
q(25415),	-- Spreading The Word
q(25416),	-- The Master's Plan
q(25417),	-- The Doomsday Plan
q(25418),	-- Thwarting Twilight's Hammer
q(25425),	-- Warn King Wrynn
3.4.0.44729
q(70349),	--
3.4.0.45854
q(70354),	-- WOTLK:Northrend Expedition Supplies	 CATA:Northrend Expedition Supplies	 MOP:Northrend Expedition Supplies
q(70356),	-- WOTLK:Northrend Expedition Supplies	 CATA:Northrend Expedition Supplies	 MOP:Northrend Expedition Supplies
q(70395),	-- WOTLK:A New Beginning	 CATA:A New Beginning	 MOP:A New Beginning
q(70396),	-- WOTLK:A New Beginning	 CATA:A New Beginning	 MOP:A New Beginning
q(70397),	-- WOTLK:Tools for Survival	 CATA:Tools for Survival	 MOP:Tools for Survival
q(70398),	-- WOTLK:Combat Training	 CATA:Combat Training	 MOP:Combat Training
q(70401),	-- WOTLK:Talented	 CATA:Talented	 MOP:Talented
q(70411),	-- WOTLK:To the Dockmaster	 CATA:To the Dockmaster	 MOP:To the Dockmaster
q(70663),	--
q(70664),	--
q(70665),	--
q(70666),	--
q(70667),	--
q(70668),	--
q(70669),	--
q(70670),	--
q(70671),	--
q(70672),	--
q(70673),	--
q(70674),	--
q(70675),	--
q(70676),	--
q(70677),	--
q(70678),	--
q(70679),	--
q(70680),	--
q(70681),	--
q(70682),	--
q(70683),	--
q(70684),	--
q(70685),	-- WOTLK:Tuskarr Kite	 CATA:Tuskarr Kite	 MOP:Tuskarr Kite
q(70686),	--
q(70687),	--
q(70688),	--
q(70689),	--
q(70690),	--
q(70691),	--
q(70692),	--
q(70693),	--
q(70694),	--
q(70695),	--
q(70696),	--
q(70734),	-- WOTLK:Tools for Survival	 CATA:Tools for Survival	 MOP:Tools for Survival
q(70735),	-- WOTLK:Combat Training	 CATA:Combat Training	 MOP:Combat Training
q(70736),	-- WOTLK:Talented	 CATA:Talented	 MOP:Talented
q(70737),	-- WOTLK:To the Zeppelin Master	 CATA:To the Zeppelin Master	 MOP:To the Zeppelin Master
q(70760),	--
q(70761),	-- WOTLK:Tools for Survival	 CATA:Tools for Survival	 MOP:Tools for Survival
q(70762),	-- WOTLK:A New Beginning	 CATA:A New Beginning	 MOP:A New Beginning
q(70764),	-- WOTLK:Combat Training	 CATA:Combat Training	 MOP:Combat Training
q(70765),	-- WOTLK:Talented	 CATA:Talented	 MOP:Talented
q(70855),	--
q(70860),	--
q(70861),	--
q(70862),	-- WOTLK:Hoplet	 CATA:Hoplet	 MOP:Hoplet
q(70865),	-- WOTLK:To Shattrath City	 CATA:To Shattrath City	 MOP:To Shattrath City
q(70868),	-- WOTLK:Talented	 CATA:Talented	 MOP:Talented
q(70869),	-- WOTLK:Talented	 CATA:Talented	 MOP:Talented
q(70870),	-- WOTLK:Talented	 CATA:Talented	 MOP:Talented
q(70998),	-- WOTLK:Frosty	 CATA:Frosty	 MOP:Frosty
q(70999),	-- WOTLK:Frosty	 CATA:Frosty	 MOP:Frosty
q(71098),	--
q(71099),	--
q(71100),	--
q(71101),	--
q(71102),	--
q(71103),	--
q(71104),	--
q(71105),	--
q(71106),	--
q(71107),	--
q(71108),	--
q(71109),	--
q(71110),	--
q(71111),	--
q(71112),	--
q(71113),	--
q(71114),	--
q(71115),	--
q(71116),	--
q(71117),	--
q(71118),	--
q(71119),	--
q(71120),	--
q(71121),	--
q(71122),	--
q(71123),	--
q(71124),	--
q(71125),	--
q(71126),	--
q(71127),	--
q(71128),	--
q(71129),	--
q(71130),	--
q(71131),	--
q(71132),	--
q(71133),	--
q(71134),	--
3.4.0.45942
q(72433),	--
3.4.0.46779
q(72522),	-- WOTLK:Festering Emerald Drake	 CATA:Festering Emerald Drake	 MOP:Festering Emerald Drake
3.4.2.49311
q(76175),	--
3.4.3.51126
q(78165),	-- WOTLK:Talented	 CATA:Talented	 MOP:Talented
3.4.3.51278
q(78505),	-- WOTLK:Daily Protocol Gamma Random (1st)	 CATA:Daily Protocol Gamma Random (1st)	 MOP:Daily Protocol Gamma Random (1st)
q(78509),	-- WOTLK:Daily Non-Protocol Gamma Heroic Random (1st)	 CATA:Daily Non-Protocol Gamma Heroic Random (1st)	 MOP:Daily Non-Protocol Gamma Heroic Random (1st)
3.4.3.52237
q(74940),	-- WOTLK:Flurky	 CATA:Flurky	 MOP:Flurky
q(75491),	-- WOTLK:Glub	 CATA:Glub	 MOP:Glub
q(77167),	--
q(77168),	--
q(78135),	--
q(78136),	-- WOTLK:A New Beginning	 CATA:A New Beginning	 MOP:A New Beginning
q(78137),	-- WOTLK:A New Beginning	 CATA:A New Beginning	 MOP:A New Beginning
q(78138),	-- WOTLK:A New Beginning	 CATA:A New Beginning	 MOP:A New Beginning
q(78139),	--
q(78140),	-- WOTLK:Tools for Survival	 CATA:Tools for Survival	 MOP:Tools for Survival
q(78151),	-- WOTLK:Tools for Survival	 CATA:Tools for Survival	 MOP:Tools for Survival
q(78157),	-- WOTLK:Combat Training	 CATA:Combat Training	 MOP:Combat Training
q(78158),	-- WOTLK:Combat Training	 CATA:Combat Training	 MOP:Combat Training
q(78164),	-- WOTLK:Talented	 CATA:Talented	 MOP:Talented
q(78166),	-- WOTLK:To Northrend	 CATA:To Northrend	 MOP:To Northrend
q(78167),	-- WOTLK:Talented	 CATA:Talented	 MOP:Talented
q(78168),	-- WOTLK:To Northrend	 CATA:To Northrend	 MOP:To Northrend
q(78219),	-- WOTLK:A New Beginning	 CATA:A New Beginning	 MOP:A New Beginning
q(78220),	-- WOTLK:Tools for Survival	 CATA:Tools for Survival	 MOP:Tools for Survival
q(78221),	-- WOTLK:Combat Training	 CATA:Combat Training	 MOP:Combat Training
q(78222),	-- WOTLK:Talented	 CATA:Talented	 MOP:Talented
q(78223),	-- WOTLK:To Northrend	 CATA:To Northrend	 MOP:To Northrend
q(78224),	-- WOTLK:Talented	 CATA:Talented	 MOP:Talented
q(78225),	-- WOTLK:To Northrend	 CATA:To Northrend	 MOP:To Northrend
3.4.3.54948
q(83699),	--
q(83709),	--
q(83713),	--
q(83714),	--
q(83717),	--
3.4.3.55325
q(84385),	--
q(84386),	--
3.4.3.55392
q(84553),	--
3.4.3.55417
q(84552),	--
3.4.3.58936
q(87379),	--
