1.15.0.52124
i(202256),	-- Privateer's Ornate Pistol
i(213552),	-- Tear of Theradras
i(213553),	-- Tear of Theradras
i(213554),	-- Vial of Crystal Water
i(213558),	-- Elemental Salve
i(213563),	-- Field Guide
i(213564),	-- Scroll of Minor Evocation
i(213565),	-- Entomology Starter Kit
i(213583),	-- Brimstone Carving
i(213594),	-- Idol of the Heckler
i(213599),	-- Unsettling Vision
i(213632),	-- Partial Spell Notes
i(213633),	-- Partial Spell Notes
i(213634),	-- Partial Spell Notes
i(213701),	-- Strong Harpy Feather
i(213709),	-- Cloud Serpent Fang
i(213737),	-- Offering to the Wind Spirit
i(214435),	-- Cougar Cage Key
i(215112),	-- UNUSED - Cloak of Arcane Insulation
i(215113),	-- UNUSED - Razor-Lined Shoulderpads
i(215116),	-- UNUSED - Hyperconductive Speed Belt
i(215126),	-- UNUSED Flask of Merciless Pursuit
i(215371),	-- Jani's Charm
i(215394),	-- Waylaid Supplies: Lesser Stoneshield Potions
i(215405),	-- Waylaid Supplies: Gnomish Rocket Boots
i(215406),	-- Waylaid Supplies: Goblin Mortars
i(215425),	-- Swamp Echo
i(215426),	-- Graveyard Echo
i(215427),	-- Arathi Echo
i(215428),	-- Theramore Echo
i(215434),	-- UNUSED
i(215441),	-- Broken Hammer
i(215443),	-- Shattered Orb Fragment
i(215450),	-- Tabard Project (Aidan)
i(215456),	-- Singed Message
i(215458),	-- Enclosed Message
i(215459),	-- Enclosed Message
i(215460),	-- Enclosed Message
i(215468),	-- Orders from the Grand Crusader
i(215683),	-- Geomancy: The Stone-Cold Truth
i(215815),	-- Defensive Magics 101
i(215816),	-- A Web of Lies: Debunking Myths and Legends
i(215817),	-- Demons and You
i(215820),	-- Mummies: A Guide to the Unsavory Undead
i(215822),	-- RwlRwlRwlRwl!
i(215824),	-- A Ludite's Guide to Caring for Your Demonic Pet
i(216523),	-- Rusted Cage Key
i(216549),	-- Reins of the Bengal Tiger
i(216610),	-- Orders from the Grand Crusader
i(216616),	-- Compound Cage Key
i(216617),	-- Kurzen Fighter's Uniform
i(216618),	-- Captain Aransas' Reward
i(216633),	-- Hydraulic Truesilver Strut
i(216636),	-- Charged Voidcore
i(216698),	-- Sergeant Major's Dragonhide Armsplints
i(216699),	-- Sergeant Major's Chain Armguards
i(216700),	-- Sergeant Major's Leather Armsplints
i(216701),	-- Sergeant Major's Plate Wristguards
i(216702),	-- Sergeant Major's Silk Cuffs
i(216703),	-- First Sergeant's Mail Wristguards
i(216704),	-- First Sergeant's Dragonhide Armguards
i(216705),	-- First Sergeant's Plate Bracers
i(216706),	-- First Sergeant's Leather Armguards
i(216707),	-- First Sergeant's Silk Cuffs
i(216879),	-- Mysterious Troll Scroll
i(216880),	-- Deciphered Troll Scroll
i(216938),	-- Greater Insignia of the Alliance
i(216939),	-- Greater Insignia of the Horde
i(216956),	-- Torn Letter
i(217017),	-- Fishing Tournament!
i(217161),	-- Spell Notes: TROFF IRESTBOL
1.15.1.53247
i(217248),	-- Earthen Silk Belt
i(217249),	-- Pattern: Earthen Silk Belt
i(217252),	-- Long Silken Cloak
i(217255),	-- Crimson Silk Belt
i(217256),	-- Earthen Vest
i(217260),	-- Pattern: Big Voodoo Mask
i(217262),	-- Pattern: Big Voodoo Robe
i(217264),	-- Pattern: Guardian Leather Bracers
i(217266),	-- Pattern: Guardian Belt
i(217271),	-- Pattern: Turtle Scale Gloves
i(217693),	-- Invisibility Potion
1.15.2.53941
i(217609),	-- Talisman of Kazdor
i(217717),	-- Hollow Emblem
i(217718),	-- Emblem of Blood Magic
i(217719),	-- Blood Magic Essence
i(217720),	-- Offering of Flesh
i(217721),	-- Offering of Bone
i(217727),	-- Ward of the Dead
i(217737),	-- Modified Talisman
i(218083),	-- Tail of Eranikus
i(219345),	-- Infernal Lasso
i(219399),	-- Nightmare Moss
i(219401),	-- Cold Iron Ore
i(219402),	-- Dream-Touched Dragonscale
i(219404),	-- Shadowscythe
i(219405),	-- Ogre Magi Text
i(219406),	-- Unhatched Green Dragon Egg
i(219414),	-- Shattered Eggshells
i(219444),	-- Dreamroot
i(219445),	-- Fool's Gold Dust
i(219446),	-- Dream-Infused Dragonscale
i(219447),	-- Dream-Touched Dragon Egg
i(219448),	-- Dreamengine
i(219449),	-- Azsharan Prophecy
i(219454),	-- Star Lotus
i(219486),	-- Starsilver Ore
i(219487),	-- Starshell
i(219488),	-- Star-Touched Dragonegg
i(219490),	-- Elunar Relic
i(219491),	-- Dreampearl
i(219514),	-- Moonroot
i(219515),	-- Greater Moonstone
i(219517),	-- Moondragon Scale
i(219518),	-- Harpy Screed
i(219519),	-- Mad Keeper's Notes
i(219520),	-- Moonglow Dragonegg
i(219759),	-- Charla's Field Report
i(219770),	-- Gemeron's Field Report
i(219771),	-- Thandros' Field Report
i(219772),	-- Fallia's Field Report
i(219776),	-- Intelligence Report: Vul'gol Ogre Mound
i(219778),	-- Intelligence Report: Rotting Orchard
i(219803),	-- Intelligence Report: Yorgen Farmstead
i(219918),	-- Bloody Missive
i(219924),	-- Intelligence Report: Forest Song
i(219925),	-- Intelligence Report: Satyrnaar
i(219926),	-- Intelligence Report: Warsong Lumber Camp
i(219928),	-- Intelligence Report: Agol'watha
i(219929),	-- Bloody Missive
i(219930),	-- Bloody Missive
i(219935),	-- Kajind's Blade
i(219937),	-- Intelligence Report: Shaol'watha
i(219938),	-- Intelligence Report: Skulk Rock
i(219957),	-- Intelligence Report: Oneiros
i(219958),	-- Intelligence Report: Twin Colossals
i(219959),	-- Intelligence Report: Ruins of Ravenwind
i(220166),	-- Fiery Infernal Core
i(220167),	-- Shimmering Grave Dust
i(220169),	-- Symbol of Faith
i(220213),	-- Fel Lifeblood
i(220214),	-- Infernal Chain Link
i(220216),	-- Infernal Lasso
i(220217),	-- Rune of the Ravenous
i(220345),	-- Sanguine Sorcery
i(220346),	-- Legends of the Tidesages
i(220347),	-- The Liminal and the Arcane
i(220348),	-- Everyday Etiquette
i(220349),	-- Stonewrought Design
i(220350),	-- Venomous Journeys
i(220351),	-- Murky Air Sapta
i(220352),	-- A Mind of Metal
i(220353),	-- Conjurer's Codex
i(220375),	-- Fragment of Air
i(220379),	-- Torn Shaman's Notes
i(220446),	-- Otherworldly Treasure
i(220510),	-- Elemental Essence
i(220525),	-- Glowing Fragment of Air
i(220526),	-- Sludge-Covered G-7 C.O.R.E. Processor
i(220531),	-- Undulating Purple Flower
i(220570),	-- Mantle of Nightmares
i(220682),	-- Rune of the Unbridled
i(220687),	-- Rune of the Raptor
i(220754),	-- Rune of the Windstorm
i(220791),	-- Rune of the Jungle Cat
i(220794),	-- Knight's Plate Hauberk
i(220795),	-- Knight-Lieutenant's Plate Pauldrons
i(220796),	-- Blood Guard's Plate Pauldrons
i(220797),	-- Knight's Plate Leggings
i(220798),	-- Stone Guard's Plate Leggings
i(220799),	-- Sergeant Major's Plate Greaves
i(220800),	-- First Sergeant's Plate Greaves
i(220801),	-- Stone Guard's Plate Armor
i(220803),	-- Blood Guard's Plate Helm
i(220804),	-- Knight-Lieutenant's Plate Helm
i(220806),	-- Sergeant Major's Plate Gauntlets
i(220807),	-- First Sergeant's Plate Gauntlets
i(220808),	-- Knight-Lieutenant's Imbued Pauldrons
i(220809),	-- Knight's Imbued Leggings
i(220810),	-- Knight-Lieutenant's Imbued Helmet
i(220811),	-- Sergeant Major's Imbued Greaves
i(220812),	-- Sergeant Major's Imbued Gauntlets
i(220813),	-- Knight's Imbued Armor
i(220814),	-- Sergeant Major's Lamellar Boots
i(220815),	-- Knight's Lamellar Chestplate
i(220816),	-- Knight's Lamellar Legplates
i(220817),	-- Sergeant Major's Lamellar Gauntlets
i(220818),	-- Knight-Lieutenant's Lamellar Pauldrons
i(220819),	-- Knight-Lieutenant's Lamellar Helm
i(220820),	-- Blood Guard's Mail Helmet
i(220821),	-- Blood Guard's Chain Helmet
i(220822),	-- Knight-Lieutenant's Chain Helmet
i(220823),	-- Blood Guard's Mail Epaulets
i(220824),	-- Blood Guard's Chain Epaulets
i(220825),	-- Knight-Lieutenant's Chain Epaulets
i(220826),	-- Stone Guard's Mail Armor
i(220827),	-- Stone Guard's Chain Armor
i(220828),	-- Knight's Chain Armor
i(220829),	-- Sergeant Major's Chain Gauntlets
i(220830),	-- First Sergeant's Chain Gauntlets
i(220831),	-- First Sergeant's Mail Gauntlets
i(220832),	-- Knight's Chain Legplates
i(220833),	-- Stone Guard's Chain Legplates
i(220834),	-- Stone Guard's Mail Legplates
i(220835),	-- First Sergeant's Mail Sabatons
i(220836),	-- First Sergeant's Chain Sabatons
i(220837),	-- Sergeant Major's Chain Sabatons
i(220838),	-- Stone Guard's Inscribed Chestpiece
i(220839),	-- Stone Guard's Inscribed Legplates
i(220840),	-- First Sergeant's Inscribed Sabatons
i(220841),	-- Blood Guard's Inscribed Shoulder Pads
i(220842),	-- Blood Guard's Inscribed Skullcap
i(220843),	-- First Sergeant's Inscribed Gauntlets
i(220844),	-- Stone Guard's Pulsing Breastplate
i(220845),	-- First Sergeant's Pulsing Gauntlets
i(220846),	-- First Sergeant's Pulsing Greaves
i(220847),	-- Stone Guard's Pulsing Legplates
i(220848),	-- Blood Guard's Pulsing Helmet
i(220849),	-- Blood Guard's Pulsing Shoulders
i(220850),	-- Knight-Lieutenant's Leather Headband
i(220851),	-- Blood Guard's Leather Headband
i(220852),	-- Knight-Lieutenant's Leather Shoulders
i(220853),	-- Blood Guard's Leather Shoulders
i(220854),	-- Knight's Leather Armor
i(220855),	-- Stone Guard's Leather Armor
i(220856),	-- Sergeant Major's Leather Gauntlets
i(220857),	-- First Sergeant's Leather Gauntlets
i(220858),	-- Knight's Leather Pants
i(220859),	-- Stone Guard's Leather Pants
i(220860),	-- Sergeant Major's Leather Boots
i(220861),	-- First Sergeant's Leather Boots
i(220862),	-- Sergeant Major's Crackling Leather Boots
i(220863),	-- First Sergeant's Crackling Leather Boots
i(220864),	-- Knight's Crackling Leather Leggings
i(220865),	-- Stone Guard's Crackling Leather Leggings
i(220866),	-- Sergeant Major's Crackling Leather Gauntlets
i(220867),	-- First Sergeant's Crackling Leather Gauntlets
i(220868),	-- Knight's Crackling Leather Tunic
i(220869),	-- Stone Guard's Crackling Leather Tunic
i(220870),	-- Knight-Lieutenant's Crackling Leather Spaulders
i(220871),	-- Blood Guard's Crackling Leather Spaulders
i(220872),	-- Knight-Lieutenant's Crackling Leather Helmet
i(220873),	-- Blood Guard's Crackling Leather Helmet
i(220874),	-- Knight-Lieutenant's Restored Leather Helm
i(220875),	-- Blood Guard's Restored Leather Helm
i(220876),	-- Knight-Lieutenant's Restored Leather Spaulders
i(220877),	-- Blood Guard's Restored Leather Spaulders
i(220878),	-- Knight's Restored Leather Jerkin
i(220879),	-- Stone Guard's Restored Leather Jerkin
i(220880),	-- Sergeant Major's Restored Leather Gloves
i(220881),	-- First Sergeant's Restored Leather Gloves
i(220882),	-- Knight's Restored Leather Leggings
i(220883),	-- Stone Guard's Restored Leather Leggings
i(220884),	-- Sergeant Major's Restored Leather Boots
i(220885),	-- First Sergeant's Restored Leather Boots
i(220886),	-- Knight's Dreadweave Vest
i(220887),	-- Knight-Lieutenant's Dreadweave Mantle
i(220888),	-- Knight's Dreadweave Leggings
i(220889),	-- Knight-Lieutenant's Dreadweave Hat
i(220890),	-- Sergeant Major's Dreadweave Gloves
i(220891),	-- Sergeant Major's Dreadweave Boots
i(220892),	-- Knight's Satin Armor
i(220893),	-- Knight's Satin Leggings
i(220894),	-- Knight-Lieutenant's Satin Pads
i(220895),	-- Sergeant Major's Satin Boots
i(220896),	-- Knight-Lieutenant's Satin Cover
i(220897),	-- Sergeant Major's Satin Gloves
i(220898),	-- First Sergeant's Satin Gloves
i(220899),	-- Blood Guard's Satin Cover
i(220900),	-- First Sergeant's Satin Boots
i(220901),	-- Blood Guard's Satin Pads
i(220902),	-- Stone Guard's Satin Leggings
i(220903),	-- Stone Guard's Satin Armor
i(220904),	-- Stone Guard's Dreadweave Vest
i(220905),	-- Blood Guard's Dreadweave Mantle
i(220906),	-- Stone Guard's Dreadweave Leggings
i(220907),	-- Blood Guard's Dreadweave Hat
i(220908),	-- First Sergeant's Dreadweave Gloves
i(220909),	-- First Sergeant's Dreadweave Boots
i(220914),	-- Broken Geode Hammer
i(220915),	-- Idol of the Raging Shambler
i(220964),	-- Decharged Void-Powered Vambraces
i(221017),	-- Keldara's Log
i(221018),	-- Field Medicine Kit
i(221019),	-- Satyrweed Sample
i(221020),	-- Rune of the Moon Goddess
i(221030),	-- Atal'ai Mojo of Forbidden Magic
i(221191),	-- Dreamstone
i(221192),	-- Dream Journal
i(221196),	-- Atal'ai Mojo of War
i(221199),	-- Satyrweed Tincture
i(221256),	-- Right Arm of the Obliterator
i(221257),	-- Left Arm of the Obliterator
i(221258),	-- Right Foot of the Obliterator
i(221259),	-- Left Foot of the Obliterator
i(221260),	-- Head of the Obliterator
i(221267),	-- Rune of the Bloodthirsty
i(221311),	-- Atal'ai Mojo of Life
i(221314),	-- Wanted Notice
i(221317),	-- Feralas Leycryst
i(221318),	-- Azshara Leycryst
i(221319),	-- Blackrock Leycryst
i(221320),	-- Hinterlands Leycryst
i(221321),	-- Atal'ai Signet of Might
i(221322),	-- Atal'ai Signet of Mojo
i(221323),	-- Atal'ai Signet of Serenity
i(221324),	-- Brittle Shadowforge Key
i(221325),	-- EZ-Splode Blasting Charge
i(221326),	-- Sacred Stag Heart
i(221327),	-- Schematic: Gnomish Shrink Ray
i(221328),	-- Schematic: Gnomish Goggles
i(221329),	-- Schematic: Gnomish Net-o-matic Projector
i(221330),	-- Schematic: Gnomish Harm Prevention Belt
i(221331),	-- Schematic: Gnomish Rocket Boots
i(221332),	-- Schematic: Gnomish Battle Chicken
i(221333),	-- Schematic: Gnomish Mind Control Cap
i(221334),	-- Schematic: Gnomish Death Ray
i(221335),	-- Schematic: Goblin Construction Helmet
i(221336),	-- Schematic: Goblin Mining Helmet
i(221337),	-- Schematic: Goblin Mortar
i(221338),	-- Schematic: Goblin Sapper Charge
i(221339),	-- Schematic: Goblin Rocket Boots
i(221340),	-- Schematic: Goblin Bomb Dispenser
i(221341),	-- Schematic: The Big One
i(221342),	-- Schematic: Goblin Dragon Gun
i(221343),	-- Schematic: Goblin Rocket Helmet
i(221345),	-- Corrupted Blood of Eranikus
i(221347),	-- Murky Fire Sapta
i(221348),	-- Murky Water Sapta
i(221349),	-- Murky Earth Sapta
i(221350),	-- Charred Shaman's Notes
i(221351),	-- Waterlogged Shaman's Notes
i(221352),	-- Smudged Shaman's Notes
i(221353),	-- Fragment of Fire
i(221354),	-- Fragment of Water
i(221355),	-- Fragment of Earth
i(221356),	-- Glowing Fragment of Fire
i(221357),	-- Glowing Fragment of Water
i(221358),	-- Glowing Fragment of Earth
i(221359),	-- Pristine Owlbeast Quill
i(221360),	-- Farraki Papyrus
i(221361),	-- Zukk'ash Resin
i(221370),	-- Precious Medallion
i(221371),	-- Kidnapper's Coin Purse
i(221372),	-- Mangled Coin Purse
i(221428),	-- Rune of Foul Play
i(221433),	-- Rune of Focus
i(221444),	-- Jungle Durian
i(221445),	-- Rune of Focused Fire
i(221461),	-- Rune of Carnage
i(221470),	-- Dream Emerald
i(221471),	-- Emerald Wardens Chest
i(221473),	-- Rune of the Watchman
i(221497),	-- Old Key
i(221499),	-- Rune of the Felguard
i(221519),	-- Mannoroc Orb
i(221544),	-- Stormcrow Egg
i(221545),	-- Deciphered Warlock Notes
i(221547),	-- Coded Warlock Notes
i(221549),	-- Wastewander Cipher
i(221971),	-- Dreamsworn Horn
i(221972),	-- Dreampyre Fire
i(221973),	-- Dreamhunter Fang
i(221974),	-- Grimtotem Necklace
i(221975),	-- Broken Woodpaw Staff
i(221976),	-- Diseased Nature Staff
i(221979),	-- Prophecy of Verdant Winter
i(221980),	-- Prophecy of Awakened Chaos
i(221981),	-- Prophecy of the Lost Tribe
i(223073),	-- Knight-Lieutenant's Mail Epaulets
i(223074),	-- Knight's Mail Legplates
i(223075),	-- Knight-Lieutenant's Mail Helmet
i(223076),	-- Sergeant Major's Mail Gauntlets
i(223077),	-- Sergeant Major's Mail Sabatons
i(223078),	-- Knight's Mail Armor
i(223147),	-- Spell Notes: Balefire Bolt
i(223148),	-- Otherworldly Treasure
i(223149),	-- Otherworldly Treasure
i(223150),	-- Otherworldly Treasure
i(223151),	-- Otherworldly Treasure
i(223163),	-- Formula: Scroll of Spatial Mending
i(223168),	-- Worldcore Fragment
i(223171),	-- Scroll of Geomancy
i(223173),	-- Geomancer's Cord
i(223174),	-- Geomancer's Boots
i(223175),	-- Geomancer's Cloak
i(223177),	-- Geomancer's Cap
i(223178),	-- Geomancer's Bracers
i(223180),	-- Geomancer's Gloves
i(223181),	-- Geomancer's Spaulders
i(223182),	-- Geomancer's Trousers
i(223183),	-- Geomancer's Wraps
i(223198),	-- Modas Karkun
i(223214),	-- Zila Gular
i(223215),	-- Orah Raka
i(223216),	-- Rakkan Archim
i(223217),	-- Rakkas Lek
i(223218),	-- Tor Kieldaz
i(223219),	-- Fel Cloth Wristbands
i(223221),	-- Fel Leather Wristbands
i(223222),	-- Fel Mail Wristbands
i(223237),	-- Fel Cloth Shoulder Pads
i(223238),	-- Fel Leather Shoulder Pads
i(223239),	-- Fel Mail Shoulders
i(223240),	-- Fel Cloth Hood
i(223241),	-- Fel Leather Hat
i(223242),	-- Fel Mail Coif
i(223248),	-- Fel Cloth Legs
i(223249),	-- Fel Leather Legs
i(223250),	-- Fel Mail Legs
i(223251),	-- Fel Plate Legs
i(223256),	-- Fel Cloth Robes
i(223261),	-- Fel Leather Chest
i(223262),	-- Fel Mail Chest
i(223263),	-- Fel Plate Chest
i(223323),	-- Shirt \\ Premo's Poise-Demanding Uniform
i(223330),	-- Pulsating Eye
i(223331),	-- Pulsating Eye
i(223332),	-- Vibrating Eye
i(223333),	-- Baleful Eye
i(223334),	-- Glowing Eye
i(223335),	-- Oozing Eye
i(223336),	-- Piercing Eye
i(223337),	-- Burning Eye
1.15.2.54332
i(220775),	-- Engineering Exchange Ticket
i(220916),	-- Thunderstomp Stegodon Horn
i(220917),	-- Box of Scarlet Dye
1.15.3.55112
i(224806),	-- Legion Portal Tuner
i(224836),	-- Otherworldly Treasure
i(224848),	-- Otherworldly Treasure
i(224849),	-- Otherworldly Treasure
i(224850),	-- Otherworldly Treasure
i(224851),	-- Otherworldly Treasure
i(224893),	-- Overcharged Portal Tuner
i(224912),	-- Portal Tuner Tuner
i(225675),	-- Sooty Obsidian Core
i(225676),	-- Molten Obsidian Core
i(225740),	-- Rune of Composure
i(225838),	-- Voltaic Icon
i(225893),	-- Epoch's End
i(225914),	-- Rune of the Bound Spirit
i(225942),	-- Tainted Boar Meat
i(225943),	-- Rancid Hunk of Flesh
i(225955),	-- Rune of the Resourceful
i(226201),	-- Squire Cuthbert's Blade
i(226207),	-- Echo of Anastari
i(226208),	-- Echo of Barthilas
i(226209),	-- Echo of Dathrohan
i(226210),	-- Echo of Maleki
i(226211),	-- Echo of Nerub'enkan
i(226212),	-- Echo of Ramstein
i(226213),	-- Echo of Rivendare
i(226214),	-- Echo of Willey
i(226252),	-- Rune of the Guerrilla
i(226374),	-- Occult Poison I
i(226420),	-- Finely Crafted Bust
i(226421),	-- PLACEHOLDER_ASHBRINGER_QUESTITEM_01
i(226472),	-- Stratholme Shadow Jar
i(226526),	-- Busted Gizmo
i(226546),	-- Desert Sonar
i(226587),	-- Rune of Shelling
i(226678),	-- Premonition and Combat Foresight
i(226679),	-- Timeless Wanderer's Insights
i(226680),	-- Rune of the First Warrior
i(226698),	-- Vertically Composited Patch Hampler
i(226699),	-- Brass-fitted Flam-Tamp Flange
i(226772),	-- Feralheart Sash
i(226773),	-- Feralheart Cowl
i(226774),	-- Feralheart Galoshes
i(226775),	-- Feralheart Wraps
i(226776),	-- Feralheart Vest
i(226777),	-- Feralheart Hands
i(226778),	-- Feralheart Spaulders
i(226779),	-- Feralheart Kilt
i(226780),	-- Feralheart Cord
i(226781),	-- Feralheart Sandals
i(226782),	-- Feralheart Bindings
i(226783),	-- Feralheart Embrace
i(226784),	-- Feralheart Gauntlets
i(226785),	-- Feralheart Mantle
i(226786),	-- Feralheart Headdress
i(226787),	-- Feralheart Pants
i(226788),	-- Feralheart Bands
i(226789),	-- Feralheart Girdle
i(226790),	-- Feralheart Epaulets
i(226791),	-- Feralheart Trousers
i(226792),	-- Feralheart Cap
i(226793),	-- Feralheart Fists
i(226794),	-- Feralheart Walkers
i(226795),	-- Feralheart Tunic
i(226796),	-- Feralheart Wristguards
i(226797),	-- Feralheart Waistguard
i(226798),	-- Feralheart Pauldrons
i(226799),	-- Feralheart Legguards
i(226801),	-- Feralheart Faceguard
i(226802),	-- Feralheart Grips
i(226803),	-- Feralheart Treads
i(226804),	-- Feralheart Armor
i(226815),	-- Feralheart Wrists
i(226816),	-- Feralheart Waist
i(226817),	-- Feralheart Shoulders
i(226818),	-- Feralheart Legs
i(226819),	-- Feralheart Helm
i(226820),	-- Feralheart Gloves
i(226821),	-- Feralheart Boots
i(226822),	-- Feralheart Chest
i(226825),	-- Darkmantle Tunic
i(226826),	-- Darkmantle Spaulders
i(226827),	-- Darkmantle Pants
i(226828),	-- Darkmantle Grips
i(226829),	-- Darkmantle Cap
i(226830),	-- Darkmantle Bracers
i(226831),	-- Darkmantle Footpads
i(226832),	-- Darkmantle Belt
i(226835),	-- Darkmantle Wristguards
i(226836),	-- Darkmantle Waistguard
i(226837),	-- Darkmantle Pauldrons
i(226838),	-- Darkmantle Legguards
i(226840),	-- Darkmantle Handguards
i(226841),	-- Darkmantle Faceguard
i(226842),	-- Darkmantle Treads
i(226843),	-- Darkmantle Armor
i(226845),	-- Darkmantle Wrists
i(226846),	-- Darkmantle Waist
i(226847),	-- Darkmantle Shoulders
i(226848),	-- Darkmantle Legs
i(226849),	-- Darkmantle Helm
i(226850),	-- Darkmantle Gloves
i(226851),	-- Darkmantle Boots
i(226852),	-- Darkmantle Chest
i(226856),	-- Guided Buoyancy Accelerant
i(226857),	-- Battleboots of Heroism
i(226858),	-- Spaulders of Heroism
i(226859),	-- Legplates of Heroism
i(226860),	-- Crown of Heroism
i(226861),	-- Gauntlets of Heroism
i(226862),	-- Breastplate of Heroism
i(226863),	-- Bracers of Heroism
i(226864),	-- Belt of Heroism
i(226865),	-- Wristguards of Heroism
i(226866),	-- Waistguard of Heroism
i(226867),	-- Pauldrons of Heroism
i(226868),	-- Legguards of Heroism
i(226869),	-- Faceguard of Heroism
i(226870),	-- Handguards of Heroism
i(226871),	-- Sabatons of Heroism
i(226872),	-- Chestguard of Heroism
i(226873),	-- Wrists of Heroism
i(226874),	-- Waist of Heroism
i(226875),	-- Shoulders of Heroism
i(226876),	-- Legs of Heroism
i(226877),	-- Helm of Heroism
i(226878),	-- Gloves of Heroism
i(226879),	-- Boots of Heroism
i(226880),	-- Chest of Heroism
i(226881),	-- Beastmaster's Treads
i(226882),	-- Beastmaster's Pants
i(226883),	-- Beastmaster's Gauntlets
i(226884),	-- Beastmaster's Mantle
i(226885),	-- Beastmaster's Bindings
i(226886),	-- Beastmaster's Tunic
i(226887),	-- Beastmaster's Cap
i(226888),	-- Beastmaster's Belt
i(226889),	-- Beastmaster's Bracers
i(226890),	-- Beastmaster's Waistwrap \\ Beastmaster's Bindings
i(226891),	-- Beastmaster's Pauldrons
i(226892),	-- Beastmaster's Leggings
