SourceText_lang,Description_lang,CreatureID,IconFileDataID,SummonSpellID,Flags,PetTypeEnum,SourceTypeEnum,ID,CardUIModelSceneID,LoadoutUIModelSceneID
"|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rFeralas","These adorable critters love snuggling with their owners after a long day of brutal, bloody battle.",9662,657499,15067,2,1,0,87,6,7
"|cFFFFD200Drop: |rQuartermaster Zigris|n|cFFFFD200Zone: |rLower Blackrock Spire","Worgs are the favored companions of orcs and are fiercely loyal on the battlefield.",10259,132599,15999,2050,7,0,89,6,7
"|cFFFFD200Drop: |rMother Smolderweb|n|cFFFFD200Zone: |rLower Blackrock Spire","Although born in the warm heights of Blackrock Spire, the smolderweb hatchling can survive most environments.",10598,132598,16450,2,7,0,90,6,7
"|cFFFFD200Promotion:|r World of Warcraft Collector's Edition","This pint-sized panda cub is highly sought after by adventurers around Azeroth - despite its narcoleptic nature.",11325,132494,17707,82,7,7,92,6,7
"|cFFFFD200Promotion:|r World of Warcraft Collectors Edition","AND THE HEAVENS SHALL TREMBLE, AND MAN SHALL WEEP, AND THE END OF DAYS SHALL--wait, why are you so tall?",11326,132787,17708,82,5,7,93,6,7
"|cFFFFD200Promotion:|r World of Warcraft Collectors Edition","A small, fierce member of the Zerg swarm, the zergling is not to be trifled with. Very dangerous in high numbers.",11327,136217,17709,82,4,7,94,6,7
"|cFFFFD200Profession: |rEngineering","Talented engineers have crafted an exact replica of a wood frog, at only ten times the cost of buying the real thing.",12419,237579,19772,2,9,3,95,6,7
"|cFFFFD200World Event:|r Darkmoon Faire","The legendary ale frog was believed to be extinct until the strange brews at the Darkmoon Faire brought them out of hiding.",14878,237579,23811,18,8,6,106,6,7
"|cFFFFD200Promotion:|r BlizzCon 2005","Appearances of this beloved and ultra-reclusive murloc are sure to draw a crowd.",15186,656556,24696,82,0,7,107,6,7
"|cFFFFD200Promotion:|r Burning Crusade Collector's Edition (EU only)|n","Lurky's charming disposition and lively antics are guaranteed to soothe frustration and lighten even the darkest moods.",15358,656558,24988,16466,0,7,111,6,7
"|cFFFFD200Drop:|r World Drop|n|cFFFFD200Creature:|r Oozes, Slimes and Worms","Warning: Wear gloves and goggles while handling disgusting oozeling. DO NOT WASH. Will stain most armor.",15429,132107,25162,2,5,0,114,6,7
"|cFFFFD200Profession:|r Fishing|n|cFFFFD200Vendor:|r Nat Pagle|n|cFFFFD200Zone:|r Garrison, Fishing Shack|n|cFFFFD200Cost:|r 50|Tinterface\icons\inv_misc_coin_19.blp:0|t","After birth, newborn sharks quickly flee their hungry mothers. Their early independence makes them dangerous, even while young.",86445,294472,172695,2,8,3,115,6,7
"|cFFFFD200Profession: |rEngineering","This clever toy is equipped with a secret switch to disable its 'tranquil' mode. Luckily, even the engineers who built it don't know how to find it.",15699,132189,26010,2,9,3,116,36,7
"|cFFFFD200World Event:|r Feast of Winter Veil|n","He loves to dance and wave and play with you! He melts after Winter Veil, but don't worry; he'll be back again someday!",15710,655957,26045,2,6,6,117,6,7
"|cFFFFD200World Event:|r Feast of Winter Veil","Would rather not spend any more time inside a wrapped holiday gift box.",15706,133706,26529,2,4,6,118,6,7
"|cFFFFD200World Event:|r Feast of Winter Veil","These off-season allies work tirelessly to prepare for the Feast of Winter Veil, and would appreciate not being disturbed the rest of the year.",15698,133204,26533,2,0,6,119,39,7
"|cFFFFD200World Event:|r Feast of Winter Veil","During the majestic Winter Veil celebration, these faithful companions spread joy throughout the land. The rest of the year, they are busy.",15705,133202,26541,2,0,6,120,39,7
"|cFFFFD200Promotion:|r EU Fansite Promotion|n","Gurky is a born performer, though she remains elusive, making public appearances only on the rarest of occasions.",16069,656557,27241,16466,0,7,121,6,7
"|cFFFFD200World Event:|r Children's Week","Domesticated elekks are trained as mounts by the draenei people. In the wild they are hunted for their ivory tusks.",23266,656598,40634,2,4,6,159,6,7
"|cFFFFD200World Event:|r Love is in the Air|n|cFFFFD200Vendor: |rLovely Merchant|n|cFFFFD200Cost: |r40|TINTERFACE\ICONS\INV_ValentinesCard01:0|t|n","The power of love can be a dangerous thing, especially when wielded by an airborne, ill-tempered goblin.",16085,132382,27570,2,0,6,122,6,7
"|cFFFFD200Promotion:|r iCoke","This cub shares many traits with its relatives, but it's in a league of its own with its singing ability.",16456,132498,28505,16466,7,7,124,6,7
"|cFFFFD200World Event:|r Children's Week","Slow and steady wins the race.",16547,656341,28738,2,8,6,125,6,7
"|cFFFFD200World Event:|r Children's Week","Many assume 'Wiggles' refers to the motion of this pig's posterior. They discover the true meaning when they see their own entrails.",16548,132514,28739,2,4,6,126,6,7
"|cFFFFD200World Event:|r Children's Week","A clever tactician, Whiskers will feign death to fool predators and bill collectors.",16549,294480,28740,2,4,6,127,6,7
"|cFFFFD200World Event:|r Midsummer Fire Festival|n|cFFFFD200Vendor: |rMidsummer Merchant|n|cFFFFD200Cost: |r350|TINTERFACE\ICONS\INV_SummerFest_FireFlower:0|t","This little piece of summer smells of warm evenings and lightning storms. If you look closely, you might be able to make out a face.",16701,134813,28871,2,6,6,128,6,7
"|cFFFFD200Trading Card Game:|r Heroes of Azeroth","After a harpy incursion in Feralas, several hippogryph nesting grounds were attacked. Hundreds of hatchlings were orphaned, and they have been entrusted to the care of the druids on Sardor Isle.",17255,132833,30156,2,2,8,130,6,7
"|cFFFFD200Promotion:|r Burning Crusade Collector's Edition","Offspring of the nether drakes of Outland, this young dragon is still growing into its role as hunter, protector, and adorable terror of the skies.",18381,134539,32298,82,1,7,131,6,7
"|cFFFFD200Fishing:|r Fishing (430)|n|cFFFFD200Zone:|r Terokkar Forest (Fishing Nodes)","Only magical wishes make magical crawdads. If you wish for a fish, fish for a wish.",18839,133900,33050,2,8,3,132,6,7
"|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","The ethereal Rashaad began breeding these enigmatic creatures after learning of their ability to feed on arcane energies.",20408,136006,35156,2,5,2,136,6,7
"|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","This bunny is the cutest thing its opponent will ever see. It'll also be the last.",20472,132762,35239,2,4,2,137,6,7
"|cFFFFD200Vendor: |rSixx|n|cFFFFD200Zone: |rThe Exodar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Delicate denizen of Azuremyst Isle, this magical insect has been rumored to possess healing abilities.",21010,236193,35907,2,2,2,138,6,7
"|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","A product of exposure to wild magical energies, this insect is the unexpectedly colorful result of Azerothian moth species being released into the eco-domes of the Netherstorm.",21009,236193,35909,2,2,2,139,6,7
"|cFFFFD200Vendor: |rSixx|n|cFFFFD200Zone: |rThe Exodar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Prefers flying during thunderstorms, which are common in Azuremyst Isle.",21008,236193,35910,2,2,2,140,6,7
"|cFFFFD200Vendor: |rSixx|n|cFFFFD200Zone: |rThe Exodar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Prefers flying during foggy nights, which are common in Azuremyst Isle.",21018,236193,35911,2,2,2,141,6,7
"|cFFFFD200Vendor: |rJilanne|n|cFFFFD200Zone: |rEversong Woods|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Once prized by dragonhawk breeders in Silvermoon. Stands out at night to predators, making it necessary to gain awareness at an early age.",21055,132188,36027,2,1,2,142,6,7
"|cFFFFD200Vendor: |rJilanne|n|cFFFFD200Zone: |rEversong Woods|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Mortal enemies with silver dragonhawks; on pretty good terms with golden dragonhawks.",21064,132188,36028,2,1,2,143,6,7
"|cFFFFD200Vendor: |rJilanne|n|cFFFFD200Zone: |rEversong Woods|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Ferocious species of dragonhawk, often seen diving down on prey from high in the sky.",21063,132188,36029,2,1,2,144,6,7
"|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","Raised by the few dealers still willing to trade in Netherstorm.",21056,132188,36031,2,1,2,145,6,7
"|cFFFFD200Drop: |rBogflare Needler|n|cFFFFD200Zone: |rZangarmarsh","Commonly used by sporelings as a light source as they navigate the waterways of Zangarmarsh, this luminescent insect helps them avoid the dangerous bogflare needlers.",21076,236196,36034,2,2,0,146,6,7
"|cFFFFD200Quest:|r Skywing|n|cFFFFD200Zone:|r Terokkar Forest|n|n","The magical energies released during Skywing's transformation back into his true arakkoa form liberated this poor creature, a fledgling bird imprisoned by Luanga in order to power his fowl curse.",22445,132598,39181,18,2,1,149,6,7
"|cFFFFD200World Event:|r Brewfest","Many a drunken Brewfest goer has told the tale of this mysterious creature, but few remember that tale in the morning.",22943,132800,39709,2,4,6,153,6,7
"|cFFFFD200Promotion:|r World Wide Invitational 2007|n","Lucky squeals when he's angry or when he's eating. Either way, you don't want to bother him.",23198,133858,40405,16466,4,7,155,6,7
"|cFFFFD200Trading Card Game:|r Through the Dark Portal","Although loath to part with Bananas, Landro realized it would be safer if the pet was far from Booty Bay when his father, King Mukla, discovered he was missing.",23234,133980,40549,2,7,8,156,6,7
"|cFFFFD200World Event:|r Children's Week","He's slightly evil but extremely narcoleptic. Keep him away from critters!",23231,294482,40613,2,5,6,157,6,7
"|cFFFFD200World Event:|r Children's Week","The sin'dorei use hawkstriders as mounts, but this little one was deemed unfit after being diagnosed with numerous anxiety disorders.",23258,294475,40614,2,4,6,158,6,7
,,66494,236193,0,48,2,-1,943,6,7
"|cFFFFD200Achievement: |rShop Smart, Shop Pet...Smart|n|cFFFFD200Category: |rPet Battles","Stinker uses his aroma to repel predators and attract cats. He's much more successful with the former than the latter.",23274,132599,40990,82,4,5,160,6,7
"|cFFFFD200World Event:|r Hallow's End","This mischievous gourd likes to pop out of the ground and scare you right out of your pants. Hail to the pumpkin song!",23909,134015,42609,2,6,6,162,6,7
"|cFFFFD200Profession: |rFishing|n|cFFFFD200Zone: |rShattrath","The crocolisk's hide and meat are prized by hunters, but the beast is ferocious and seldom taken by surprise.",24388,656555,43697,2,8,3,163,6,7
"|cFFFFD200Profession:|r Fishing|n|cFFFFD200Zone:|r Shattrath","Muckbreath is just like other crocolisks, except he has an excellent sense of humor.",24389,656553,43698,2,8,3,164,6,7
"|cFFFFD200Drop:|r Forest Frog|n|cFFFFD200Zone:|r Zul'Aman","Amani witch doctors have turned many victims into frogs. Some never recover.",24480,237579,43918,2,8,0,165,6,7
"|cFFFFD200World Event:|r Brewfest|n|cFFFFD200Vendor: |rBelbi Quikswitch|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r100|TINTERFACE\ICONS\INV_Misc_Coin_01:0|t|n|n|cFFFFD200Vendor: |rBliz Fixwidget|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r100|TINTERFACE\ICONS\INV_Misc_Coin_01:0|t","A shy creature, the pink elekk will only make its presence known to those that have befriended it, or to anyone too intoxicated to harm it.",24753,656600,44369,2,4,6,166,6,7
"|cFFFFD200Vendor: |rMycah|n|cFFFFD200Zone: |rZangarmarsh|n|cFFFFD200Faction: |rSporeggar - Exalted|n|cFFFFD200Cost: |r30|TINTERFACE\ICONS\INV_Mushroom_02:0|t","Wild sporebats are vicious creatures, but if tamed at a young age, they can be loyal companions.",25062,132197,45082,2,2,2,167,6,7
"|cFFFFD200Trading Card Game:|r March of the Legion","When the Burning Legion invaded Outland, Landro Longshot contributed this design to the war effort. Both the Alliance and Horde passed on production.",25109,133883,45125,2,9,8,168,6,7
"|cFFFFD200Trading Card Game:|r March of the Legion","Much quieter than a real dragon.",25110,133838,45127,2050,2,8,169,33,7
"|cFFFFD200Promotion:|r Recruit-A-Friend|n","This golden pig honors its ancestors by giving its allies good fortune.",25146,133784,45174,82,4,7,170,6,7
"|cFFFFD200Promotion:|r Recruit-A-Friend","Druids think silver pigs have a special bond with golden pigs, as both breeds appeared on Azeroth at the same time.",25147,133786,45175,82,4,7,171,6,7
"|cFFFFD200Vendor:|r Zen'Vorka|n|cFFFFD200Zone:|r Molten Front|n|cFFFFD200Cost: |r30|TINTERFACE\ICONS\INV_MISC_MARKOFTHEWORLDTREE.BLP:0|t","Elder shaman have warned that wisps of Ragnaros, loyal servants of the Firelord, have taken to the Molten Front.  Vigilance is advised.",25706,294481,45890,2,6,2,172,6,7
"|cFFFFD200Profession: |rFishing|n|cFFFFD200Zone: |rShattrath","Crocolisks are six-legged amphibian predators found in coastal waters. Archaeologists believe they may be descended from the diemetradons of Un'Goro Crater.",26050,656554,46425,2,8,3,173,6,7
"|cFFFFD200Profession: |rFishing|n|cFFFFD200Zone: |rShattrath","After studying the crocolisk species for several years, the famed angler Nat Pagle determined that baby crocolisks are mostly harmless.",26056,656552,46426,2,8,3,174,6,7
"|cFFFFD200Drop: |rKael'thas Sunstrider|n|cFFFFD200Zone: |rMagisters' Terrace","A child of phoenix god Al'ar, the hatchling takes flight immediately after birth.",26119,134373,46599,2,6,0,175,6,7
"|cFFFFD200Promotion:|r Battleground Event","These stunning creatures, awarded to heroes for victory in battle, represent bravery and strength.",27217,133278,48406,16402,1,7,179,6,7
"|cFFFFD200Promotion:|r China PVP Event","Only heroes who have proven their valor through great acts are gifted one of these mystical serpentine creatures.",27346,133443,48408,16402,1,7,180,6,7
"|cFFFFD200Trading Card Game:|r The Hunt for Illidan","Ethereal soul-traders will travel with those who can free the essences they need from unruly hosts.",27914,136039,49964,2,5,8,183,38,7
"|cFFFFD200Vendor: |rGrella|n|cFFFFD200Zone: |rTerokkar Forest|n|cFFFFD200Faction: |rSha'tari Skyguard - Exalted|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","Native to the Terokkar Forest, nether rays spawn during the rainy season. Out of the hundreds of offspring resulting from one hatching, very few survive to adulthood.",28470,132191,51716,2,2,2,186,6,7
"|cFFFFD200Drop: |rPrince Tenris Mirkblood|n|cFFFFD200Zone: |rKarazhan","Vampire bats have been trained as scouts and mounts by the Forsaken of the Undercity and the Amani trolls of Zul'Aman.",28513,132182,51851,16402,3,0,187,6,7
"|cFFFFD200Promotion:|r Wrath of the Lich King Collector's Edition","Accidentally created when the Lich King's deathly powers raised Rimefang from undeath.",28883,237441,52615,82,3,7,188,6,7
"|cFFFFD200Promotion:|r World Wide Invitational 2008","'I am Justice itself!'",29089,135277,53082,16466,0,7,189,6,7
"|cFFFFD200Vendor: |rDarahir|n|cFFFFD200Zone: |rCrystalsong Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","When it senses the impending death of a nearby creature, the skull will emit an ear-piercing cackle.",29147,133730,53316,2,3,2,190,37,7
"|cFFFFD200World Event:|r Feast of Winter Veil","This mechanical warrior is a favorite gift during Winter Veil. Batteries not included, but rockets definitely are!",24968,133000,54187,2,9,6,191,6,7
"|cFFFFD200Promotion:|r WoW/Blizzard Account Merger","Mr. Chilly's appearance evokes a more civilized era, when duelists battled in tuxedos.",29726,327502,55068,16466,8,7,192,34,7
"|cFFFFD200Profession:|r Fishing|n|cFFFFD200Zone:|r Dalaran","You wouldn't want to meet this rat in a dark alley. Or anywhere else, for that matter.",31575,134324,59250,2,4,3,193,6,7
"|cFFFFD200Drop: |rMysterious Egg","Unlike most of Geen the gorloc's 'mysterious eggs,' this one actually contained a living thing.",32589,132192,61348,2,2,0,194,6,7
"|cFFFFD200Drop: |rMysterious Egg","The rare albino tickbird is revered amongst the Oracles. It is seen as a sign of heavy rainstorms, good grub harvests, and hibernating wolvar.",32590,132192,61349,2,2,0,195,6,7
"|cFFFFD200Drop: |rMysterious Egg","These voracious whelps grow at an incredible rate and can devour nearly twice their weight in raw meat per day.",32592,236233,61350,2,1,0,196,34,7
"|cFFFFD200Drop: |rMysterious Egg","The cobras of Azeroth are renowned for their fast-acting venom and swift strikes.",32591,236177,61351,2,7,0,197,6,7
"|cFFFFD200Vendor: |rSairuk|n|cFFFFD200Zone: |rDragonblight|n|cFFFFD200Faction: |rThe Kalu'ak - Exalted|n|cFFFFD200Cost: |r12|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n|n|cFFFFD200Vendor: |rTanaika|n|cFFFFD200Zone: |rHowling Fjord|n|cFFFFD200Faction: |rThe Kalu'ak - Exalted|n|cFFFFD200Cost: |r12|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t","Notable for its wide eyes and sassy slide.",32595,655866,61357,2,8,2,198,34,7
"|cFFFFD200Achievement:|r Higher Learning|n|cFFFFD200Category: |rGeneral","To prevent apprentices from secretly using the familiar to complete their chores, the archmagi placed the ritual required to summon the creature across the pages of several spellbooks hidden throughout Dalaran.",32643,132102,61472,82,6,5,199,6,7
"|cFFFFD200World Event:|r Noblegarden|n|cFFFFD200Vendor: |rNoblegarden Merchant|n|cFFFFD200Cost: |r100|TINTERFACE\ICONS\Achievement_Noblegarden_Chocolate_Egg:0|t","Spring rabbits symbolize fertility, and they love to demonstrate why.",32791,134010,61725,2,4,6,200,6,7
"|cFFFFD200World Event:|r Pilgrim's Bounty","He's humble, clairvoyant, and delicious with cranberry sauce.",32818,250626,61773,82,2,6,201,6,7
"|cFFFFD200Achievement: |rWoW's 4th Anniversary|n|cFFFFD200Category: |rFeats of Strength","This rare bear is bred for its small size and perpetually youthful appearance.",32841,294471,61855,16466,7,5,202,6,7
