ID,ZoneName,AreaName_lang,Flags_0,Flags_1,Ambient_multiplier,ContinentID,ParentAreaID,AreaBit,AmbienceID,ZoneMusic,IntroSound,LiquidTypeID_0,LiquidTypeID_1,LiquidTypeID_2,LiquidTypeID_3,UwZoneMusic,UwAmbience,PvpCombatWorldStateID,SoundProviderPref,SoundProviderPrefUnderwater,ExplorationLevel,FactionGroupMask,MountFlags,WildBattlePetLevelMin,WildBattlePetLevelMax,WindSettingsID,UwIntroSound
28,WesternPlaguelands,"Western Plaguelands",16448,0,0.30000001192,0,0,137,634,635,0,0,0,0,0,0,675,-1,0,11,0,0,15,10,11,0,0
30,Nine,Nine,16448,0,0,0,0,138,0,0,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
32,TheCemetary,"The Cemetary",1073758272,0,0,0,10,139,0,2,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
33,StranglethornJungle,"Northern Stranglethorn",16448,0,0.30000001192,0,5339,140,600,3,0,0,0,0,0,0,675,-1,0,11,0,0,15,7,9,0,0
34,EchoRidgeMine,"Echo Ridge Mine",1073758208,0,0,0,6170,141,35,1,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
35,BootyBay,"Booty Bay",1075855424,0,0,0,5287,142,567,3,638,0,0,0,0,0,675,-1,0,11,42,0,15,0,0,0,0
36,AlteracMountains,"Alterac Mountains",1073758272,0,0.5,0,267,143,594,743,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
37,LakeNazferiti,"Lake Nazferiti",1073758272,0,0,0,33,144,32,3,0,0,0,0,0,0,675,-1,0,11,36,0,15,0,0,0,0
38,LochModan,"Loch Modan",16448,0,0.10000000149,0,0,145,616,792,0,0,0,0,0,0,675,-1,0,11,0,2,15,3,6,0,0
40,Westfall,Westfall,16448,0,0.10000000149,0,0,146,602,9,0,0,0,0,0,0,675,-1,0,11,0,2,15,3,4,0,0
41,DeadwindPass,"Deadwind Pass",16448,0,0.30000001192,0,0,556,597,2,0,0,0,0,0,0,675,-1,0,11,0,0,15,17,18,0,0
42,Darkshire,Darkshire,1075855424,0,0,0,10,147,0,770,0,0,0,0,0,0,675,-1,0,11,25,0,15,0,0,0,0
43,WildShore,"Wild Shore",1073758272,0,0,0,5287,148,567,3,0,0,0,0,0,0,675,-1,0,11,42,0,15,0,0,0,0
44,RedridgeMountains,"Redridge Mountains",16448,0,0.20000000298,0,0,149,31,747,0,0,0,0,0,0,675,-1,0,11,0,0,15,4,6,0,0
45,ArathiHighlands,"Arathi Highlands",16448,0,0.20000000298,0,0,150,615,609,0,0,0,0,0,0,675,-1,0,11,0,0,15,7,8,0,0
46,BurningSteppes,"Burning Steppes",16448,0,0.10000000149,0,0,151,596,725,0,0,0,0,0,0,675,-1,0,11,0,0,15,15,16,0,0
47,TheHinterlands,"The Hinterlands",16448,0,0.40000000596,0,0,152,605,1,0,0,0,0,0,0,675,-1,0,11,0,0,15,11,12,0,0
49,DeadMansHole,"Dead Man's Hole",1073741888,0,0,451,22,153,0,0,0,0,0,0,0,0,675,-1,0,11,0,0,13,0,0,0,0
51,SearingGorge,"Searing Gorge",16448,0,0.10000000149,0,0,154,46,10,0,0,0,0,0,0,675,-1,0,11,0,0,15,13,14,0,0
53,ThievesCamp,"Thieves Camp",1073758272,0,0,0,12,155,35,1,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
54,JasperlodeMine,"Jasperlode Mine",1073758272,0,0,0,12,550,35,1,0,0,0,0,0,0,675,-1,0,11,8,0,15,0,0,0,0
55,ValleyofHeroesUNUSED,"Valley of Heroes UNUSED",1073758272,0,0,0,12,156,35,13,61,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
56,Heroes'Vigil,"Heroes' Vigil",1073758272,0,0,0,12,157,35,1,673,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
57,FargodeepMine,"Fargodeep Mine",1073758272,0,0,0,12,158,35,1,0,0,0,0,0,0,675,-1,0,11,5,0,15,0,0,0,0
59,NorthshireVineyards,"Northshire Vineyards",1074806784,0,0,0,6170,159,582,785,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
60,Forest'sEdge,"Forest's Edge",1073758272,0,0,0,12,606,35,1,0,0,0,0,0,0,675,-1,0,11,8,0,15,0,0,0,0
61,ThunderFalls,"Thunder Falls",1073758272,0,0,0,12,160,35,1,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
62,PumpkinPatch,"Brackwell Pumpkin Patch",1073758272,0,0,0,12,161,35,1,671,0,0,0,0,0,675,-1,0,11,8,0,15,0,0,0,0
63,TheStonefieldFarm,"The Stonefield Farm",1073758272,0,0,0,12,162,35,1,0,0,0,0,0,0,675,-1,0,11,6,0,15,0,0,0,0
64,TheMaclureVineyards,"The Maclure Vineyards",1073758272,0,0,0,12,163,35,1,676,0,0,0,0,0,675,-1,0,11,6,0,15,0,0,0,0
65,Dragonblight,Dragonblight,16452,0,0,571,0,164,439,412,545,0,0,0,0,0,675,-1,0,11,0,0,15,22,23,0,0
66,ZulDrak,Zul'Drak,16452,0,0,571,0,165,441,423,544,0,0,0,0,0,675,-1,0,11,76,0,15,22,23,0,0
67,TheStormPeaks,"The Storm Peaks",16449,0,0.60000002384,571,0,166,465,420,0,0,0,0,0,0,675,-1,0,11,77,0,15,22,23,0,0
68,LakeEverstill,"Lake Everstill",1073758272,0,0,0,44,557,0,1,0,0,0,0,0,0,675,-1,0,11,16,0,15,0,0,0,0
69,Lakeshire,Lakeshire,1075855424,0,0,0,44,167,0,1,0,0,0,0,0,0,675,-1,0,11,15,0,15,0,0,0,0
70,Stonewatch,Stonewatch,1073758272,0,0,0,44,168,0,1,0,0,0,0,0,0,675,-1,0,11,24,0,15,0,0,0,0
71,StonewatchFalls,"Stonewatch Falls",1073758272,0,0,0,44,627,0,1,0,0,0,0,0,0,675,-1,0,11,20,0,15,0,0,0,0
72,TheDarkPortal,"The Dark Portal",1073758272,0,0,0,4,169,210,7,649,0,0,0,0,0,675,-1,0,11,63,0,15,0,0,0,0
73,TheTaintedScar,"The Tainted Scar",1073758272,0,0,0,4,170,0,731,0,0,0,0,0,0,675,-1,0,11,50,0,15,0,0,0,0
74,PoolofTears,"Pool of Tears",1073758272,0,0,0,8,171,0,0,0,0,0,0,0,0,675,-1,0,11,53,0,15,0,0,0,0
75,Stonard,Stonard,1075855424,0,0,0,8,172,0,0,0,0,0,0,0,0,675,-1,0,11,54,0,15,0,0,0,0
76,FallowSanctuary,"Fallow Sanctuary",1073758272,0,0,0,8,173,0,0,0,0,0,0,0,0,675,-1,0,11,53,0,15,0,0,0,0
77,Anvilmar,Anvilmar,1076903936,0,0,0,6176,174,42,8,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
80,StormwindMountains,"Stormwind Mountains",1073758272,0,0,0,12,175,35,17,0,0,0,0,0,0,675,-1,0,11,10,2,15,0,0,0,0
81,JeffNEQuadrantChanged,"Jeff NE Quadrant Changed",1073741888,0,0,451,22,575,0,0,0,0,0,0,0,0,675,-1,0,11,0,0,13,0,0,0,0
82,JeffNWQuadrant,"Jeff NW Quadrant",1073741888,0,0,451,22,176,0,0,0,0,0,0,0,0,675,-1,0,11,0,0,13,0,0,0,0
83,JeffSEQuadrant,"Jeff SE Quadrant",1073741888,0,0,451,22,177,0,0,0,0,0,0,0,0,675,-1,0,11,0,0,13,0,0,0,0
84,JeffSWQuadrant,"Jeff SW Quadrant",1073741888,0,0,451,22,178,0,0,0,0,0,0,0,0,675,-1,0,11,0,0,13,0,0,0,0
85,TirisfalGlades,"Tirisfal Glades",16448,0,0.30000001192,0,0,179,601,2,0,0,0,0,0,0,675,-1,0,11,0,4,15,1,2,0,0
86,StoneCircleLake,"Stone Cairn Lake",1073758272,0,0,0,12,180,35,1,0,0,0,0,0,0,675,-1,0,11,8,0,15,0,0,0,0
87,Goldshire,Goldshire,1076904000,0,0,0,12,548,35,1,0,0,0,0,0,0,675,-1,0,11,5,0,15,0,0,0,0
88,EastvaleLoggingCamp,"Eastvale Logging Camp",1073758272,0,0,0,12,181,35,1,672,0,0,0,0,0,675,-1,0,11,6,0,15,0,0,0,0
89,ThunderFallsOrchard,"Mirror Lake Orchard",1073758272,0,0,0,12,182,35,1,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
91,TowerofAzora,"Tower of Azora",1073758272,0,0,0,12,183,35,1,0,0,0,0,0,0,675,-1,0,11,8,0,15,0,0,0,0
92,MirrorLake,"Mirror Lake",1073758272,0,0,0,12,558,35,1,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
93,Vul'GolOgreMound,"Vul'Gol Ogre Mound",1073758272,0,0,0,10,628,0,774,0,0,0,0,0,0,675,-1,0,11,28,0,15,0,0,0,0
94,RavenHill,"Raven Hill",1073758272,0,0,0,10,184,0,2,667,0,0,0,0,0,675,-1,0,11,24,0,15,0,0,0,0
95,RedridgeCanyon,"Redridge Canyons",1073758272,0,0,0,44,185,0,1,0,0,0,0,0,0,675,-1,0,11,20,0,15,0,0,0,0
96,TowerofIlgalar,"Tower of Ilgalar",1073758272,0,0,0,44,186,0,1,0,0,0,0,0,0,675,-1,0,11,25,0,15,0,0,0,0
97,Alther'sMill,"Alther's Mill",1073758272,0,0,0,44,187,0,748,0,0,0,0,0,0,675,-1,0,11,19,0,15,0,0,0,0
98,RethbanCaverns,"Rethban Caverns",1073758272,0,0,0,44,188,0,1,0,0,0,0,0,0,675,-1,0,11,17,0,15,0,0,0,0
99,RebelCamp,"Rebel Camp",1075855424,0,0,0,33,189,0,3,0,0,0,0,0,0,675,-1,0,11,30,0,15,0,0,0,0
100,Nesingwary'sExpedition,"Nesingwary's Expedition",1073758272,0,0,0,33,585,0,3,0,0,0,0,0,0,675,-1,0,11,31,0,15,0,0,0,0
101,Kurzen'sCompound,"Kurzen's Compound",1073758272,0,0,0,33,190,0,715,0,0,0,0,0,0,675,-1,0,11,32,0,15,0,0,0,0
102,RuinsofZul'Kunda,"Ruins of Zul'Kunda",1073758272,0,0,0,33,586,0,713,0,0,0,0,0,0,675,-1,0,11,41,0,15,0,0,0,0
103,RuinsofZul'Mamwe,"Ruins of Zul'Mamwe",1073758272,0,0,0,33,191,0,3,0,0,0,0,0,0,675,-1,0,11,40,0,15,0,0,0,0
104,TheVileReef,"The Vile Reef",1073758272,0,0,0,33,192,567,3,0,0,0,0,0,0,675,-1,0,11,37,0,15,0,0,0,0
105,Mosh'OggOgreMound,"Mosh'Ogg Ogre Mound",1073758272,0,0,0,33,193,0,963,0,0,0,0,0,0,675,-1,0,11,42,0,15,0,0,0,0
106,TheStockpile,"The Stockpile",1073758272,0,0,0,33,194,0,3,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
107,Saldean'sFarm,"Saldean's Farm",1073758272,0,0,0,40,195,0,9,0,0,0,0,0,0,675,-1,0,11,14,0,15,0,0,0,0
108,SentinelHill,"Sentinel Hill",1076904000,0,0,0,40,196,0,709,0,0,0,0,0,0,675,-1,0,11,15,0,15,0,0,0,0
109,Furlbrow'sPumpkinFarm,"Furlbrow's Pumpkin Farm",1073758272,0,0,0,40,197,0,710,0,0,0,0,0,0,675,-1,0,11,15,0,15,0,0,0,0
111,JangolodeMine,"Jangolode Mine",1073758272,0,0,0,40,198,0,9,0,0,0,0,0,0,675,-1,0,11,12,0,15,0,0,0,0
113,GoldCoastQuarry,"Gold Coast Quarry",1073758272,0,0,0,40,576,0,9,0,0,0,0,0,0,675,-1,0,11,15,0,15,0,0,0,0
115,WestfallLighthouse,"Westfall Lighthouse",1073758272,0,0,0,40,199,567,9,0,0,0,0,0,0,675,-1,0,11,17,0,15,0,0,0,0
116,MistyValley,"Misty Valley",1073758272,0,0,0,8,200,0,0,0,0,0,0,0,0,675,-1,0,11,53,0,15,0,0,0,0
117,Grom'golBaseCamp,"Grom'gol Base Camp",1075855424,0,0,0,33,629,0,715,0,0,0,0,0,0,675,-1,0,11,35,0,15,0,0,0,0
118,Whelgar'sExcavationSite,"Whelgar's Excavation Site",1073758272,0,0,0,11,201,0,191,0,0,0,0,0,0,675,-1,0,11,22,0,15,0,0,0,0
120,WestbrookGarrison,"Westbrook Garrison",1075855424,0,0,0,12,559,35,787,0,0,0,0,0,0,675,-1,0,11,8,0,15,0,0,0,0
121,TranquilGardensCemetery,"Tranquil Gardens Cemetery",1073758272,0,0,0,10,202,0,771,0,0,0,0,0,0,675,-1,0,11,28,0,15,0,0,0,0
122,ZuuldaiaRuins,"Zuuldaia Ruins",1073758272,0,0,0,33,203,567,713,0,0,0,0,0,0,675,-1,0,11,37,0,15,0,0,0,0
123,Bal'lalRuins,"Bal'lal Ruins",1073758272,0,0,0,33,204,567,714,0,0,0,0,0,0,675,-1,0,11,34,0,15,0,0,0,0
125,Kal'aiRuins,"Kal'ai Ruins",1073758272,0,0,0,33,205,0,3,0,0,0,0,0,0,675,-1,0,11,35,0,15,0,0,0,0
126,TkashiRuins,"Tkashi Ruins",1073758272,0,0,0,33,206,0,714,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
127,Balia'mahRuins,"Balia'mah Ruins",1073758272,0,0,0,33,207,0,713,0,0,0,0,0,0,675,-1,0,11,40,0,15,0,0,0,0
128,Ziata'jaiRuins,"Ziata'jai Ruins",1073758272,0,0,0,33,208,0,714,0,0,0,0,0,0,675,-1,0,11,36,0,15,0,0,0,0
129,MizjahRuins,"Mizjah Ruins",1073758272,0,0,0,33,209,0,3,0,0,0,0,0,0,675,-1,0,11,37,0,15,0,0,0,0
130,SilverpineForest,"Silverpine Forest",16448,0,0.40000000596,0,0,210,28,2,0,0,0,0,0,0,675,-1,0,11,0,4,15,3,6,0,0
131,Kharanos,Kharanos,1076904000,0,0,0,1,211,0,0,0,0,0,0,0,0,675,-1,0,11,5,0,15,0,0,0,0
132,ColdridgeValley,"Coldridge Valley",1074806784,0,0,0,6176,212,42,759,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
133,Gnomeregan,"New Tinkertown",1073758208,0,0,0,6457,213,42,765,665,0,0,0,0,0,675,-1,0,11,10,0,15,0,0,0,0
134,GolBolarQuarry,"Gol'Bolar Quarry",1073758272,0,0,0,1,214,0,8,0,0,0,0,0,0,675,-1,0,11,10,0,15,0,0,0,0
135,FrostmaneHold,"Frostmane Hold",1073758208,0,0,0,6457,215,42,0,121,0,0,0,0,0,675,-1,0,11,7,0,15,0,0,0,0
136,TheGrizzledDen,"The Grizzled Den",1073758272,0,0,0,1,216,0,0,666,0,0,0,0,0,675,-1,0,11,5,0,15,0,0,0,0
137,BrewnallVillage,"Brewnall Village",1075855424,0,0,0,6457,217,0,0,0,0,0,0,0,0,675,-1,0,11,7,0,15,0,0,0,0
138,MistyPineRefuge,"Misty Pine Refuge",1073758272,0,0,0,1,218,0,8,664,0,0,0,0,0,675,-1,0,11,7,0,15,0,0,0,0
139,EasternPlaguelands,"Eastern Plaguelands",16448,0,0.5,0,0,219,37,775,0,0,0,0,0,0,675,-1,0,11,0,0,15,12,13,0,0
141,Teldrassil,Teldrassil,16448,0,0.40000000596,1,0,220,584,11,0,0,0,0,0,0,675,-1,0,11,0,2,15,1,2,0,0
142,Ironband'sExcavationSite,"Ironband's Excavation Site",1073758272,0,0,0,38,221,0,1,681,0,0,0,0,0,675,-1,0,11,15,0,15,0,0,0,0
143,Mo'groshStronghold,"Mo'grosh Stronghold",1073758272,0,0,0,38,222,573,793,0,0,0,0,0,0,675,-1,0,11,18,0,15,0,0,0,0
144,Thelsamar,Thelsamar,1076904000,0,0,0,38,223,0,1,0,0,0,0,0,0,675,-1,0,11,10,0,15,0,0,0,0
145,AlgazGate,"Algaz Gate",1073758272,0,0,0,38,224,0,1,0,0,0,0,0,0,675,-1,0,11,18,0,15,0,0,0,0
146,StonewroughtDam,"Stonewrought Dam",1075855424,0,0,0,38,225,0,1,0,0,0,0,0,0,675,-1,0,11,15,0,15,0,0,0,0
147,TheFarstriderLodge,"The Farstrider Lodge",1073758272,0,0,0,38,226,0,1,0,0,0,0,0,0,675,-1,0,11,15,0,15,0,0,0,0
148,Darkshore,Darkshore,16448,0,0.60000002384,1,0,227,575,867,0,0,0,0,0,0,675,-1,0,0,0,2,15,3,6,0,0
149,SilverStreamMine,"Silver Stream Mine",1073758272,0,0,0,38,228,0,1,0,0,0,0,0,0,675,-1,0,11,12,0,15,0,0,0,0
150,MenethilHarbor,"Menethil Harbor",1075855424,0,0,0,11,229,567,702,0,0,0,0,0,0,675,-1,0,11,20,0,15,0,0,0,0
151,DesignerIsland,"Designer Island",16448,0,0,451,0,560,47,226,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
152,TheBulwark,"The Bulwark",1075855424,0,0,0,85,230,0,2,0,0,0,0,0,0,675,-1,0,11,9,0,15,0,0,0,0
153,RuinsofLordaeron,"Ruins of Lordaeron",1073758272,0,0,0,85,607,0,2,0,0,0,0,0,0,675,-1,0,11,10,0,15,0,0,0,0
154,Deathknell,Deathknell,1076903936,0,0,0,6454,231,607,712,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
155,NightWebsHollow,"Night Web's Hollow",1073758208,0,0,0,6454,232,40,2,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
156,SollidenFarmstead,"Solliden Farmstead",1073758272,0,0,0,85,233,0,2,0,0,0,0,0,0,675,-1,0,11,6,0,15,0,0,0,0
157,AgamandMills,"Agamand Mills",1073758272,0,0,0,85,234,0,15,0,0,0,0,0,0,675,-1,0,11,8,0,15,0,0,0,0
158,AgamandFamilyCrypt,"Agamand Family Crypt",1073758272,0,0,0,85,235,0,15,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
159,Brill,Brill,1076904000,0,0,0,85,236,0,712,0,0,0,0,0,0,675,-1,0,11,5,0,15,0,0,0,0
160,WhisperingGardens,"Whispering Gardens",1073758272,0,0,0,85,237,0,2,0,0,0,0,0,0,675,-1,0,11,12,0,15,0,0,0,0
161,TerraceofRepose,"Terrace of Repose",1073758272,0,0,0,85,238,0,2,0,0,0,0,0,0,675,-1,0,11,10,0,15,0,0,0,0
162,BrightwaterLake,"Brightwater Lake",1073758272,0,0,0,85,239,0,2,0,0,0,0,0,0,675,-1,0,11,7,0,15,0,0,0,0
163,Gunther'sRetreat,"Gunther's Retreat",1073758272,0,0,0,85,240,0,2,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
164,Garren'sHaunt,"Garren's Haunt",1073758272,0,0,0,85,241,0,2,0,0,0,0,0,0,675,-1,0,11,7,0,15,0,0,0,0
165,BalnirFarmstead,"Balnir Farmstead",1073758272,0,0,0,85,242,0,15,0,0,0,0,0,0,675,-1,0,11,5,0,15,0,0,0,0
166,ColdHearthManor,"Cold Hearth Manor",1073758272,0,0,0,85,243,0,2,0,0,0,0,0,0,675,-1,0,11,5,0,15,0,0,0,0
167,CrusaderOutpost,"Crusader Outpost",1073758272,0,0,0,85,244,0,2,0,0,0,0,0,0,675,-1,0,11,8,0,15,0,0,0,0
168,TheNorthCoast,"The North Coast",1073758272,0,0,0,85,245,567,2,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
169,"Whispering Shore","Whispering Shore",1073758272,0,0,0,85,577,567,0,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
170,LordamereLake,"Lordamere Lake",16448,0,0,0,0,246,31,2,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
172,FenrisIsle,"Fenris Isle",1073758272,0,0,0,130,247,0,718,0,0,0,0,0,0,675,-1,0,11,12,0,15,0,0,0,0
173,Faol'sRest,"Faol's Rest",1073758272,0,0,0,85,620,0,2,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
186,Dolanaar,Dolanaar,1076904000,0,0,1,141,622,0,11,712,0,0,0,0,0,675,-1,0,11,5,0,15,0,0,0,0
187,DarnassusUNUSED,"Darnassus UNUSED",1073758272,0,0,1,141,248,48,76,63,0,0,0,0,0,675,-1,0,11,7,0,15,0,0,0,0
188,Shadowglen,Shadowglen,1076903936,0,0,1,6450,561,48,11,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
189,Steelgrill'sDepot,"Steelgrill's Depot",1073758272,0,0,0,1,249,0,8,0,0,0,0,0,0,675,-1,0,11,5,0,15,0,0,0,0
190,Hearthglen,Hearthglen,1073758272,0,0,0,28,250,0,0,0,0,0,0,0,0,675,-1,0,11,56,0,15,0,0,0,0
192,NorthridgeLumberCamp,"Northridge Lumber Camp",1073758272,0,0,0,28,251,0,0,0,0,0,0,0,0,675,-1,0,11,55,0,15,0,0,0,0
193,RuinsofAndorhal,Andorhal,1073758272,0,0,0,28,252,0,15,0,0,0,0,0,0,675,-1,0,11,55,0,15,0,0,0,0
195,SchoolofNecromancy,"School of Necromancy",1073758272,0,0,0,28,253,0,0,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
196,UthersTomb,"Uther's Tomb",1073758272,0,0,0,28,578,0,15,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
197,SorrowHill,"Sorrow Hill",1073758272,0,0,0,28,254,0,671,0,0,0,0,0,0,675,-1,0,11,50,0,15,0,0,0,0
198,TheWeepingCave,"The Weeping Cave",1073758272,0,0,0,28,255,37,0,0,0,0,0,0,0,675,-1,0,11,55,0,15,0,0,0,0
199,FelstoneField,"Felstone Field",1073758272,0,0,0,28,256,0,10,0,0,0,0,0,0,675,-1,0,11,50,0,15,0,0,0,0
200,Dalson'sTears,"Dalson's Farm",1073758272,0,0,0,28,257,0,10,0,0,0,0,0,0,675,-1,0,11,54,0,15,0,0,0,0
201,Gahrron'sWithering,"Gahrron's Withering",1073758272,0,0,0,28,258,37,10,0,0,0,0,0,0,675,-1,0,11,57,0,15,0,0,0,0
202,TheWrithingHaunt,"The Writhing Haunt",1073758272,0,0,0,28,259,0,670,0,0,0,0,0,0,675,-1,0,11,46,0,15,0,0,0,0
203,MardenholdeKeep,"Mardenholde Keep",1073758272,0,0,0,28,260,0,193,0,0,0,0,0,0,675,-1,0,11,0,0,15,0,0,0,0
204,PyrewoodVillage,"Pyrewood Village",1073758272,0,0,0,130,261,0,720,301,0,0,0,0,0,675,-1,0,11,15,0,15,0,0,0,0
205,DunModr,"Dun Modr",1073758272,0,0,0,11,262,0,191,0,0,0,0,0,0,675,-1,0,11,28,0,15,0,0,0,0
206,UtgardeKeep,"Utgarde Keep",0,12,0.69999998808,574,0,263,429,0,0,0,0,0,0,0,675,-1,0,11,0,0,13,0,0,0,0
207,TheGreatSea,"The Great Sea",64,0,0,36,0,264,0,9,0,0,0,0,0,0,675,-1,0,11,0,0,13,0,0,0,0
208,UnusedIroncladcove,"Unused Ironcladcove",64,0,0,36,0,265,34,0,0,0,0,0,0,0,675,-1,76,11,0,0,13,0,0,0,0
209,ShadowfangKeep,"Shadowfang Keep",0,12,0,33,0,266,28,2,0,0,0,0,0,0,675,-1,0,11,16,4,13,0,0,0,0
210,Icecrown,Icecrown,69,0,0.75,571,0,267,466,421,543,0,0,0,0,0,675,-1,0,11,80,0,15,22,23,0,0
211,IceflowLake,"Iceflow Lake",1073758208,0,0,0,6457,268,42,8,0,0,0,0,0,0,675,-1,0,11,7,0,15,0,0,0,0
212,Helm'sBedLake,"Helm's Bed Lake",1073758272,0,0,0,1,269,0,8,0,0,0,0,0,0,675,-1,0,11,8,0,15,0,0,0,0
