TextureName,ID,TextureWidth,TextureHeight,MapAreaID,OffsetX,OffsetY,HitRectTop,HitRectLeft,HitRectBottom,HitRectRight,PlayerConditionID,Flags,AreaID_0,AreaID_1,AreaID_2,AreaID_3
Moonbrook,289,232,213,39,308,325,411,390,466,459,0,0,20,919,0,0
AlexstonFarmstead,290,346,222,39,167,263,295,325,405,440,0,0,219,0,0,0
DemontsPlace,291,201,195,39,203,376,473,318,511,362,0,0,921,219,0,0
WestfallLighthouse,292,211,167,39,221,477,549,264,612,338,0,0,115,921,219,0
TheDaggerHills,293,292,273,39,303,395,519,378,580,521,0,0,920,0,0,0
TheDustPlains,294,317,261,39,480,378,450,560,520,710,0,0,922,0,0,0
TheSkitteringDark,304,227,172,21,236,0,48,296,119,401,0,0,226,0,0,0
FenrisIsle,306,352,302,21,581,15,101,621,258,764,0,0,172,232,0,0
TheSepulcher,308,218,200,21,341,157,232,398,304,503,0,0,228,0,0,0
DeepElemMine,309,217,198,21,483,212,278,552,330,636,0,0,213,0,0,0
OlsensFarthing,310,251,167,21,312,249,306,425,377,498,0,0,229,0,0,0
Ambermill,311,283,243,21,509,250,373,554,461,673,0,0,233,231,0,0
ShadowfangKeep,312,179,165,21,337,337,378,377,469,468,0,0,236,0,0,0
TheGreymaneWall,314,409,162,21,318,506,558,377,630,583,0,0,230,5456,0,0
BerensPeril,315,318,263,21,505,405,469,570,518,631,0,0,231,233,0,0
MogroshStronghold,317,294,249,35,549,52,117,658,203,765,0,0,143,0,0,0
TheLoch,318,330,474,35,340,81,0,0,0,0,0,0,556,0,0,0
SilverStreamMine,319,225,252,35,221,0,108,304,182,394,0,0,149,0,0,0
NorthgatePass,320,319,289,35,16,0,0,0,0,0,0,0,838,925,0,0
TheFarstriderLodge,321,349,292,35,570,209,405,788,466,863,0,0,147,0,0,0
IronbandsExcavationSite,322,397,291,35,481,296,380,625,495,765,0,0,142,0,0,0
GrizzlepawRidge,323,273,230,35,245,324,371,340,442,420,0,0,936,0,0,0
Thelsamar,324,455,295,35,0,146,277,307,361,398,0,0,144,0,0,0
StonesplinterValley,325,273,294,35,177,345,448,282,600,368,0,0,923,0,0,0
ValleyofKings,326,310,345,35,0,311,471,145,579,261,0,0,924,806,0,0
RuinsofMathystra,341,200,263,42,517,28,105,602,190,679,0,0,443,0,0,0
AmethAran,346,326,145,42,294,330,388,419,422,457,0,0,447,0,0,0
TheMastersGlaive,349,303,185,42,277,483,548,381,605,428,0,0,449,0,0,0
ThreeCorners,361,323,406,36,0,256,357,144,435,251,0,0,1002,0,0,0
LakeridgeHighway,362,392,352,36,148,316,428,273,487,493,0,0,1001,0,0,0
LakeEverstill,363,464,250,36,81,214,304,340,400,498,0,0,68,0,0,0
Lakeshire,364,410,256,36,0,110,250,165,330,345,0,0,69,0,0,0
RedridgeCanyons,365,413,292,36,37,0,131,231,219,373,0,0,95,98,0,0
RendersCamp,366,357,246,36,214,0,51,298,123,406,0,0,996,998,0,0
AlthersMill,367,228,247,36,350,139,230,444,295,502,0,0,97,0,0,0
RendersValley,369,427,291,36,451,377,433,580,520,715,0,0,997,0,0,0
StonewatchFalls,370,316,182,36,525,302,0,0,0,0,0,0,71,0,0,0
GalardellValley,371,428,463,36,574,0,0,0,0,0,0,0,1000,96,0,0
,1396,0,0,478,0,0,355,462,374,485,0,0,3890,0,0,0
MenethilHarbor,381,325,363,40,0,297,339,44,442,161,0,0,150,0,0,0
BlackChannelMarsh,382,301,232,40,37,240,0,0,0,0,0,0,1018,0,0,0
BluegillMarsh,383,321,248,40,31,102,0,0,0,0,0,0,1022,0,0,0
WhelgarsExcavationSite,384,298,447,40,185,195,285,319,370,399,0,0,118,0,0,0
SundownMarsh,385,276,243,40,121,63,0,0,0,0,0,0,1024,0,0,0
IronbeardsTomb,387,185,224,40,372,76,152,406,195,467,0,0,309,0,0,0
DunModr,388,257,185,40,356,7,89,426,133,514,0,0,205,0,0,0
AngerfangEncampment,389,236,256,40,359,201,282,440,361,533,0,0,1036,0,0,0
ThelganRock,390,258,207,40,371,335,386,492,436,554,0,0,1021,836,0,0
MosshideFen,392,369,235,40,506,232,329,574,428,666,0,0,1020,0,0,0
RaptorRidge,394,256,245,40,599,123,201,649,266,712,0,0,1017,0,0,0
TheHushedBank,421,189,307,34,0,152,191,56,403,145,0,0,1097,0,0,0
AddlesStead,422,299,296,34,32,348,433,177,502,251,0,0,536,0,0,0
RavenHillCemetary,424,323,309,34,91,132,216,141,337,252,0,0,492,243,0,0
VulGolOgreMound,425,268,282,34,228,355,449,296,524,423,0,0,93,0,0,0
TheYorgenFarmstead,427,233,248,34,401,396,461,466,529,555,0,0,245,0,0,0
BrightwoodGrove,428,279,399,34,497,112,185,598,321,698,0,0,242,0,0,0
TheRottingOrchard,429,291,263,34,539,368,441,595,521,683,0,0,241,0,0,0
Darkshire,431,329,314,34,640,128,279,706,340,788,0,0,42,576,0,0
ManorMistmantle,432,219,182,34,661,122,224,752,258,795,0,0,1098,42,0,0
TheDarkenedBank,433,931,235,34,71,26,85,125,200,970,0,0,799,0,0,0
BoulderLodeMine,461,278,209,11,511,7,57,653,104,696,0,0,381,5117,0,0
TheSludgeFen,462,257,249,11,403,6,99,518,150,600,0,0,382,0,0,0
DreadmistPeak,464,241,195,11,290,104,212,388,262,475,0,0,384,383,0,0
TheDryHills,465,283,270,11,116,57,182,213,244,301,0,0,383,0,0,0
TheForgottenPools,466,446,256,11,100,208,276,334,338,405,0,0,386,0,0,0
GroldomFarm,468,243,217,11,448,127,258,528,292,571,0,0,1704,0,0,0
FarWatchPost,469,207,332,11,555,129,251,626,313,709,0,0,379,0,0,0
ThornHill,470,239,231,11,481,254,312,544,357,632,0,0,1699,0,0,0
TheCrossroads,471,233,193,11,362,275,357,467,409,540,0,0,380,0,0,0
TheStagnantOasis,472,336,289,11,344,379,495,519,554,597,0,0,388,0,0,0
Ratchet,473,219,175,11,547,379,450,626,509,704,0,0,392,0,0,0
TheMerchantCoast,474,315,212,11,556,456,516,678,608,730,0,0,391,0,0,0
BaliaMahRuins,513,239,205,37,397,243,343,555,396,627,0,0,127,0,0,0
MizjahRuins,514,157,173,37,387,246,334,435,375,489,0,0,129,0,0,0
GromGolBaseCamp,515,167,179,37,298,228,287,343,361,414,0,0,117,0,0,0
MoshOggOgreMound,516,234,206,37,543,253,313,628,368,714,0,0,105,0,0,0
LakeNazferiti,518,240,228,37,413,95,0,0,0,0,0,0,37,1740,0,0
KalAiRuins,519,139,150,37,354,184,226,392,288,455,0,0,125,0,0,0
BalAlRuins,520,159,137,37,267,168,218,309,268,377,0,0,123,0,0,0
TheVileReef,521,236,224,37,140,208,0,0,0,0,0,0,104,0,0,0
RuinsOfZulKunda,523,228,265,37,158,0,88,218,183,312,0,0,102,0,0,0
NesingwarysExpedition,524,227,190,37,306,63,98,392,168,493,0,0,100,0,0,0
RebelCamp,525,302,166,37,306,0,36,422,92,514,0,0,99,0,0,0
KurzensCompound,526,244,238,37,499,0,91,546,175,661,0,0,101,0,0,0
ZulGurub,527,376,560,37,626,0,72,728,364,952,0,0,19,0,0,0
CircleofWestBinding,561,220,287,16,85,24,182,166,226,211,0,0,334,0,0,0
NorthfoldManor,562,227,268,16,132,105,142,227,222,313,0,0,313,0,0,0
Bouldergor,563,249,278,16,171,123,273,242,320,310,0,0,1858,0,0,0
StromgardeKeep,565,284,306,16,21,269,374,81,483,249,0,0,324,0,0,0
FaldirsCove,566,273,268,16,77,400,509,160,586,317,0,0,327,0,0,0
CircleofInnerBinding,567,228,227,16,201,312,376,266,420,336,0,0,335,0,0,0
ThandolSpan,568,237,252,16,261,416,585,371,631,456,0,0,880,0,0,0
BoulderfistHall,569,252,258,16,327,367,498,449,558,534,0,0,316,0,0,0
RefugePoint,570,196,270,16,293,145,277,362,344,435,0,0,320,0,0,0
WitherbarkVillage,572,260,220,16,476,359,427,562,514,671,0,0,317,0,0,0
GoShekFarm,573,306,248,16,430,249,354,531,417,599,0,0,314,0,0,0
DabyriesFarmstead,574,210,227,16,404,144,240,455,312,545,0,0,315,0,0,0
CircleofEastBinding,575,183,238,16,506,126,196,563,244,626,0,0,333,0,0,0
Hammerfall,576,270,271,16,581,118,209,650,290,740,0,0,321,318,0,0
AeriePeak,601,238,267,26,0,236,278,97,327,182,0,0,348,0,0,0
PlaguemistRavine,602,191,278,26,133,105,146,194,303,269,0,0,1882,0,0,0
QuelDanilLodge,604,241,211,26,220,181,274,288,338,379,0,0,350,0,0,0
ShadraAlor,605,240,196,26,220,379,439,286,525,407,0,0,353,0,0,0
ValorwindLake,606,199,212,26,286,269,377,382,417,430,0,0,1883,0,0,0
Agolwatha,607,208,204,26,367,159,241,441,283,503,0,0,1884,0,0,0
TheCreepingRuin,608,199,199,26,390,252,322,466,375,517,0,0,1886,0,0,0
TheAltarofZul,609,225,196,26,357,343,418,440,478,530,0,0,355,0,0,0
Seradane,610,303,311,26,475,5,90,560,235,697,0,0,356,0,0,0
SkulkRock,611,176,235,26,490,195,254,554,318,600,0,0,351,0,0,0
Shaolwatha,612,281,261,26,565,208,341,700,385,768,0,0,1917,5323,0,0
JinthaAlor,613,287,289,26,487,334,414,555,579,709,0,0,354,0,0,0
TheOverlookCliffs,614,244,401,26,677,267,0,0,0,0,0,0,307,3317,0,0
FirePlumeRidge,621,321,288,201,356,192,271,464,372,571,0,0,537,0,0,0
GolakkaHotSprings,622,309,277,201,145,226,317,253,407,377,0,0,543,0,0,0
TerrorRun,623,316,293,201,162,357,427,287,519,382,0,0,539,0,0,0
TheSlitheringScar,624,381,274,201,335,384,455,443,580,581,0,0,540,0,0,0
TheMarshlands,625,263,412,201,573,256,308,620,423,740,0,0,1942,0,0,0
IronstonePlateau,626,197,222,201,706,201,0,0,0,0,0,0,1943,0,0,0
LakkariTarPits,627,432,294,201,305,0,125,443,218,588,0,0,538,0,0,0
ThistleshrubValley,641,221,293,161,185,280,417,270,470,339,0,0,980,0,0,0
SouthmoonRuins,643,232,211,161,301,349,456,387,488,431,0,0,992,0,0,0
LandsEndBeach,644,224,216,161,431,452,576,496,650,578,0,0,987,0,0,0
EastmoonRuins,645,173,163,161,380,341,414,448,453,498,0,0,984,0,0,0
TheGapingChasm,646,225,187,161,448,364,411,497,493,580,0,0,981,0,0,0
SouthbreakShore,647,274,186,161,437,289,0,0,0,0,0,0,1940,0,0,0
DunemaulCompound,648,231,177,161,305,257,340,368,404,455,0,0,983,0,0,0
TheNoxiousLair,649,179,190,161,258,211,264,310,346,380,0,0,982,0,0,0
BrokenPillar,650,195,163,161,413,211,284,500,325,549,0,0,1938,0,0,0
AbyssalSands,651,255,194,161,297,148,0,0,0,0,0,0,1939,0,0,0
CavernsofTime,657,213,173,161,507,238,302,609,366,677,0,0,2300,0,0,0
Gadgetzan,658,189,180,161,412,92,0,0,0,0,0,0,976,0,0,0
SandsorrowWatch,659,214,149,161,293,99,157,360,209,462,0,0,979,0,0,0
,1460,0,0,499,0,0,400,509,588,555,0,0,4092,0,0,0
ZulFarrak,660,315,190,161,184,0,40,312,154,436,0,0,978,0,0,0
TheramoreIsle,661,305,247,141,542,223,271,617,398,729,0,0,513,0,0,0
WitchHill,662,270,353,141,428,0,0,0,0,0,0,0,502,518,0,0
TheWyrmbog,666,436,299,141,359,369,458,491,553,578,0,0,511,0,0,0
AlcazIsland,667,206,200,141,656,21,62,706,174,819,0,0,2079,0,0,0
LakeEluneara,701,431,319,241,219,273,331,444,412,609,0,0,656,2361,0,0
TheZoramStrand,741,262,390,43,0,0,0,0,0,0,0,0,414,0,0,0
LakeFalathim,742,184,232,43,112,148,246,177,304,229,0,0,441,0,0,0
ThistlefurVillage,744,314,241,43,255,78,186,330,255,413,0,0,2301,0,0,0
Astranaar,747,251,271,43,255,164,307,320,366,400,0,0,415,4691,0,0
TheRuinsofStardust,749,236,271,43,210,331,417,302,462,353,0,0,418,0,0,0
TheHowlingVale,751,325,239,43,473,97,182,509,256,558,0,0,419,0,0,0
RaynewoodRetreat,752,231,256,43,481,221,305,558,364,638,0,0,426,0,0,0
FallenSkyLake,753,287,276,43,529,385,524,646,566,684,0,0,422,432,2360,0
NightRun,754,221,257,43,595,253,270,648,372,719,0,0,428,431,0,0
Satyrnaar,755,235,236,43,696,154,315,784,350,829,0,0,430,2358,0,0
BoughShadow,756,166,211,43,836,148,227,894,298,978,0,0,438,0,0,0
WarsongLumberCamp,757,231,223,43,771,265,346,825,438,928,0,0,437,0,0,0
FelfireHill,758,277,333,43,714,317,0,0,0,0,0,0,434,0,0,0
ShadowbreakRavine,762,292,266,101,637,402,497,761,564,847,0,0,2198,0,0,0
MannorocCoven,764,326,311,101,381,357,476,457,572,573,0,0,602,0,0,0
GelkisVillage,765,274,196,101,207,472,550,316,636,409,0,0,606,0,0,0
ShadowpreyVillage,766,222,299,101,142,369,443,198,504,288,0,0,2408,0,0,0
KodoGraveyard,767,250,215,101,360,273,365,474,425,544,0,0,596,0,0,0
ValleyofSpears,768,321,275,101,170,196,337,323,427,385,0,0,607,0,0,0
ThunderAxeFortress,772,220,205,101,440,49,139,504,200,589,0,0,599,0,0,0
Sargeron,773,317,293,101,655,0,108,741,182,828,0,0,603,0,0,0
NijelsPoint,774,231,257,101,573,0,28,621,90,716,0,0,608,0,0,0
TethrisAran,775,274,145,101,399,0,39,481,96,552,0,0,2404,0,0,0
DreadmaulHold,821,272,206,19,258,0,54,346,121,447,0,0,1437,0,0,0
NethergardeKeep,823,295,205,19,530,6,60,571,151,719,0,0,1438,0,0,0
SerpentsCoil,824,218,183,19,459,97,173,580,208,630,0,0,1440,1438,0,0
AltarofStorms,826,238,195,19,225,110,151,338,203,404,0,0,1441,0,0,0
DreadmaulPost,827,235,188,19,327,182,246,434,291,510,0,0,1439,0,0,0
TheTaintedScar,828,308,226,19,144,175,272,268,341,378,0,0,73,0,0,0
RISEOFTHEDEFILER,829,168,170,992,375,102,154,425,205,478,0,0,2517,0,0,0
TheShatteredStrand,842,206,329,181,316,168,242,400,420,472,0,0,1228,0,0,0
BitterReaches,844,321,247,181,477,0,124,577,195,714,0,0,2497,0,0,0
TowerofEldara,845,306,337,181,684,22,162,764,230,844,0,0,1229,0,0,0
,853,0,0,181,0,0,0,0,0,0,0,0,1235,0,0,0
RuinsofEldarath,854,218,237,181,228,229,286,290,404,401,0,0,1221,0,0,0
RavencrestMonument,856,295,267,181,476,401,506,610,582,712,0,0,1232,0,0,0
LakeMennar,857,210,232,181,245,377,474,334,522,349,0,0,1234,0,0,0
,858,395,128,181,396,540,575,531,637,650,0,0,1256,0,0,0
FelpawVillage,861,307,161,182,471,0,45,589,111,638,0,0,1762,1769,0,0
TalonbranchGlade,862,209,226,182,531,57,141,580,218,675,0,0,1998,0,0,0
IrontreeWoods,863,261,273,182,406,55,136,471,212,539,0,0,1767,0,0,0
JadefireRun,864,263,199,182,303,9,92,402,158,473,0,0,2618,0,0,0
ShatterScarVale,865,343,250,182,243,107,248,384,302,482,0,0,1766,0,0,0
BloodvenomFalls,866,345,192,182,220,231,0,0,0,0,0,0,1765,0,0,0
Jaedenar,867,319,176,182,234,317,367,328,423,415,0,0,1763,0,0,0
RuinsofConstellas,868,268,214,182,278,359,445,335,522,427,0,0,2481,0,0,0
JadefireGlen,869,229,210,182,288,458,539,385,603,452,0,0,2480,0,0,0
EmeraldSanctuary,870,274,212,182,394,382,495,482,552,566,0,0,2479,0,0,0
DeadwoodVillage,871,173,163,182,410,505,571,457,622,506,0,0,1761,0,0,0
MorlosAran,872,187,176,182,476,484,548,536,613,597,0,0,2478,0,0,0
StonetalonPeak,921,305,244,81,265,0,106,354,161,466,0,0,467,0,0,0
MirkfallonLake,922,244,247,81,417,143,0,0,0,0,0,0,464,0,0,0
TheCharredVale,923,277,274,81,199,368,445,252,512,381,0,0,465,0,0,0
SunRockRetreat,924,222,222,81,353,285,386,468,462,522,0,0,460,0,0,0
WindshearCrag,925,374,287,81,533,179,293,621,367,721,0,0,461,1277,0,0
BoulderslideRavine,927,194,156,81,532,512,569,598,617,675,0,0,2540,0,0,0
WebwinderPath,928,267,352,81,468,263,0,0,0,0,0,0,1076,0,0,0
Malakajin,929,211,131,81,618,537,588,687,645,773,0,0,2539,0,0,0
DeadmansCrossing,941,617,522,32,83,0,125,315,355,590,0,0,2697,2938,0,0
DarrowmereLake,961,492,314,22,510,354,0,0,0,0,0,0,2297,0,0,0
CaerDarrow,962,194,208,22,601,390,0,0,0,0,0,0,2298,0,0,0
SorrowHill,963,368,220,22,261,448,0,0,0,0,0,0,197,3197,0,0
TheBulwark,965,316,316,22,48,235,349,231,423,312,0,0,813,0,0,0
FelstoneField,966,241,212,22,229,228,330,335,400,395,0,0,199,0,0,0
TheWrithingHaunt,968,169,195,22,472,332,411,510,476,590,0,0,202,0,0,0
NorthridgeLumberCamp,969,359,182,22,231,123,194,426,254,520,0,0,192,0,0,0
Hearthglen,970,432,271,22,235,0,66,387,163,513,0,0,190,0,0,0
GahrronsWithering,971,241,252,22,495,213,359,606,420,676,0,0,201,0,0,0
TheWeepingCave,972,185,230,22,551,151,244,620,294,670,0,0,198,0,0,0
ThondrorilRiver,973,311,436,22,533,0,0,0,0,0,0,0,2620,0,0,0
TheTwinColossals,984,350,334,121,271,0,88,429,153,500,0,0,1119,0,0,0
TheForgottenCoast,985,194,304,121,375,343,0,0,0,0,0,0,1108,0,0,0
DireMaul,986,265,284,121,485,101,167,550,310,659,0,0,2577,0,0,0
RuinsofIsildien,989,206,237,121,467,354,447,550,529,624,0,0,2522,0,0,0
CampMojache,991,174,220,121,671,181,273,737,323,795,0,0,1099,0,0,0
GordunniOutpost,993,192,157,121,663,116,164,714,235,801,0,0,1103,0,0,0
LowerWilds,997,207,209,121,756,191,234,800,314,864,0,0,1137,0,0,0
TheCrystalVale,1021,329,246,261,126,0,69,259,147,360,0,0,2740,0,0,0
HiveAshi,1022,405,267,261,345,4,100,451,202,539,0,0,2742,3426,0,0
SouthwindVillage,1023,309,243,261,550,181,275,614,360,695,0,0,2738,0,0,0
HiveZora,1025,542,367,261,0,206,310,254,411,374,0,0,2743,0,0,0
HiveRegal,1026,489,358,261,380,310,412,536,548,666,0,0,2744,3427,0,0
TheScarabWall,1027,580,213,261,0,455,0,0,0,0,0,0,2737,2741,0,0
Ironforge,1041,376,347,27,398,0,0,0,0,0,0,0,809,0,0,0
TheVice,1061,350,449,32,433,208,325,510,540,665,0,0,2561,0,0,0
Karazhan,1062,513,358,32,92,310,380,335,540,520,0,0,2562,0,0,0
CoilskarPoint,1101,512,512,473,348,8,130,407,222,501,0,0,3750,3749,0,0
EclipsePoint,1103,512,358,473,343,310,399,402,495,498,0,0,3822,0,0,0
LegionHold,1104,512,512,473,104,155,211,184,316,298,0,0,3743,0,0,0
NetherwingLedge,1105,492,223,473,510,445,513,605,634,814,0,0,3759,0,0,0
ShadowmoonVilliage,1107,512,512,473,116,35,129,238,221,350,0,0,3744,0,0,0
TheBlackTemple,1110,396,512,473,606,126,181,657,364,899,0,0,3840,3757,3756,0
TheDeathForge,1112,256,512,473,290,129,231,350,300,444,0,0,3748,0,0,0
TheHandofGuldan,1116,512,512,473,394,90,224,443,328,555,0,0,3746,3747,0,0
TheWardensCage,1118,512,410,473,469,258,306,516,365,633,0,0,3821,0,0,0
WildhammerStronghold,1121,512,439,473,168,229,370,308,436,403,0,0,3745,0,0,0
AngoroshGrounds,1125,256,256,467,88,50,119,147,191,214,0,0,3650,3640,0,0
CenarionRefuge,1126,308,256,467,694,321,386,755,461,870,0,0,3565,0,0,0
SunstriderIsle,1127,512,512,462,195,5,27,226,188,402,0,0,3431,3432,0,0
RuinsofSilvermoon,1128,256,256,462,307,136,223,401,303,460,0,0,3533,3531,3534,3532
WestSanctum,1129,128,256,462,292,319,362,335,409,372,0,0,3466,0,0,0
SunsailAnchorage,1130,256,128,462,231,404,440,250,487,339,0,0,3461,0,0,0
NorthSanctum,1132,256,256,462,361,298,321,392,353,463,0,0,3465,0,0,0
FeralfenVillage,1133,512,336,467,314,332,383,381,504,516,0,0,3642,3668,0,0
EastSanctum,1134,256,256,462,460,373,473,497,505,550,0,0,3467,0,0,0
FarstriderRetreat,1135,256,128,462,524,359,405,588,447,636,0,0,3464,0,0,0
TheHewnBog,1136,256,512,467,219,51,174,265,300,407,0,0,3667,0,0,0
StillwhisperPond,1137,256,256,462,474,314,362,541,393,576,0,0,3470,0,0,0
DuskwitherGrounds,1138,256,256,462,605,253,0,0,0,0,0,0,3480,0,0,0
MarshlightLake,1139,256,256,467,81,152,211,165,320,270,0,0,3656,0,3657,0
FairbreezeVilliage,1140,256,256,462,386,386,463,406,522,474,0,0,3462,0,0,0
QuaggRidge,1141,256,343,467,141,325,376,257,438,324,0,0,3646,3895,0,0
TheLivingWood,1142,128,248,462,511,420,462,468,500,618,0,0,3471,0,0,0
TorWatha,1143,256,353,462,648,315,455,677,607,765,0,0,3476,0,0,0
TheScortchedGrove,1145,256,128,462,255,507,550,309,600,417,0,0,3474,0,0,0
Telredor,1146,256,512,467,569,112,276,633,383,740,0,0,3644,0,0,0
TheDeadMire,1147,286,512,467,716,128,177,756,326,900,0,0,3648,3718,0,0
Tranquillien,1148,256,512,463,365,2,187,438,252,506,0,0,3488,3497,0,0
TheLagoon,1149,256,256,467,512,303,364,524,464,650,0,0,3659,3819,0,0
SuncrownVillage,1150,512,256,463,460,0,45,566,114,645,0,0,3489,3510,0,0
GoldenmistVillage,1151,512,512,463,44,0,69,202,135,297,0,0,3490,3515,0,0
WindrunnerVillage,1152,256,512,463,60,117,230,138,325,222,0,0,3491,3503,0,0
SanctumoftheMoon,1153,256,256,463,210,126,187,309,244,361,0,0,3494,0,0,0
TwinspireRuins,1154,256,256,467,342,249,307,378,385,580,0,0,3720,0,0,0
SanctumoftheSun,1155,256,512,463,448,150,296,538,347,587,0,0,3493,3509,3498,0
UmbrafenVillage,1156,256,207,467,720,461,510,793,587,880,0,0,3641,0,0,0
DawnstarSpire,1157,427,256,463,575,0,103,753,148,822,0,0,3495,3512,3513,3823
FarstriderEnclave,1158,429,256,463,573,136,198,701,231,747,0,0,3496,0,3516,0
AllerianStronghold,1161,256,256,478,480,277,335,523,424,621,0,0,3684,3691,0,0
HowlingZiggurat,1162,256,449,463,340,219,312,393,354,432,0,0,3502,3506,0,0
Deatholme,1163,512,293,463,95,375,455,264,613,400,0,0,3500,0,0,0
ZebNowa,1164,512,431,463,466,237,324,613,493,713,0,0,3517,3499,3507,0
AmaniPass,1165,404,436,463,598,232,390,731,472,818,0,0,3508,0,0,0
BleedingHollowClanRuins,1166,256,367,478,103,301,402,120,473,238,0,0,3719,3686,0,0
CenarionThicket,1167,256,256,478,314,0,112,403,160,475,0,0,3674,3859,0,0
FirewingPoint,1168,385,512,478,617,149,182,668,283,769,0,0,3681,0,0,0
GrangolvarVilliage,1169,512,256,478,143,171,248,379,280,413,0,0,3682,3677,0,0
SkethylMountains,1170,512,320,478,449,348,428,565,593,616,0,0,3693,3679,3690,3680
StonebreakerHold,1171,256,256,478,397,165,254,415,324,520,0,0,3683,3692,0,0
