ID,Description_lang,Amount,Flags,Operator,CriteriaID,Parent,OrderIndex
90,"Four Kings",1,16,0,19113,89,0
91,Elegon,1,16,0,19767,89,1
92,"Will of the Emperor",1,16,0,19115,89,2
97,"Shoot off 10 Festival Firecrackers in 30 seconds or less.",0,0,4,0,0,0
98,"Shoot off 10 Festival Firecrackers in 30 seconds or less",10,1,0,5755,97,1
103,"Honor the flames of Kalimdor.",0,0,4,0,0,0
104,Ashenvale,1,0,0,3076,103,0
105,"Bloodmyst Isle",1,0,0,3078,103,2
106,Desolace,1,0,0,3080,103,4
107,Feralas,1,0,0,3082,103,6
108,Teldrassil,1,0,0,3085,103,11
109,Tanaris,1,0,0,3084,103,10
110,"Dustwallow Marsh",1,0,0,3081,103,5
111,"Azuremyst Isle",1,0,0,3077,103,1
112,Silithus,1,0,0,3083,103,7
113,Winterspring,1,0,0,3087,103,13
114,Darkshore,1,0,0,3079,103,3
115,"Southern Barrens",1,0,0,17016,103,8
117,"Win 10 Arathi Basin matches while controlling all 5 flags.",0,0,4,0,0,0
118,"Win 10 Arathi Basin matches while controlling all 5 flags",10,1,0,1234,117,1
120,"Defeat Cyanigosa in The Violet Hold on Heroic Difficulty.",0,0,4,0,0,0
121,Cyanigosa,1,2,0,5613,120,1
123,"Obtain a Grand Ice Mammoth.",1,0,8,0,0,0
124,"Grand Ice Mammoth",0,2,0,7399,123,3
125,"Grand Ice Mammoth",0,2,0,7400,123,4
126,"Grand Ice Mammoth",1,2,0,7397,123,1
127,"Grand Ice Mammoth",1,2,0,7398,123,2
129,"Win Arathi Basin by 50 points or less.",0,0,4,0,0,0
130,"Win Arathi Basin by 50 points or less.",1,2,0,1235,129,0
132,"Proud owner of the 2007 Vintage Yellow Brewfest Stein.",1,0,8,0,0,0
133,"Filled Yellow Brewfest Stein",1,2,0,4073,132,2
134,"Filled Yellow Brewfest Stein",1,2,0,4075,132,4
135,"Filled Yellow Brewfest Stein",1,2,0,4077,132,6
136,"Filled Yellow Brewfest Stein",1,2,0,4076,132,5
137,"Yellow Brewfest Stein",1,2,0,4072,132,1
138,"Filled Yellow Brewfest Stein",1,2,0,4074,132,3
140,"Deaths in Warsong Gulch",0,0,4,0,0,0
141,"Deaths in Warsong Gulch",0,0,0,107,140,1
143,"Deaths from Drek'Thar",0,0,4,0,0,0
144,"Killed by Drek'Thar",0,0,0,456,143,1
146,"Items disenchanted",0,0,4,0,0,0
147,"Disenchanted items",0,0,0,4991,146,1
149,"Obtain 225 skill points in first aid.",0,0,4,0,0,0
150,"Obtain 225 skill points in first aid.",225,2,0,5592,149,1
152,"Defeat Kil'jaeden in Sunwell Plateau.",1,0,8,0,0,0
153,Kil'jaeden,1,2,0,3261,152,1
154,"Crown of Dath'Remar",1,2,0,4648,152,24
155,"Helm of Arcane Purity",1,2,0,4650,152,26
156,"Mask of the Fury Hunter",1,2,0,4652,152,28
157,"Apolyon, the Soul-Render",1,2,0,4597,152,2
158,"Cloak of Unforgivable Sin",1,2,0,4599,152,4
159,"Coif of Alleria",1,2,0,4600,152,5
160,"Cowl of Gul'dan",1,2,0,4602,152,7
161,"Crown of Anasterian",1,2,0,4604,152,9
162,"Crux of the Apocalypse",1,2,0,4605,152,10
163,"Hammer of Sanctification",1,2,0,4609,152,14
164,"Handguards of the Dawn",1,2,0,4612,152,17
165,"Helm of Burning Righteousness",1,2,0,4613,152,18
166,Sunflare,1,2,0,4614,152,19
167,"Thalassian Ranger Gauntlets",1,2,0,4616,152,21
168,"Helm of Uther's Resolve",1,2,0,4651,152,27
169,"Duplicitous Guise",1,2,0,4607,152,12
170,"Cover of Ursol the Wise",1,2,0,4601,152,6
171,"Dark Conjuror's Collar",1,2,0,4606,152,11
172,"Tattered Cape of Antonidas",1,2,0,4615,152,20
173,"Handguards of Defiled Worlds",1,2,0,4611,152,16
174,"Shroud of Chieftain Ner'zhul",1,2,0,4653,152,29
175,"Golden Staff of the Sin'dorei",1,2,0,4608,152,13
176,"Hand of the Deceiver",1,2,0,4610,152,15
177,"Thori'dal, the Stars' Fury",1,2,0,4617,152,22
178,"Cover of Ursoc the Mighty",1,2,0,4647,152,23
179,"Gloves of Tyri's Power",1,2,0,4649,152,25
180,"Borderland Paingrips",1,2,0,4598,152,3
181,"Cowl of Light's Purity",1,2,0,4603,152,8
183,"While your team holds 4 of the bases in Eye of the Storm, personally grab the flag and capture it.",1,0,4,0,0,0
184,"Capture a flag with 4 bases held",1,2,0,3693,183,0
186,"Take 50 graveyards in Alterac Valley.",0,0,4,0,0,0
187,"Take 50 graveyards",50,1,0,419,186,1
189,"Achieved Vengeful Gladiator title.",0,0,4,0,0,0
190,"Vengeful Gladiator",1,2,0,5599,189,1
192,"Receive 5 Coins of Ancestry.",0,0,4,0,0,0
193,"Receive 5 Coins of Ancestry",5,1,0,472,192,1
195,"Revived by druids",1,0,5,0,0,0
196,"Revive (Rank 7)",1,0,0,3815,195,1
197,"Revive (Rank 5)",0,0,0,4979,195,3
198,"Revive (Rank 4)",0,0,0,4980,195,4
199,"Revive (Rank 2)",0,0,0,4982,195,6
200,"Revive (Rank 6)",0,0,0,4978,195,2
201,"Revive (Rank 1)",0,0,0,4983,195,7
202,"Revive (Rank 3)",0,0,0,4981,195,5
204,"Win a greed roll on a superior or better item above level 185 by rolling 100.",0,0,4,0,0,0
205,"Roll greed and get exactly 100 on an item over level 185.",1,2,0,2358,204,1
207,"Talent tree respecs",0,0,4,0,0,0
208,"Talent tree respecs",0,0,0,3359,207,1
210,"Keli'dan the Breaker kills (The Blood Furnace)",0,0,4,0,0,0
211,"Keli'dan the Breaker",1,0,0,3239,210,1
213,"Catch a fish in each of the specific nodes listed below.",0,0,4,0,0,0
214,"Brackish Mixed School",1,0,0,3623,213,1
215,"Bluefish School",1,0,0,3624,213,2
216,"Mudfish School",1,0,0,3625,213,3
217,"School of Darter",1,0,0,3626,213,4
218,"Highland Mixed School",1,0,0,3627,213,5
219,"Sporefish School",1,0,0,3628,213,6
221,"Grand Widow Faerlina kills (Naxxramas 25 player)",0,0,4,0,0,0
222,"Grand Widow Faerlina",1,0,0,5126,221,1
227,"Explore Borean Tundra, revealing the covered areas of the world map.",0,0,4,0,0,0
228,"Temple City of En'kilah",0,0,0,4122,227,1
229,"The Geyser Fields",0,0,0,4134,227,12
230,"Garrosh's Landing",0,0,0,4126,227,5
231,"Bor'gorok Outpost",0,0,0,4129,227,8
232,"Riplash Strand",0,0,0,4124,227,3
233,"The Dens of the Dying",0,0,0,4135,227,13
234,"Steeljaw's Caravan",0,0,0,4123,227,2
235,Kaskala,0,0,0,4125,227,4
236,"Death's Stand",0,0,0,4127,227,6
237,"Amber Ledge",0,0,0,4130,227,9
238,"Warsong Hold",0,0,0,4131,227,10
239,"Valiance Keep",0,0,0,4132,227,11
240,Coldarra,0,0,0,4128,227,7
248,"Defeat Emperor Dagran Thaurissan.",1,0,8,0,0,0
249,"The Fate of the Kingdom",1,2,0,4262,248,2
250,"The Royal Rescue",1,2,0,4263,248,3
251,"Emperor Dagran Thaurissan",1,2,0,3266,248,1
253,"Defeat Darkmaster Gandling",0,0,4,0,0,0
255,"Darkmaster Gandling",1,2,0,19263,253,0
257,"Defeat the evil masterminds inhabiting Stratholme.",0,0,4,0,0,0
258,"Lord Aurius Rivendare",1,0,0,18471,257,2
259,Balnazzar,1,0,0,550,257,1
261,"Aeonus kills (Opening of the Dark Portal)",0,0,4,0,0,0
262,Aeonus,1,0,0,3247,261,1
264,"Most expensive bid on auction",0,0,4,0,0,0
265,"Highest Auction Bid",0,8,0,4222,264,1
267,"Win Eye of the Storm with a score of 1600 to 0.",1,0,8,0,0,0
268,"Win 1600 to 0",1,2,0,1238,267,0
270,"Win a need roll on a superior or better item above level 185 by rolling 100.",0,0,4,0,0,0
271,"roll need and get exactly 100 on an item above 185",1,2,0,2412,270,1
273,"Prince Malchezaar kills (Karazhan)",0,0,4,0,0,0
274,"Prince Malchezaar",1,0,0,3254,273,1
276,"Chief Ukorz Sandscalp kills (Zul'Farrak)",0,0,4,0,0,0
277,"Chief Ukorz Sandscalp",1,0,0,3265,276,1
279,"Earned the title, ""Warlord"".",0,0,4,0,0,0
280,Warlord,0,2,0,728,279,1
282,"Earned the title, ""General"".",0,0,4,0,0,0
283,General,0,2,0,729,282,1
285,"Statistic: Elixirs consumed",0,0,5,0,0,0
286,"Elixir of Lion's Strength",0,0,0,4370,285,42
287,"Elixir of Major Agility",0,0,0,4371,285,43
288,"Elixir of Major Defense",0,0,0,4372,285,44
289,"Elixir of Major Mageblood",0,0,0,4376,285,48
290,"Elixir of Major Shadow Power",0,0,0,4377,285,49
291,"Elixir of Mighty Defense",0,0,0,4381,285,53
292,"Greater Arcane Elixir",0,0,0,4402,285,74
293,"Ground Scorpok Assay",0,0,0,4403,285,75
294,"Elixir of Wisdom",0,0,0,4395,285,67
295,"Elixir of the Mongoose",0,0,0,4396,285,68
296,"Fel Strength Elixir",0,0,0,4399,285,71
297,"Gift of Arthas",0,0,0,4400,285,72
298,"Bloodberry Elixir",0,0,0,4342,285,14
299,"Elixir of Detect Undead",0,0,0,4353,285,25
300,"Elixir of Giant Growth",0,0,0,4360,285,32
301,"Elixir of Greater Agility",0,0,0,4362,285,34
302,"Arcane Elixir",0,0,0,4341,285,13
303,"Cerebral Cortex Compound",0,0,0,4344,285,16
304,"Elixir of Mighty Strength",0,0,0,4384,285,56
305,"Elixir of Minor Agility",0,0,0,4385,285,57
306,"Elixir of Shadow Power",0,0,0,4389,285,61
307,"Elixir of Spirit",0,0,0,4390,285,62
308,"Sheen of Zanza",0,0,0,4337,285,0
309,"Swiftness of Zanza",0,0,0,4339,285,11
310,"Earthen Elixir",0,0,0,4345,285,17
311,"Elixir of Brute Force",0,0,0,4347,285,19
312,"Elixir of Defense",0,0,0,4349,285,21
313,"Elixir of Demonslaying",0,0,0,4350,285,22
314,"Elixir of Detect Demon",0,0,0,4351,285,23
315,"Elixir of Fortitude",0,0,0,4358,285,30
316,"Elixir of Frost Power",0,0,0,4359,285,31
317,"Elixir of Greater Firepower",0,0,0,4364,285,36
318,"Elixir of Greater Intellect",0,0,0,4365,285,37
319,"Strong Troll's Blood Elixir",0,0,0,8648,285,9
320,"Elixir of Mighty Defense",0,0,0,8062,285,80
321,"Elixir of Mighty Thoughts",0,0,0,8066,285,81
322,"Adept's Elixir",0,0,0,4340,285,12
323,"Major Troll's Blood Elixir",0,0,0,8074,285,85
324,"Elixir of Mighty Agility",0,0,0,4380,285,52
325,"Weak Troll's Blood Elixir",0,0,0,8076,285,102
326,"Mighty Troll's Blood Elixir",0,0,0,8077,285,101
327,"Wrath Elixir",0,0,0,8078,285,100
328,"Bloodkelp Elixir of Dodging",0,0,0,8082,285,96
329,"Elixir of Shadows",0,0,0,8086,285,92
330,"Drakuru's Elixir",0,0,0,8087,285,91
331,"Zort's Protective Elixir",0,0,0,8089,285,89
332,"Elixir of Draenic Wisdom",0,0,0,4354,285,26
333,"Elixir of Giants",0,0,0,4361,285,33
334,"Elixir of Lesser Agility",0,0,0,4369,285,41
335,"Bloodkelp Elixir of Resistance",0,0,0,8083,285,95
336,"Elixir of Water Walking",0,0,0,4394,285,66
337,"Elixir of Expertise",0,0,0,8063,285,110
338,"Crystal Ward",0,0,0,8068,285,82
339,"Juju Chill",0,0,0,8070,285,83
340,"Juju Escape",0,0,0,8071,285,105
341,"Elixir of Accuracy",0,0,0,8031,285,87
342,"Elixir of Armor Piercing",0,0,0,8064,285,109
343,"Elixir of Lightning Speed",0,0,0,8065,285,108
344,"Juju Ember",0,0,0,8069,285,106
345,"Winterfall Firewater",0,0,0,8073,285,104
346,"Mageblood Elixir",0,0,0,8075,285,103
347,"Spellpower Elixir",0,0,0,8079,285,99
348,"Worg's Blood Elixir",0,0,0,8081,285,97
349,"Videre Elixir",0,0,0,8084,285,94
350,"Ahuurn's Elixir",0,0,0,8085,285,93
351,"Zort's Protective Elixir",0,0,0,8088,285,90
352,"Juju Might",0,0,0,8072,285,84
353,"Elixir of Deadly Strikes",0,0,0,8032,285,86
354,"Elixir of Empowerment",0,0,0,4356,285,28
355,"Elixir of Ironskin",0,0,0,4368,285,40
356,"Elixir of Ogre's Strength",0,0,0,4388,285,60
357,"Lung Juice Cocktail",0,0,0,4404,285,76
358,"Spirit of Zanza",0,0,0,4338,285,10
359,"Elixir of Major Strength",0,0,0,4378,285,50
360,"Crystal Force",0,0,0,8067,285,107
361,"Noggenfogger Elixir",0,0,0,4406,285,78
362,"Murkweed Elixir",0,0,0,8090,285,88
363,"Elixir of Healing Power",0,0,0,4367,285,39
364,"Elixir of Major Firepower",0,0,0,4373,285,45
365,"Elixir of Major Frost Power",0,0,0,4375,285,47
366,"Elixir of Major Fortitude",0,0,0,4374,285,46
367,"Catseye Elixir",0,0,0,4343,285,15
368,"Elixir of Agility",0,0,0,4346,285,18
369,"Elixir of Dream Vision",0,0,0,4355,285,27
370,"Elixir of Firepower",0,0,0,4357,285,29
371,"Elixir of Greater Defense",0,0,0,4363,285,35
372,"Elixir of Greater Water Breathing",0,0,0,4366,285,38
373,"Elixir of Camouflage",0,0,0,4348,285,20
374,"Elixir of Detect Lesser Invisibility",0,0,0,4352,285,24
375,"Elixir of Mastery",0,0,0,4379,285,51
376,"Elixir of Mighty Fortitude",0,0,0,4382,285,54
377,"Elixir of Mighty Mageblood",0,0,0,4383,285,55
378,"Elixir of Minor Defense",0,0,0,4386,285,58
379,"Elixir of Minor Fortitude",0,0,0,4387,285,59
380,"Elixir of Superior Defense",0,0,0,4391,285,63
381,"Elixir of Toughness",0,0,0,4392,285,64
382,"Elixir of Water Breathing",0,0,0,4393,285,65
383,"Elixir of the Sages",0,0,0,4397,285,69
384,"Elixir of the Searching Eye",0,0,0,4398,285,70
385,"Gizzard Gum",0,0,0,4401,285,73
386,R.O.I.D.S.,0,0,0,4405,285,77
387,"Onslaught Elixir",0,0,0,4407,285,79
388,"Guru's Elixir",0,0,0,8080,285,98
389,"Elixir of Deep Earth",0,0,0,19156,285,1
390,"Elixir of the Cobra",0,0,0,19157,285,2
391,"Elixir of Impossible Accuracy",0,0,0,19158,285,3
392,"Elixir of the Master",0,0,0,19159,285,4
393,"Elixir of the Mighty Speed",0,0,0,19160,285,5
394,"Prismatic Elixir",0,0,0,19161,285,6
395,"Ghost Elixir",0,0,0,19162,285,7
396,"Elixir of the Naga",0,0,0,19163,285,8
398,"Total times LOL'd",0,0,5,0,0,0
399,laugh,0,0,0,3238,398,1
400,chuckle,0,0,0,7194,398,5
401,guffaw,0,0,0,7195,398,2
402,rofl,0,0,0,7196,398,3
403,giggle,0,0,0,7197,398,4
405,"Explore Teldrassil, revealing the covered areas of the world map.",0,0,4,0,0,0
406,"Starbreeze Village",1,0,0,1305,405,8
407,"The Oracle Glade",1,0,0,1306,405,9
408,"Wellspring Lake",1,0,0,1307,405,10
409,Darnassus,1,0,0,1308,405,11
410,"Lake Al'Ameth",1,0,0,1303,405,6
411,Shadowglen,1,0,0,1299,405,1
412,"Ban'ethil Hollow",1,0,0,1300,405,4
413,"Gnarlpine Hold",1,0,0,1302,405,5
414,"Rut'theran Village",1,0,0,1309,405,12
415,"Pools of Arlithrien",1,0,0,1304,405,7
416,"The Cleft",1,0,0,14088,405,2
417,Dolanaar,1,0,0,14089,405,3
419,"Win Warsong Gulch.",0,0,4,0,0,0
420,"Win Warsong Gulch",1,2,0,5899,419,1
422,"Complete 100 victories in Warsong Gulch.",0,0,4,0,0,0
423,"Complete 100 victories in Warsong Gulch",100,1,0,5899,422,1
425,"Defeat Pathaleon the Calculator on Heroic Difficulty.",0,0,4,0,0,0
426,"Pathaleon the Calculator",1,2,0,3720,425,1
428,"Kill Lor'themar Theron.",0,0,4,0,0,0
429,"Lor'themar Theron",1,2,0,483,428,1
431,"Raise your reputation level from unfriendly to exalted with Timbermaw Hold, Sporeggar and the Kurenai.",0,0,4,0,0,0
432,"Exalted with the Kurenai",42000,0,0,5337,431,2
433,"Exalted with the Sporeggar",42000,0,0,4757,431,3
434,"Exalted with Timbermaw Hold",42000,0,0,2011,431,1
436,"Obtain The Horseman's Reins from The Headless Horseman in the Scarlet Monastery during Hallow's End.",1,0,8,0,0,0
437,"Headless Horseman's Mount",0,2,0,6160,436,1
439,"Earned the title, ""Legionnaire"".",0,0,4,0,0,0
440,Legionnaire,0,2,0,733,439,1
448,"While wearing 3 pieces of Brewfest clothing, get completely smashed and dance in Dalaran.",0,0,4,0,0,0
449,/dance,1,2,0,4112,448,1
451,"Slay 15 turkeys in 3 minutes.",0,0,4,0,0,0
452,"15 Turkeys in 3 minutes",1,2,0,3821,451,1
454,"Enjoy a Buttermilk Delight with someone in Dalaran at a Romantic Picnic during the Love is in the Air celebration.",0,0,4,0,0,0
455,"Buttermilk Delight at Romantic Picnic",1,2,0,4071,454,1
456,"Romantic Picnic",1,2,0,5787,454,2
458,"First Aid skill",0,0,4,0,0,0
459,"First aid skill",525,1,0,5592,458,1
461,"Visit a Barber Shop and get your hair cut.",0,0,4,0,0,0
462,"Visit a barbershop and pay for using their services.",1,2,0,2341,461,1
464,"Shoot off 10 Love Rockets in 20 seconds or less.",0,0,4,0,0,0
465,"Shoot off 10 Love Rockets in 20 seconds or less",10,1,0,6295,464,1
467,"Number of times hearthed",0,0,4,0,0,0
468,Hearthstone,0,0,0,5008,467,1
469,"Ruby Slippers",0,0,0,11719,467,2
470,"The Innkeeper's Daughter",0,0,0,17387,467,3
472,"Explore Zangarmarsh, revealing the covered areas of the world map.",0,0,4,0,0,0
473,"Quagg Ridge",1,0,0,1648,472,6
474,"The Lagoon",1,0,0,1651,472,9
475,Telredor,1,0,0,1649,472,7
476,"Cenarion Refuge",1,0,0,1611,472,1
477,"Feralfen Village",1,0,0,1612,472,3
478,"Umbrafen Village",1,0,0,1653,472,11
479,Sporeggar,1,0,0,1654,472,12
480,"Orebor Harborage",1,0,0,1657,472,15
481,"The Spawning Glen",1,0,0,1658,472,16
482,"Darkcrest Shore",1,0,0,1667,472,18
483,"The Dead Mire",1,0,0,1650,472,8
484,"Twin Spire Ruins",1,0,0,1652,472,10
485,"Ango'rosh Grounds",1,0,0,1610,472,2
486,"Marshlight Lake",1,0,0,1647,472,5
487,"Ango'rosh Stronghold",1,0,0,1655,472,13
488,"Bloodscale Grounds",1,0,0,1656,472,14
489,Zabra'jin,1,0,0,1659,472,17
490,"Hewn Bog",1,0,0,1613,472,4
492,"Explore Grizzly Hills, revealing the covered areas of the world map.",0,0,4,0,0,0
493,Voldrune,0,0,0,4187,492,10
494,"Granite Springs",0,0,0,4182,492,5
495,"Camp Oneqwah",0,0,0,4190,492,13
496,"Drak'Tharon Keep",0,0,0,4179,492,2
497,"Amberpine Lodge",0,0,0,4188,492,11
498,"Blue Sky Logging Grounds",0,0,0,4189,492,12
499,"Conquest Hold",0,0,0,4178,492,1
500,"Drakil'jin Ruins",0,0,0,4180,492,3
501,"Dun Argol",0,0,0,4181,492,4
502,Grizzlemaw,0,0,0,4183,492,6
503,"Rage Fang Shrine",0,0,0,4184,492,7
504,"Thor Modan",0,0,0,4185,492,8
505,"Venture Bay",0,0,0,4186,492,9
506,"Westfall Brigade Encampment",0,0,0,4191,492,14
508,"Earn a 2200 personal rating in the 5v5 bracket of the arena.",0,0,4,0,0,0
509,"2200 rating",2200,2,0,452,508,1
511,"Win Alterac Valley while your team controls both mines.",0,0,4,0,0,0
512,"Kobold Cave Owned",1,2,0,3388,511,0
513,"Trogg Cave Owned",1,2,0,3389,511,1
515,"Complete the Flame Keeper achievements.",0,0,4,0,0,0
516,"Flame Keeper of Kalimdor",0,0,0,3200,515,3
517,"Flame Keeper of Outland",0,0,0,3201,515,5
518,"Flame Keeper of Eastern Kingdoms",0,0,0,3199,515,2
519,"Flame Keeper of Cataclysm",0,0,0,18216,515,1
520,"Flame Keeper of Northrend",0,0,0,18217,515,4
522,"Wielder of Sulfuras, Hand of Ragnaros.",1,0,8,0,0,0
523,,1,2,0,12478,58228,1
524,"Sulfuras, Hand of Ragnaros",1,2,0,318,58228,0
526,"Gain exalted reputation with the Warsong Outriders.",0,0,4,0,0,0
527,"Exalted with Warsong Outriders",42000,2,0,5319,526,1
529,"Defeat Keli'dan the Breaker on Heroic Difficulty.",0,0,4,0,0,0
530,"Keli'dan the Breaker",1,2,0,3710,529,1
532,"5v5 victories",0,0,5,0,0,0
533,"Ruins of Lordaeron 5v5 Wins",0,0,0,8601,532,2
534,"Nagrand 5v5 Wins",0,0,0,8600,532,3
535,"Dalaran 5v5 Wins",0,0,0,8599,532,4
536,"Blade's Edge 5v5 Wins",0,0,0,5726,532,0
537,"Ring of Valor 5v5 Wins",0,0,0,8602,532,1
539,"2v2 matches",0,0,5,0,0,0
540,"Ring of Valor 2v2 Matches",0,0,0,8614,539,3
541,"Ruins of Lordaeron 2v2 Matches",0,0,0,8613,539,2
542,"Dalaran 2v2 Matches",0,0,0,8611,539,4
543,"nagrand 2v2 Matches",0,0,0,8612,539,1
544,"Blade's Edge 2v2 Matches",0,0,0,5725,539,0
546,"Most factions at Revered or higher",0,0,4,0,0,0
547,"Factions at revered",0,0,0,5299,546,1
549,"Get 10000 honorable kills.",0,0,4,0,0,0
550,"Get 10000 honorable kills",10000,1,0,13253,549,1
552,"Defeat Nefarian.",1,0,8,0,0,0
553,Nefarian,1,2,0,3273,552,1
554,"Therazane's Link",1,2,0,4564,552,5
555,"Boots of the Shadow Flame",1,2,0,4567,552,8
556,"Breastplate of Wrath",1,2,0,4578,552,19
557,"Archimtiros' Ring of Reckoning",1,2,0,4565,552,6
558,"Judgement Breastplate",1,2,0,4580,552,21
559,"Stormrage Chestguard",1,2,0,4581,552,22
560,"Robes of Transcendence",1,2,0,4584,552,25
561,"Ashkandi, Greatsword of the Brotherhood",1,2,0,4566,552,7
562,"Crul'shorukh, Edge of Chaos",1,2,0,4569,552,10
563,"The Lord of Blackrock",1,2,0,4447,552,2
564,"The Lord of Blackrock",1,2,0,4448,552,3
565,"Cloak of the Brood Lord",1,2,0,4568,552,9
566,"Lok'amir il Romathis",1,2,0,4570,552,11
567,"Neltharion's Tear",1,2,0,4572,552,13
568,"Staff of the Shadow Flame",1,2,0,4575,552,16
569,"Breastplate of Ten Storms",1,2,0,4577,552,18
570,"Dragonstalker's Breastplate",1,2,0,4579,552,20
571,"Nefarius's Corruption",1,2,0,4449,552,4
572,"Bloodfang Chestpiece",1,2,0,4576,552,17
573,"Prestor's Talisman of Connivery",1,2,0,4573,552,14
574,"Pure Elementium Band",1,2,0,4574,552,15
575,"Netherwind Robes",1,2,0,4583,552,24
576,"Mish'undare, Circlet of the Mind Flayer",1,2,0,4571,552,12
577,"Nemesis Robes",1,2,0,4582,552,23
579,"Defeat Ragnaros.",1,0,8,0,0,0
580,Ragnaros,1,2,0,3272,579,1
581,"Onslaught Girdle",1,2,0,4544,579,4
582,"Band of Sulfuras",1,2,0,4545,579,6
583,"Choker of the Fire Lord",1,2,0,4546,579,7
584,"Crown of Destruction",1,2,0,4549,579,10
585,"Leggings of Transcendence",1,2,0,4550,579,11
586,"Legplates of Wrath",1,2,0,4553,579,14
587,"Nemesis Leggings",1,2,0,4556,579,17
588,"Stormrage Legguards",1,2,0,4558,579,19
589,"Bloodfang Pants",1,2,0,4555,579,16
590,"Dragonstalker's Legguards",1,2,0,4551,579,12
591,"Judgement Legplates",1,2,0,4552,579,13
592,"The Only Prescription",1,2,0,4437,579,3
593,"Malistar's Defender",1,2,0,4559,579,20
594,"Cloak of the Shrouded Mists",1,2,0,4561,579,22
595,"Spinal Reaper",1,2,0,4563,579,24
596,"Band of Accuria",1,2,0,4560,579,21
597,"Dragon's Blood Cape",1,2,0,5055,579,25
598,"Essence of the Pure Flame",1,2,0,4547,579,8
