ID,Effect,EffectBasePoints,EffectIndex,EffectAura,DifficultyID,EffectAmplitude,EffectAuraPeriod,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectDieSides,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectRealPointsPerLevel,EffectTriggerSpell,EffectPos_facing,EffectAttributes,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectSpellClassMask_0,EffectSpellClassMask_1,EffectSpellClassMask_2,EffectSpellClassMask_3,EffectMiscValue_0,EffectMiscValue_1,EffectRadiusIndex_0,EffectRadiusIndex_1,ImplicitTarget_0,ImplicitTarget_1,SpellID
2060,6,5,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5858
2303,6,140,0,16,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6538
2363,6,300,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6634
2413,27,50,1,3,0,0,3000,0.10000000149,1,0,0,0,0,0,1.39999997616,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,16,0,6725
3056,2,223,0,0,0,0,0,1,1,0,39,0,0,0,1.64999997616,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,22,15,7739
3074,24,1,0,0,0,0,0,0,1,0,0,6316,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7754
3331,6,5,0,16,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8152
3361,6,5,0,16,0,0,0,0,1,0,0,0,0,0,2.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8218
3680,6,9999,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,8822
3693,2,416,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,32,0,104,0,8873
4052,6,5,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9572
4103,6,180,1,16,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9736
4109,6,180,1,16,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9740
4166,24,1,0,0,0,0,0,0,1,0,0,7916,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,9818
4237,6,9999,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10032
4322,44,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,516,0,0,0,0,0,10239
4427,24,1,0,0,0,0,0,0,1,0,0,8216,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10562
4767,6,1000,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11327
4923,24,1,0,0,0,0,0,0,1,0,0,9316,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11545
5214,2,263,0,0,0,0,0,1,1,0,53,0,0,0,0.89999997616,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,12170
5743,24,1,0,0,0,0,0,0,1,0,0,10716,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12899
6083,53,0,0,0,0,0,0,0,1,0,0,38816,0,0,0,0,0,0,0,1,0.15000000596,0,0,1,0,0,0,0,4736,11,0,0,0,0,13659
7743,24,1,0,0,0,0,0,0,1,0,0,12216,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,15915
7922,6,99999,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,16122
8219,9,100,0,0,0,2,0,1,1,0,0,0,0,0,16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,16495
8374,24,1,0,0,0,0,0,0,1,0,0,12416,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,16645
8726,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4771,0,0,0,1,0,17045
11529,6,5,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,20540
11827,24,1,0,0,0,0,0,0,1,0,0,17016,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,20897
12227,61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7216,0,0,0,0,0,21538
12496,24,1,0,0,0,0,0,0,1,0,0,17716,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,21940
12555,116,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22027
12738,6,0,0,22,0,0,0,0,1,0,0,0,0,0,-16,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,22426
12833,2,1416,0,0,0,0,0,1,1,0,407,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,18,0,24,0,22642
12986,6,1,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22766
13918,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7142,0,0,0,21,0,23658
13920,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7872,0,0,0,1,0,23659
13921,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7871,0,0,0,1,0,23660
14265,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8114,0,0,0,21,0,24061
14270,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8115,0,0,0,21,0,24064
14671,6,-2000,0,107,0,0,0,1,1,0,0,16416,0,0,0,0,0,0,0,1,0,0,0,1,16416,0,0,0,11,0,0,0,1,0,24429
14686,6,100,0,16,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24450
15095,24,1,0,0,0,0,0,1,1,0,0,20416,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,24874
15430,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8305,0,12,0,22,7,25201
15443,24,1,0,0,0,0,0,0,1,0,0,20816,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25255
15745,6,-30,0,216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,25810
16354,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8868,0,0,0,1,0,26394
16388,24,3,0,0,0,0,0,0,1,0,0,21716,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26427
17723,2,489,0,0,0,0,0,0.18999999762,1,0,87,0,0,0,1.89999997616,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,0,22,15,28269
18181,6,30,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,28719
18463,24,1,0,0,0,0,0,0,1,0,0,23116,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,28948
18682,10,45,0,0,0,1,0,0.1230000034,1,0,11,0,0,0,0.89999997616,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,25,0,29170
18817,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9378,0,0,0,1,0,29294
18841,6,-300,0,216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10,0,22,15,29310
18986,6,9999,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,29448
19019,53,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.47999998927,0,0,1,0,0,0,0,2716,0,0,0,0,0,29480
19181,24,1,0,0,0,0,0,0,1,0,0,23516,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,29615
19981,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9538,0,0,0,1,0,30419
20437,6,1,0,16,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,30831
20628,6,1,0,16,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,30991
20705,24,1,0,0,0,0,0,0,1,0,0,24116,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,31071
20932,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9711,0,0,0,25,0,31339
20977,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9711,0,20,0,22,30,31377
21056,24,1,0,0,0,0,0,0,1,0,0,24255,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,31442
21129,6,1,0,16,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,31526
21238,6,9999,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,31621
21914,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9889,0,0,11,22,15,32174
21945,6,65,0,16,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,32199
22227,9,722,0,0,0,1,0,1,2,0,255,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,32428
22388,6,1,0,16,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,32615
24142,6,-50,0,16,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,34189
24964,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10277,0,0,0,25,0,34883
25351,6,9999,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,35205
25793,24,1,0,0,0,0,0,0,1,0,0,29516,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,35576
26275,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10454,0,0,0,25,0,35998
26492,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13516,0,0,0,0,0,36182
27708,6,30,0,107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,1,0,37224
27869,6,45,0,42,0,0,0,0,1,0,0,0,0,0,0,18350,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,37375
28018,6,45,0,42,0,0,0,0,1,0,0,0,0,0,0,18350,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,37496
28021,6,45,0,42,0,0,0,0,1,0,0,0,0,0,0,37501,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,37499
28377,2,1416,0,0,0,0,0,0,1,0,407,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,38,0,37784
28441,24,1,0,0,0,0,0,0,1,0,0,30816,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,37836
28604,2,4516,0,0,0,0,0,0.42899999022,1,0,1119,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,14,22,30,37966
29041,6,45,0,4,0,0,0,0,1,0,0,0,0,0,0,18350,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,38297
29137,6,16,0,43,0,0,0,1,1,0,0,0,0,0,16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,38379
29142,58,150,0,0,0,1,0,1,1,3,0,0,0,0,16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,38383
29952,2,1416,0,0,0,0,0,1,1,0,407,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,18,0,24,0,39036
30332,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,36,0,1,0,39330
30457,6,45,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16,0,0,0,0,0,0,0,1,0,39437
30584,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10886,0,0,0,1,0,39564
30695,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10977,0,0,0,1,0,39660
30971,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10985,0,33,0,22,7,39932
32654,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11087,0,0,0,25,0,41250
32759,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11090,0,22,0,22,15,41340
32905,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11097,0,22,0,22,30,41454
33897,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11131,0,12,0,22,7,42242
33995,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27239,0,0,0,1,0,42316
34027,6,1,0,16,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42347
34501,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11226,0,0,0,25,0,42781
34577,6,9999,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42866
34622,6,1,0,16,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42932
34625,6,9999,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42943
34914,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11289,0,0,0,25,0,43228
35097,24,0,0,0,0,0,0,0,1,0,0,33616,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,43374
35187,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11334,0,0,0,25,0,43445
35216,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11344,0,10,0,22,7,43468
35223,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11345,0,0,0,25,0,43472
35224,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11334,0,0,0,25,0,43473
35225,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11334,0,0,0,25,0,43474
35226,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11336,0,0,0,21,0,43475
35228,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11337,0,0,0,21,0,43477
35235,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11338,0,0,0,21,0,43483
35237,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11335,0,0,0,21,0,43484
35992,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11429,0,12,0,27,37,44124
36124,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11436,0,0,0,25,0,44247
36260,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11460,0,0,0,1,0,44363
36377,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11472,0,0,0,1,0,44463
36415,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11485,0,0,0,27,0,44499
36512,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11491,0,0,0,27,0,44569
36610,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11495,0,23,0,22,7,44682
36853,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11518,0,0,0,25,0,44934
36869,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11516,0,0,0,27,0,44947
36889,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11496,0,0,0,1,0,44969
36928,6,-100,0,216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,127,0,0,33,22,15,45001
37341,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1.89999997616,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13,0,24,0,45385
37722,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11731,0,0,0,25,0,45719
38045,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11711,0,0,0,25,0,45981
38068,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11719,0,0,0,1,0,45997
38171,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11657,0,0,0,25,0,46081
38322,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11874,0,0,0,25,0,46206
38352,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11878,0,0,0,25,0,46231
38520,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11891,0,10,0,18,8,46375
38767,6,-15,0,216,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,46629
38787,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11922,0,0,0,25,0,46651
38790,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11923,0,0,0,25,0,46654
38819,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11930,0,0,0,27,0,46676
38858,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11937,0,0,0,25,0,46711
38982,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11964,0,0,0,25,0,46825
38983,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11966,0,0,0,25,0,46826
39113,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11975,0,0,0,25,0,46956
39203,6,75,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,47032
39310,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11293,0,0,0,1,0,47134
39731,6,9999,2,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,47521
40026,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12139,0,12,0,22,7,47775
40212,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12150,0,27,0,7,0,48028
40795,6,106785,0,332,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16777216,0,0,0,0,3,0,0,1,0,48629
41033,6,75,1,255,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15,0,0,0,6,0,48873
41201,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12327,0,0,0,1,0,49098
41246,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12327,0,12,0,7,0,49131
41360,24,1,0,0,0,0,0,0,1,0,0,36916,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,49252
42733,2,104,0,0,0,0,0,1,1,0,16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,13,22,15,50522
43220,24,1,0,0,0,0,0,0,1,0,0,38416,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,50951
43768,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12570,0,23,0,7,0,51448
43825,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12600,0,0,0,25,0,51495
44112,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12616,0,0,0,25,0,51728
44199,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11122,0,0,0,25,0,51798
44220,16,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12616,0,0,0,1,0,51812
44442,6,5000,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,52006
44533,6,1,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,52103
44831,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12687,0,0,0,25,0,52361
44843,2,216,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,1,0,0,0,1,14684919,0,0,0,0,0,0,0,6,0,52372
45024,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12694,0,0,0,25,0,52511
45028,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12693,0,0,0,25,0,52515
45076,10,1572,0,0,0,0,0,0,1,0,255,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,52552
