Title_lang,Description_lang,Reward_lang,Flags,Instance_ID,Supercedes,Category,Ui_order,Shares_criteria,Faction,Points,Minimum_criteria,ID,IconFileID,Criteria_tree
"Quick Cap","Grab the flag and capture it in under 75 seconds.",,0,489,0,14804,16,0,1,10,0,202,236353,2342
"Not In My House","In a single Warsong Gulch battle, kill 2 flag carriers before they leave the Silverwing Flag Room.",,0,489,0,14804,14,0,1,10,0,203,236362,2077
Ironman,"In a single Warsong Gulch battle, carry and capture the flag 3 times without dying.",,0,489,0,14804,10,0,-1,10,0,204,236344,3655
"Supreme Defender","Kill 100 flag carriers in Warsong Gulch.",,0,489,0,14804,6,0,1,10,0,206,236360,3409
"Save the Day","Kill the enemy who is carrying your flag in the opposing team's flag room while the opposing team's flag is at their base, within their control.",,0,489,0,14804,18,0,-1,10,1,207,132308,13704
"Eye of the Storm Victory","Win Eye of the Storm.",,0,566,0,14803,1,0,-1,10,0,208,236392,1763
"Eye of the Storm Veteran","Complete 100 victories in Eye of the Storm.",,128,566,208,14803,2,0,-1,10,0,209,236383,1766
"Storm Glory","While your team holds 4 of the bases in Eye of the Storm, personally grab the flag and capture it.",,0,566,0,14803,12,0,-1,10,0,211,236354,183
"Storm Capper","Personally carry and capture the flag in Eye of the Storm.",,128,566,0,14803,7,0,-1,10,0,212,236349,5265
Stormtrooper,"Kill 5 flag carriers in a single Eye of the Storm battle.",,128,566,0,14803,6,0,-1,10,0,213,236359,5778
Flurry,"Win Eye of the Storm in under 6 minutes.",,0,566,0,14803,5,0,-1,10,0,214,236393,3145
"Bound for Glory","In a single Eye of the Storm match, capture the flag 3 times without dying.",,0,566,0,14803,8,0,-1,10,0,216,135739,5268
"Alterac Valley Victory","Win Alterac Valley.",,0,30,0,14801,1,0,-1,10,0,218,236388,6278
"Alterac Valley Veteran","Complete 100 victories in Alterac Valley.",,0,30,218,14801,2,0,-1,10,0,219,236382,3874
"Stormpike Perfection","Win Alterac Valley without losing a tower or captain. You must also control all of the Horde's towers.",,0,30,0,14801,11,0,1,20,0,220,133431,3823
"Alterac Grave Robber","Take 50 graveyards in Alterac Valley.",,0,30,0,14801,3,0,-1,10,0,221,236399,186
"Tower Defense","Defend 50 towers in Alterac Valley.",,0,30,0,14801,4,0,-1,10,0,222,236351,3358
"The Sickly Gazelle","In Alterac Valley, kill an enemy in the Field of Strife before they dismount.",,0,30,0,14801,10,0,-1,10,0,223,236361,3412
"Loyal Defender","In Alterac Valley, kill 50 enemy players in the Hall of the Frostwolf.",,0,30,0,14801,5,0,0,10,0,224,236368,4479
"Everything Counts","Win Alterac Valley while your team controls both mines.",,0,30,0,14801,7,0,1,10,0,225,236389,3835
"The Alterac Blitz","Win Alterac Valley in 6 minutes.",,0,30,0,14801,9,0,-1,20,0,226,236390,7771
"Damage Control","Do 300,000 damage or healing in a single battle in any battleground. The damage or healing must be done to a player.",,0,-1,0,95,39,0,-1,10,1,227,236374,990
"The Grim Reaper","Get 30 Honorable Kills in a single battle in any battleground.",,0,-1,0,95,34,0,-1,10,1,229,136177,914
Battlemaster,"Complete the battleground achievements listed below.","Title Reward: Battlemaster",143360,-1,0,95,44,0,1,50,0,230,236591,4965
"Wrecking Ball","Get 20 killing blows without dying in a single battle in any battleground.",,0,-1,0,95,40,0,-1,10,1,231,132364,3855
"Bloodthirsty Berserker","Get a killing blow while under the effects of the berserker buff in Eye of the Storm.",,0,566,0,14803,11,0,-1,10,0,233,136012,5215
"An Honorable Kill","Achieve an honorable kill.",,0,-1,0,95,2,0,-1,10,0,238,236647,5218
"25000 Honorable Kills","Get 25000 honorable kills.",,135168,-1,509,95,8,0,-1,10,0,239,236657,5221
"That Takes Class","Get an honorable, killing blow on one of each class.",,0,-1,0,95,13,0,-1,10,0,245,132092,6934
"Know Thy Enemy","Get an honorable, killing blow against all Horde races.",,0,-1,0,95,14,0,1,10,0,246,132155,6264
"Make Love, Not Warcraft","Emote /hug on a dead enemy before they release corpse.",,0,-1,0,95,16,0,-1,10,0,247,135767,8295
"Sunday's Finest","Discover the White Tuxedo Shirt and Black Tuxedo Pants by opening Brightly Colored Eggs during the Noblegarden celebration.",,0,-1,0,159,4,0,-1,10,0,248,135012,8291
"Dressed for the Occasion","Discover an Elegant Dress by opening Brightly Colored Eggs during the Noblegarden celebration.",,0,-1,0,159,5,0,-1,10,0,249,132645,4669
"With a Little Helper from My Friends","Earn 50 honorable kills as a Little Helper from the Winter Wondervolt machine.",,128,-1,0,156,2,0,-1,10,0,252,236703,4724
"Bring Me The Head of... Oh Wait","Kill the Headless Horseman.",,0,-1,0,158,3,0,-1,10,0,255,134015,1673
Scrooge,"Throw a snowball at Baine Bloodhoof during the Feast of Winter Veil.",,0,-1,0,156,3,0,0,10,1,259,132387,20082
Charming,"Create 12 Lovely Charm Bracelets.",,0,-1,0,187,2,0,-1,10,0,260,133334,2103
"Ice the Frost Lord","Slay Ahune in the Slave Pens.",,0,-1,0,161,1,0,-1,10,1,263,135861,5612
"Burning Hot Pole Dance","Dance at the ribbon pole for 60 seconds while wearing completed Midsummer set.",,0,-1,0,161,2,0,-1,10,0,271,236216,7608
"Torch Juggler","Juggle 40 torches in 15 seconds in Dalaran.",,0,-1,0,161,40,0,-1,10,0,272,135433,2097
"On Metzen!","Save Metzen the Reindeer.",,0,-1,0,156,1,0,-1,10,1,273,236707,5556
"Veteran Nanny","Acquire Egbert's Egg, Sleepy Willy, and Elekk Training Collar on one character.",,0,-1,0,163,7,0,-1,50,0,275,134505,3662
"'Tis the Season","During the Feast of Winter Veil, wear 3 pieces of winter clothing and eat Graccu's Mince Meat Fruitcake.",,0,-1,0,156,6,0,-1,10,0,277,132934,4076
"Simply Abominable","Complete the quest to retrieve Smokywood Pastures' stolen treats and receive a Smokywood Pastures' Thank You.",,0,-1,0,156,8,0,-1,10,1,279,133170,14224
"First Aid skill","First Aid skill",,1,-1,0,178,5,0,-1,0,0,281,136243,458
"The Masquerade","Get transformed by the Hallowed Wands listed below.",,0,-1,0,158,12,0,-1,10,0,283,236548,4423
"A Mask for All Occasions","Collect the 24 unique Masks listed below.",,0,-1,0,158,6,0,-1,20,0,284,133567,3964
"Out With It","Eat so many Tricky Treats that you get an upset tummy.",,0,-1,0,158,2,0,-1,10,0,288,136182,9018
"The Savior of Hallow's End","Complete one of the quests to save a village from the Headless Horseman.",,0,-1,0,158,4,0,-1,10,1,289,236545,3849
"Check Your Head","Use Weighted Jack-o'-Lanterns to put pumpkin heads on each of the races listed below.",,0,-1,0,158,11,0,-1,10,0,291,133661,8
"Sinister Calling","Obtain a Sinister Squashling pet and Hallowed Helm through looting or Tricky Treats from the Hallow's end world events.",,0,-1,0,158,13,0,-1,10,0,292,236547,5513
"Disturbing the Peace","While wearing 3 pieces of Brewfest clothing, get completely smashed and dance in Dalaran.",,0,571,0,162,10,0,-1,10,0,293,133696,448
Direbrewfest,"Kill Coren Direbrew.",,0,230,0,162,8,0,-1,10,0,295,134159,3232
"Have Keg, Will Travel","Obtain a Brewfest mount, or transform yours into one using Brewfest Hops.",,131072,-1,0,162,11,0,-1,10,1,303,132620,842
"Master Angler of Azeroth","Win the Booty Bay fishing contest.",,0,-1,0,171,13,0,-1,20,1,306,133892,4432
"Total deaths from opposite faction",,,1,-1,0,21,2,0,-1,0,0,318,136243,4712
"Duels won","Duels won",,1,-1,0,154,1,0,-1,0,0,319,136243,8204
"Duels lost","Duels lost",,1,-1,0,154,2,0,-1,0,0,320,136243,22
"Total raid and dungeon deaths","Total raid and dungeon deaths",,1,-1,0,125,1,0,-1,0,0,321,136243,12717
"Gold from quest rewards","Gold from quest rewards",,1,-1,0,140,4,0,-1,0,0,326,136243,10543
"Total gold acquired","Total gold acquired",,1,-1,0,140,1,0,-1,0,0,328,136243,2744
"Auctions posted","Auctions posted",,1,-1,0,140,6,0,-1,0,0,329,136243,15895
"Auction purchases","Auction purchases",,1,-1,0,140,7,0,-1,0,0,330,136243,2083
"Most expensive bid on auction","Most expensive bid on auction",,1,-1,0,140,8,0,-1,0,0,331,136243,264
"Most expensive auction sold","Most expensive auction sold",,1,-1,0,140,9,0,-1,0,0,332,136243,2750
"Gold looted","Gold looted",,1,-1,0,140,3,0,-1,0,0,333,136243,2753
"Most gold ever owned","Most gold ever owned",,1,-1,0,140,15,0,-1,0,0,334,136243,2
"Vanity pets owned","Vanity pets owned",,1,-1,0,15219,1,0,-1,0,0,338,136243,5294
"Mounts owned","Mounts owned",,1,-1,0,191,8,0,-1,0,0,339,136243,5
"Epic items looted","Epic items looted",,1,-1,0,191,7,0,-1,0,0,341,136243,4036
"Epic items acquired","Epic items acquired",,1,-1,0,191,6,0,-1,0,0,342,136243,2470
"Bandages used","Bandages used",,9,-1,0,145,1,0,-1,0,0,344,136243,1930
"Health potions consumed","Health potions consumed",,9,-1,0,145,4,0,-1,0,0,345,136243,5882
"Beverages consumed","Beverages consumed",,1,-1,0,145,16,0,-1,0,0,346,136243,5924
"Food eaten","Food eaten",,9,-1,0,145,19,0,-1,0,0,347,136243,15901
"Flight paths taken","Flight paths taken",,1,-1,0,134,1,0,-1,0,0,349,136243,2442
"Mage Portals taken","Mage Portals taken",,1,-1,0,134,3,0,-1,0,0,350,136243,921
"Number of times hearthed","Number of times hearthed",,1,-1,0,134,5,0,-1,0,0,353,136243,467
"5v5 victories","5v5 victories",,1,-1,0,152,4,0,-1,0,0,362,136243,532
"5v5 matches","5v5 matches",,1,-1,0,152,3,0,-1,0,0,363,136243,6137
"3v3 victories","3v3 victories",,1,-1,0,152,6,0,-1,0,0,364,136243,2445
"3v3 matches","3v3 matches",,1,-1,0,152,5,0,-1,0,0,365,136243,6144
"2v2 victories","2v2 victories",,1,-1,0,152,9,0,-1,0,0,366,136243,6151
"2v2 matches","2v2 matches",,1,-1,0,152,8,0,-1,0,0,367,136243,539
"Highest 2 man personal rating","Highest 2 man personal rating",,1,-1,0,152,26,0,-1,0,0,370,136243,10139
"Highest 2 man team rating","Highest 2 man team rating",,524289,-1,0,152,29,0,-1,0,0,374,136243,4040
"Most factions at Exalted","Most factions at Exalted",,1,-1,0,147,1,0,-1,0,0,377,136243,4233
"Most factions at Revered or higher","Most factions at Revered or higher",,1,-1,0,147,2,0,-1,0,0,378,136243,546
"World Honorable Kills","World Honorable Kills",,9,-1,0,136,2,0,-1,0,0,381,136243,6158
"Battleground Honorable Kills","Battleground Honorable Kills",,1,-1,0,136,5,0,-1,0,0,382,136243,973
"Arena Honorable Kills","Arena Honorable Kills",,1,-1,0,136,4,0,-1,0,0,383,136243,983
"City Defender","Kill 50 enemy players in any of your home cities.",,128,-1,0,95,19,0,1,10,0,388,236593,4372
"Gurubashi Arena Master","Loot the Arena Master trinket from the Gurubashi Arena.",,0,-1,0,95,17,0,-1,10,1,389,133608,8047
"Alterac Valley towers defended","Alterac Valley towers defended",,1,-1,0,153,28,0,-1,0,0,393,136243,2474
"Alterac Valley towers captured","Alterac Valley towers captured",,1,-1,0,153,29,0,-1,0,0,394,136243,9924
"Warsong Gulch flags captured","Warsong Gulch flags captured",,1,-1,0,153,32,0,-1,0,0,395,136243,4043
"Gurubashi Arena Grand Master","Complete Short John Mithril's quest to obtain the Arena Grand Master trinket.",,0,-1,0,95,18,0,-1,10,1,396,133599,7014
"Step Into The Arena","Win a ranked arena match.",,0,-1,0,165,1,0,-1,10,0,397,236543,2671
"Mercilessly Dedicated","Win 100 ranked arena matches.",,0,-1,397,165,2,0,-1,10,0,398,236534,2674
"Just the Two of Us: 1550","Earn a 1550 personal rating in the 2v2 bracket of the arena.",,0,-1,0,165,6,0,-1,10,0,399,236323,3229
"Just the Two of Us: 1750","Earn a 1750 personal rating in the 2v2 bracket of the arena.",,0,-1,399,165,7,0,-1,10,0,400,236326,3251
"Just the Two of Us: 2000","Earn a 2000 personal rating in the 2v2 bracket of the arena.",,0,-1,400,165,8,0,-1,10,0,401,236327,3744
"Three's Company: 1550","Earn a 1550 personal rating in the 3v3 bracket of the arena.",,0,-1,0,165,10,0,-1,10,0,402,236330,2080
"Three's Company: 1750","Earn a 1750 personal rating in the 3v3 bracket of the arena.",,0,-1,402,165,11,0,-1,10,0,403,236333,5747
"High Five: 2000","Earn a 2000 personal rating in the 5v5 bracket of the arena.",,2048,-1,407,15270,7,0,-1,0,0,404,236341,3349
"Three's Company: 2000","Earn a 2000 personal rating in the 3v3 bracket of the arena.",,0,-1,403,165,12,0,-1,10,0,405,236334,7093
"High Five: 1550","Earn a 1550 personal rating in the 5v5 bracket of the arena.",,2048,-1,0,15270,5,0,-1,0,0,406,236337,5297
"High Five: 1750","Earn a 1750 personal rating in the 5v5 bracket of the arena.",,2048,-1,406,15270,6,0,-1,0,0,407,236340,2464
"Hot Streak","Win ten ranked matches in a row.",,0,-1,0,165,16,0,-1,10,0,408,135805,10115
"Last Man Standing","Be the sole survivor at the end of a ranked 5v5 match.",,2048,-1,0,15270,9,0,-1,0,0,409,135981,2071
Murky,"Proud owner of Murky from the 2005 BlizzCon in Anaheim, California.",,133120,-1,0,15268,1,0,-1,0,1,411,132834,4398
"Murloc Costume","Proud owner of the Murloc Costume from the 2007 BlizzCon in Anaheim, California.",,2048,-1,0,15268,2,0,-1,0,1,412,134169,4046
"Tyrael's Hilt","Proud owner of Tyrael's Hilt from the 2008 World Wide Invitational in Paris, France.",,133120,-1,0,15268,3,0,-1,0,1,414,135277,1119
"Big Blizzard Bear","Proud owner of the Big Blizzard Bear from the 2008 BlizzCon.",,133120,-1,0,15268,4,0,-1,0,1,415,298586,1043
"Scarab Lord","Opened the gates of Ahn'Qiraj.",,264192,-1,0,15269,45,0,-1,0,0,416,236829,1735
"Merciless Gladiator","Achieved Merciless Gladiator title.",,2048,-1,0,15270,10,0,-1,0,0,418,236534,2936
"Vengeful Gladiator","Achieved Vengeful Gladiator title.",,2048,-1,0,15270,11,0,-1,0,0,419,236535,189
"Brutal Gladiator","Achieved Brutal Gladiator title.",,2048,-1,0,15270,12,0,-1,0,0,420,236536,4217
"Why? Because It's Red","Obtain a Red Qiraji Resonating Crystal.",,133120,-1,0,15269,43,0,-1,0,1,424,134396,3753
"Atiesh, Greatstaff of the Guardian","Wielder of Atiesh, Greatstaff of the Guardian.",,2048,-1,0,15271,6,0,-1,0,1,425,135226,3394
"Warglaives of Azzinoth","Wielder of a set of Warglaives of Azzinoth.",,2048,-1,0,15271,2,0,-1,0,0,426,135561,1875
"Thunderfury, Blessed Blade of the Windseeker","Wielder of Thunderfury, Blessed Blade of the Windseeker.",,2048,-1,0,15271,5,0,-1,0,0,428,135349,3756
"Sulfuras, Hand of Ragnaros","Wielder of Sulfuras, Hand of Ragnaros.",,2048,-1,0,15271,1,0,-1,0,0,429,133066,522
"Amani War Bear","Owner of Amani War Bear.",,133120,-1,0,15269,15,0,-1,0,1,430,132117,3254
"Hand of A'dal","Earned the title, ""Hand of A'dal"".",,2048,-1,0,15278,6,0,-1,0,0,431,133502,2243
"Champion of the Naaru","Earned the title, ""Champion of the Naaru"".",,2048,-1,0,15278,5,0,-1,0,0,432,133531,6551
"Grand Marshal","Earned the title, ""Grand Marshal"" at level 60.",,2048,-1,0,15279,30,0,1,0,0,433,236590,80
"Field Marshal","Earned the title, ""Field Marshal"" at level 60.",,2048,-1,0,15279,29,0,1,0,0,434,236589,5517
Commander,"Earned the title, ""Commander"" at level 60.",,2048,-1,0,15279,27,0,1,0,0,435,236587,3142
"Lieutenant Commander","Earned the title, ""Lieutenant Commander"" at level 60.",,2048,-1,0,15279,26,0,1,0,0,436,236586,83
Knight-Champion,"Earned the title, ""Knight-Champion"" at level 60.",,2048,-1,0,15279,25,0,1,0,0,437,236585,6353
Knight-Captain,"Earned the title, ""Knight-Captain"" at level 60.",,2048,-1,0,15279,24,0,1,0,0,438,236584,2477
Knight,"Earned the title, ""Knight"" at level 60.",,2048,-1,0,15279,22,0,1,0,0,439,236582,86
"Sergeant Major","Earned the title, ""Sergeant Major"" at level 60.",,2048,-1,0,15279,21,0,1,0,0,440,236581,2226
"Master Sergeant","Earned the title, ""Master Sergeant"" at level 60.",,2048,-1,0,15279,20,0,1,0,0,441,236580,3699
Private,"Earned the title, ""Private"" at level 60.",,2048,-1,0,15279,17,0,1,0,0,442,236577,6659
"High Warlord","Earned the title, ""High Warlord"" at level 60.",,2048,-1,0,15279,16,0,0,0,0,443,236625,2229
"Lieutenant General","Earned the title, ""Lieutenant General"" at level 60.",,2048,-1,0,15279,13,0,0,0,0,444,236622,5649
Warlord,"Earned the title, ""Warlord"" at level 60.",,2048,-1,0,15279,15,0,0,0,0,445,236624,279
General,"Earned the title, ""General"" at level 60.",,2048,-1,0,15279,14,0,0,0,0,446,236623,282
