ID,Name_lang,Pos_0,Pos_1,Pos_2,MountCreatureID_0,MountCreatureID_1,MapOffset_0,MapOffset_1,Facing,FlightMapOffset_0,FlightMapOffset_1,ContinentID,ConditionID,CharacterBitNumber,Flags,UiTextureKitID,SpecialIconConditionID
47,"Transport, Grom'gol",-12418.76953125,235.42999267578,1.12000000477,0,0,0,0,0,0,0,0,0,0,0,0,0
48,"Bloodvenom Post, Felwood [DISABLED in 4.x]",5123.509765625,-321.18099975586,359.54000854492,2224,0,0,0,0,0,0,1,5793,48,0,0,0
49,Moonglade,7458.4501953125,-2487.2099609375,462.32998657227,0,3837,0,0,0,0,0,1,0,49,1,0,0
50,"Transport, Menethil Harbor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,"Transport, Auberdine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"Everlook, Winterspring",6796.7998046875,-4742.3901367188,701.5,0,3837,0,-0.00999999978,0,0,0,1,0,52,1,0,0
53,"Everlook, Winterspring",6813.0600585938,-4611.1201171875,710.66998291016,2224,0,0,-0.00899999961,0,0,0,1,0,53,2,0,0
54,"Transport, Feathermoon",-4203.8701171875,3284,-12.85999965668,0,0,0,0,0,0,0,1,0,0,0,0,0
55,"Brackenwall Village, Dustwallow Marsh",-3147.3898925781,-2842.1799316406,34.61000061035,2224,0,-0.00600000005,0,0,0,0,1,0,55,2,0,0
56,"Stonard, Swamp of Sorrows",-10457,-3279.25,21.35000038147,2224,0,-0.00800000038,0,0,0,0,0,0,56,2,0,0
57,"Fishing Village, Teldrassil",8701.509765625,991.36999511719,14.21000003815,0,3837,0,0,0,0,0,1,0,0,0,0,0
58,"Zoram'gar Outpost, Ashenvale",3351.8200683594,1052.3000488281,3.06999993324,2224,0,-0.00800000038,-0.00899999961,0,0,0,1,0,58,2,0,0
59,"Dun Baldar, Alterac Valley",574.21002197266,-46.65000152588,37.61000061035,0,541,0,0,0,0,0,30,0,0,0,0,0
60,"Frostwolf Keep, Alterac Valley",-1335.4399414062,-319.69000244141,90.66000366211,3574,0,0,0,0,0,0,30,0,0,0,0,0
61,"Splintertree Post, Ashenvale",2302.3898925781,-2524.5500488281,104.40000152588,2224,0,0,-0.0120000001,0,0,0,1,0,61,2,0,0
62,"Nighthaven, Moonglade",7793.6098632812,-2403.4699707031,489.32000732422,0,3837,0,0,0,0,0,1,0,0,1,0,0
63,"Nighthaven, Moonglade",7787.7202148438,-2404.1000976562,489.55999755859,2224,0,0,0,0,0,0,1,0,0,2,0,0
64,"Talrendis Point, Azshara (NEVER in 4.x)",2721.9899902344,-3880.6398925781,100.87000274658,0,3837,0,0,0,0,0,1,5793,64,0,0,0
65,"Talonbranch Glade, Felwood",6214.3198242188,-1874.2800292969,565.95599365234,0,3837,0.00400000019,0,0,0,0,1,0,65,1,0,0
66,"Chillwind Camp, Western Plaguelands",931.32000732422,-1430.1099853516,64.66999816895,0,541,-0.00700000022,0.01499999966,0,0,0,0,0,66,1,0,0
67,"Light's Hope Chapel, Eastern Plaguelands",2271.0900878906,-5340.7998046875,87.11000061035,0,44248,0,0,0,0,0,0,924,67,1,0,0
68,"Light's Hope Chapel, Eastern Plaguelands",2270.1999511719,-5343.1098632812,86.97329711914,44248,0,-0.00800000038,-0.00499999989,0,0,0,0,923,68,2,0,0
69,Moonglade,7470.3901367188,-2123.3798828125,492.33999633789,2224,0,0,0,0,0,0,1,0,69,2,0,0
70,"Flame Crest, Burning Steppes",-7504.0297851562,-2187.5400390625,165.5299987793,2224,0,0.01499999966,0,0,0,0,0,0,70,2,0,0
71,"Morgan's Vigil, Burning Steppes",-8364.6103515625,-2738.3500976562,185.46000671387,0,541,0,0,0,0,0,0,0,71,1,0,0
72,"Cenarion Hold, Silithus",-6811.3901367188,836.73999023438,49.81000137329,2224,0,0,0,0,0,0,1,53948,72,10,0,0
73,"Cenarion Hold, Silithus",-6761.830078125,772.03002929688,88.91000366211,0,3837,0,-0.00499999989,0,0,0,1,53948,73,9,0,0
74,"Thorium Point, Searing Gorge",-6552.58984375,-1168.2700195312,309.30999755859,0,541,-0.00400000019,0.0270000007,0,0,0,0,0,74,1,0,0
75,"Thorium Point, Searing Gorge",-6554.9301757812,-1100.0500488281,309.57000732422,2224,0,0.0270000007,0.0270000007,0,0,0,0,0,75,2,0,0
76,"Revantusk Village, The Hinterlands",-635.26000976563,-4720.5,5.38000011444,2224,0,-0.00700000022,0.00700000022,0,0,0,0,0,76,2,0,0
77,"Vendetta Point, Southern Barrens",-2152.3500976562,-1724.3399658203,92.52799987793,2224,0,0.01999999955,0,0,0,0,1,0,227,2,0,0
78,Naxxramas,3133.3100585938,-3399.9299316406,139.5299987793,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"Marshal's Stand, Un'Goro Crater",-7548.0498046875,-1541.1300048828,-271.04998779297,2224,541,-0.00300000003,0.00999999978,0,0,0,1,0,79,3,0,0
80,"Ratchet, Northern Barrens",-894.59002685547,-3773.0100097656,11.47999954224,2224,541,-0.00598801998,-0.01453489996,0,0,0,1,0,80,3,0,0
81,Filming,0,0,0,0,0,0,0,0,0,0,530,0,0,0,0,0
82,"Silvermoon City",9375.240234375,-7165.8901367188,9.02999973297,19917,0,0,0,0,0,0,530,0,82,6,0,0
83,"Tranquillien, Ghostlands",7594.4702148438,-6784.2900390625,86.45999908447,19917,0,0.00600000005,0,0,0,0,530,0,83,2,0,0
84,"Plaguewood Tower, Eastern Plaguelands",2965.5500488281,-3033.6101074219,126.92900085449,44248,44248,0,-0.01499999966,0,0,0,0,0,154,3,0,0
85,"Northpass Tower, Eastern Plaguelands",3134.2600097656,-4354.7797851562,133.46299743652,44248,44248,0,0,0,0,0,0,0,153,3,0,0
86,"Eastwall Tower, Eastern Plaguelands",2524.4399414062,-4769.5600585938,104.08699798584,44248,44248,0.01400000043,0.00999999978,0,0,0,0,0,147,3,0,0
87,"Crown Guard Tower, Eastern Plaguelands",1876.4000244141,-3693.3200683594,157.68699645996,44248,44248,0.01700000092,-0.0120000001,0,0,0,0,0,152,3,0,0
88,"Transport, Exodar",-4284.009765625,-11194.740234375,13.01000022888,0,0,0,0,0,0,0,530,0,0,0,0,0
89,"Transport, Theramore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,"Transport, Undercity",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,"Quest - Azuremyst Shaman Target",-3996.0100097656,-11892.969726562,0.21999999881,0,0,0,0,0,0,0,530,0,0,0,0,0
92,"Quest - Azuremyst Shaman Start",-3679.3100585938,-11413.040039062,310.57000732422,0,0,0,0,0,0,0,530,0,0,0,0,0
93,"Blood Watch, Bloodmyst Isle",-1933.2700195312,-11954.599609375,57.18999862671,0,3837,0,0,0,0,0,530,0,93,1,0,0
94,"The Exodar",-3867.5600585938,-11641.099609375,-137.66400146484,0,3837,0,0,0,0,0,530,0,94,1,0,0
95,"Zangarmarsh - Quest - As the Crow Flies",-146.28999328613,5532.5600585938,30.88999938965,17972,0,0,0,0,0,0,530,0,0,0,0,0
96,"Zangarmarsh - Quest - As the Crow Flies - End",-145.22999572754,5533.0297851562,30.95000076294,0,0,0,0,0,0,0,530,0,0,0,0,0
97,"Quest - Elekk Path to Kessel",-3968.3701171875,-11929.150390625,-1.22000002861,0,18167,0,0,0,0,0,530,0,0,0,0,0
98,"Quest - Elekk to Kessel Target",-2662.3000488281,-12144.599609375,16.90999984741,0,0,0,0,0,0,0,530,0,0,0,0,0
99,"Thrallmar, Hellfire Peninsula",228.5,2633.5700683594,87.66999816895,2224,0,0.01300000027,-0.00899999961,0,0,0,530,0,99,2,0,0
100,"Honor Hold, Hellfire Peninsula",-673.41998291016,2717.2700195312,94.18000030518,0,541,0.0120000001,0.00999999978,0,0,0,530,0,100,1,0,0
101,"Temple of Telhamat, Hellfire Peninsula",199.16000366211,4241.5600585938,121.75,0,3837,0,-0.01999999955,0,0,0,530,0,101,1,0,0
102,"Falcon Watch, Hellfire Peninsula",-587.40997314453,4101.009765625,91.37000274658,2224,0,0.00200000009,-0.00999999978,0,0,0,530,0,102,2,0,0
103,"Nagrand - PvP - Attack Run Start 1 ",-1810.1600341797,8032.1098632812,-25.95000076294,18345,18345,0,0,0,0,0,530,0,0,0,0,0
104,"Nagrand - PvP - Attack Run End 1",-1824.1800537109,8049.2900390625,-26.85000038147,13161,13161,0,0,0,0,0,530,0,0,0,0,0
105,"Nagrand - PvP - Attack Run Start 2",-1513.4000244141,8140.9301757812,-19.60000038147,18345,18345,0,0,0,0,0,530,0,0,0,0,0
106,"Nagrand - PvP - Attack Run End 2",-1511.2600097656,8149.7099609375,-18.57999992371,0,541,0,0,0,0,0,530,0,0,0,0,0
107,"Nagrand - PvP - Attack Run Start 3",-1387.0699462891,7782.41015625,-11.47000026703,18345,18345,0,0,0,0,0,530,0,0,0,0,0
108,"Nagrand - PvP - Attack Run End 3",-1376.7199707031,7771.169921875,-10.07999992371,0,541,0,0,0,0,0,530,0,0,0,0,0
109,"Nagrand - PvP - Attack Run Start 4",-1656.5999755859,7724.91015625,-15.59000015259,18345,18345,0,0,0,0,0,530,0,0,0,0,0
110,"Nagrand - PvP - Attack Run End 4",-1658.9000244141,7724.7099609375,-15.78999996185,0,541,0,0,0,0,0,530,0,0,0,0,0
111,"Eversong - Duskwither Teleport",9335.830078125,-7883.0698242188,74.91000366211,18392,18392,0,0,0,0,0,530,0,0,0,0,0
112,"Eversong - Duskwither Teleport End",9335.669921875,-7809.7099609375,136.57000732422,17972,17972,0,0,0,0,0,530,0,0,0,0,0
113,"Quest - Nethrandamus Start",-1544.3599853516,8792.0703125,35.2200012207,18543,18543,0,0,0,0,0,530,0,0,0,0,0
114,"Quest - Nethrandamus End Target",-1544.3599853516,8792.08984375,35.2200012207,0,0,0,0,0,0,0,530,0,0,0,0,0
115,"Quest - Caverns of Time OH - Begin",2384.7299804688,1169.3800048828,66.86000061035,18768,18768,0,0,0,0,0,560,0,0,0,0,0
116,"Quest - Caverns of Time OH - End",2014.6500244141,239.64999389648,68.51999664307,0,0,0,0,0,0,0,560,0,0,0,0,0
117,"Telredor, Zangarmarsh",213.75,6063.75,148.30999755859,0,3837,0,0,0,0,0,530,0,117,1,0,0
118,"Zabra'jin, Zangarmarsh",219.44999694824,7816,22.71999931335,2224,0,0,0,0,0,0,530,0,118,2,0,0
119,"Telaar, Nagrand",-2729,7305.2998046875,88.63999938965,0,3837,0.00200000009,0.02400000021,0,0,0,530,0,119,1,0,0
120,"Garadar, Nagrand",-1261.0899658203,7133.3901367188,57.34000015259,2224,0,0.00999999978,-0.00700000022,0,0,0,530,0,120,2,0,0
121,"Allerian Stronghold, Terokkar Forest",-2987.2399902344,3872.7800292969,9.13000011444,0,541,0,0,0,0,0,530,0,121,1,0,0
122,"Area 52, Netherstorm",3082.3100585938,3596.1101074219,144.02000427246,2224,541,-0.0270000007,-0.02300000004,0,0,0,530,0,122,3,0,0
123,"Shadowmoon Village, Shadowmoon Valley",-3018.6201171875,2557.0900878906,79.08999633789,2224,0,0.00999999978,0,0,0,0,530,0,123,2,0,0
124,"Wildhammer Stronghold, Shadowmoon Valley",-3982.0700683594,2156.4699707031,105.15000152588,0,541,0,0,0,0,0,530,0,124,1,0,0
125,"Sylvanaar, Blade's Edge Mountains",2183.6499023438,6794.4599609375,183.2799987793,0,3837,0,0,0,0,0,530,0,125,1,0,0
126,"Thunderlord Stronghold, Blade's Edge Mountains",2446.3701171875,6020.9301757812,154.33999633789,2224,0,0,0.00400000019,0,0,0,530,0,126,2,0,0
127,"Stonebreaker Hold, Terokkar Forest",-2567.330078125,4423.830078125,39.33000183105,2224,0,0,0,0,0,0,530,0,127,2,0,0
128,"Shattrath, Terokkar Forest",-1837.2299804688,5301.8999023438,-12.43000030518,2224,541,0,0,0,0,0,530,0,128,3,0,0
129,"Hellfire Peninsula, The Dark Portal",-327.35000610352,1020.4899902344,54.25,0,541,0.00200000009,0.02999999933,0,0,0,530,0,129,1,0,0
130,"Hellfire Peninsula, The Dark Portal",-178.08999633789,1026.7199707031,54.18999862671,2224,0,0.00400000019,-0.00800000038,0,0,0,530,0,130,2,0,0
131,"Quest - Horde Hellfire Start",-25.51000022888,2133.4499511719,112.59999847412,19275,18376,0,0,0,0,0,530,0,0,0,0,0
132,"Quest - Horde Hellfire End",-25.60000038147,2133.3999023438,112.58000183106,19275,0,0,0,0,0,0,530,0,0,0,0,0
133,"Quest - Hellfire Peninsula (Alliance Path) Start",-673.72998046875,1855.2900390625,68.9700012207,19324,19324,0,0,0,0,0,530,0,0,0,0,0
134,"Quest - Hellfire Peninsula (Alliance) End",-673.75,1855.3199462891,68.95999908447,19324,19324,0,0,0,0,0,530,0,0,0,0,0
135,"Quest - Hellfire, Aerial Mission (Horde) Start",-27.64999961853,2126.5700683594,111.84999847412,19275,19324,0,0,0,0,0,530,0,0,0,0,0
136,"Quest - Hellfire, Aerial Mission (Horde) End",-27.52000045776,2126.5,111.87999725342,19275,19324,0,0,0,0,0,530,0,0,0,0,0
137,"Quest - Hellfire, Aerial Mission (Alliance) Start",298.5,1501.2600097656,-14.27999973297,19275,19324,0,0,0,0,0,530,0,0,0,0,0
138,"Quest - Hellfire, Aerial Mission (Alliance) End",298.58999633789,1501.1300048828,-14.25,19275,19324,0,0,0,0,0,530,0,0,0,0,0
139,"The Stormspire, Netherstorm",4157.580078125,2959.6899414062,352.07998657227,2224,541,-0.00499999989,-0.01799999923,0,0,0,530,0,139,3,0,0
140,"Altar of Sha'tar, Shadowmoon Valley",-3065.6000976562,749.41998291016,-10.10000038147,2224,541,0,0,0,0,0,530,6211,140,3,0,0
141,"Spinebreaker Ridge, Hellfire Peninsula",-1316.8399658203,2358.6201171875,88.95999908447,2224,0,0,0,0,0,0,530,0,141,2,0,0
142,"Hellfire Peninsula - Reaver's Fall",-29.15999984741,2125.7199707031,111.4700012207,2224,0,0.00700000022,0,0,0,0,530,0,0,0,0,0
143,"Quest - Caverns of Time (Intro Flight Path) (End)",-8360.73046875,-4327.7299804688,-208.33000183106,16081,16081,0,0,0,0,0,1,0,0,0,0,0
144,"Quest - Caverns of Time (Intro Flight Path) (Start)",-8162.009765625,-4796.2299804688,35.7799987793,18768,18768,0,0,0,0,0,1,0,0,0,0,0
145,"Quest - Netherstorm - Stealth Flight - Begin",3079.0100097656,3599.080078125,144.07000732422,2224,0,0,0,0,0,0,530,0,0,0,0,0
146,"Quest - Netherstorm - Stealth Flight - End",2235.3400878906,2793.7700195312,128.0299987793,0,0,0,0,0,0,0,530,0,0,0,0,0
147,"Hellfire Peninsula - Force Camp Beach Head",509.17001342773,1988.6899414062,109.62000274658,0,19324,0,0,0,0,0,530,0,0,0,0,0
148,"Shatter Point, Hellfire Peninsula (Beach Assault)",298.45999145508,1501.1800537109,-14.27999973297,0,19324,0,0,0,0,0,530,0,0,0,0,0
149,"Shatter Point, Hellfire Peninsula",276.20001220703,1486.9100341797,-15.10000038147,0,541,0,0,0,0,0,530,0,149,0,0,0
150,"Cosmowrench, Netherstorm",2974.9499511719,1848.2399902344,141.2799987793,2224,541,0,0.00999999978,0,0,0,530,0,150,3,0,0
151,"Swamprat Post, Zangarmarsh",91.66999816895,5214.919921875,23.10000038147,2224,0,0.01700000092,0.01600000076,0,0,0,530,0,151,2,0,0
152,"Quest - Netherstorm - Manaforge Ultris (Start)",4262.3901367188,2136.919921875,139.44000244141,20903,20903,0,0,0,0,0,530,0,0,0,0,0
153,"Quest - Netherstorm - Manaforge Ultris (End)",4266.7001953125,2133.3798828125,138.82000732422,20903,20903,0,0,0,0,0,530,0,0,0,0,0
154,"Quest - Netherstorm - Manaforge Ultris (Second Pass) Start",20047.880859375,5200.6899414062,19742.779296875,20903,20903,0,0,0,0,0,0,0,0,0,0,0
155,"Quest - Netherstorm - Manaforge Ultris (Second Pass) End",4267.1401367188,2133.0300292969,138.77000427246,0,0,0,0,0,0,0,530,0,0,0,0,0
156,"Toshley's Station, Blade's Edge Mountains",1857.3499755859,5531.8701171875,277.01000976563,0,541,0,0,0,0,0,530,0,156,1,0,0
157,"Quest - Blade's Edge - Vision Guide - Start",2277.7399902344,5983.3500976562,142.60000610352,21396,0,0,0,0,0,0,530,0,0,0,0,0
158,"Quest - Blade's Edge - Vision Guide - End",2278.5600585938,5983.7099609375,142.57000732422,0,0,0,0,0,0,0,530,0,0,0,0,0
159,"Sanctum of the Stars, Shadowmoon Valley",-4073.169921875,1123.6099853516,42.4700012207,2224,541,0.01400000043,0,0,0,0,530,6212,159,3,0,0
160,"Evergrove, Blade's Edge Mountains",2976.0100097656,5501.1298828125,143.66999816895,2224,541,0,0,0,0,0,530,0,160,3,0,0
161,"Quest - Nether Dragon Ally - Start",0,0,0,22360,22360,0,0,0,0,0,530,0,0,0,0,0
162,"Quest - Nether Dragon Ally - End",-4100.2700195312,950.38000488281,22.11000061035,0,0,0,0,0,0,0,530,0,0,0,0,0
163,"Mok'Nathal Village, Blade's Edge Mountains",2028.7900390625,4705.2700195312,150.50999450684,2224,0,0,0,0,0,0,530,0,163,2,0,0
164,"Orebor Harborage, Zangarmarsh",966.66998291016,7399.16015625,29.13999938965,0,3837,0,0.00999999978,0,0,0,530,0,164,1,0,0
165,"Transport, Northrend 2",0,0,0,0,0,0,0,0,0,0,571,0,0,0,0,0
166,"Emerald Sanctuary, Felwood",3972.8400878906,-1324.5100097656,244.80299377441,2224,3837,0,0,0,0,0,1,0,166,3,0,0
167,"Forest Song, Ashenvale",3000.25,-3202.4099121094,189.77000427246,0,3837,0,-0.01400000043,0,0,0,1,0,167,1,0,0
168,Filming,-9441.1796875,65.05000305176,56.18000030518,0,3837,0,0,0,0,0,0,0,0,0,0,0
169,"Quest - Netherwing Ledge - Mine Cart Ride - South - Start",-5224.5297851562,631.84997558594,48.36000061035,23372,23372,0,0,0,0,0,530,0,0,0,0,0
170,"Quest - Netherwing Ledge - Mine Cart Ride - South - End",-5185.7099609375,172.94999694824,-11.56999969482,23289,23289,0,0,0,0,0,530,0,0,0,0,0
171,Skettis,-3364.6799316406,3650.1799316406,284.7799987793,23422,23422,0,0,0,0,0,530,0,0,0,0,0
172,Ogri'La,2531.1000976562,7322.08984375,373.64001464844,23422,23422,0,0,0,0,0,530,0,0,0,0,0
173,"Quest - Yarzill Flight Start",-5141.3598632812,620.10998535156,82.69999694824,23468,23468,0,0,0,0,0,530,0,0,0,0,0
174,"Quest - Yarzill Flight Start End",-1636.0899658203,5275.8701171875,-41.09999847412,0,0,0,0,0,0,0,530,0,0,0,0,0
175,"Transport, Howling Fjord",784.89001464844,-5066.1801757812,-7.88000011444,0,0,0,0,0,0,0,571,0,0,0,0,0
176,"Quest - Howling Fjord Tauren Canoe (Start)",245.36000061035,-3309.1999511719,0.91000002623,23518,23518,0,0,0,0,0,571,0,0,0,0,0
177,"Quest - Howling Fjord Tauren Canoe (End)",-147.4700012207,-3587.3601074219,0.34000000358,23518,23518,0,0,0,0,0,571,0,0,0,0,0
178,"Transport, Borean Tundra",0,0,0,0,0,0,0,0,0,0,571,0,0,0,0,0
179,"Mudsprocket, Dustwallow Marsh",-4566.2299804688,-3226.0500488281,34.70000076294,2224,541,-0.00700000022,-0.01999999955,0,0,0,1,0,179,3,0,0
180,"Quest - Dustwallow - Alcaz Survey Start",-3822.6599121094,-4511.330078125,10.84000015259,0,541,0,0,0,0,0,1,0,0,0,0,0
181,"Quest - Dustwallow - Alcaz Survey End",-3822.7099609375,-4509.6499023438,10.97999954224,0,541,0,0,0,0,0,1,0,0,0,0,0
182,"Quest - Howling Fjord - Break the Blockade Zeppelin",1415.8900146484,-3082.4899902344,121.91000366211,0,0,0,0,0,0,0,571,0,0,0,0,0
183,"Valgarde Port, Howling Fjord",567.40997314453,-5010.9702148438,11.5,0,541,0,0,0,0,0,571,0,183,1,0,0
184,"Fort Wildervar, Howling Fjord",2468.7700195312,-5029.8198242188,283.48999023438,0,541,0.00999999978,-0.00999999978,0,0,0,571,0,184,1,0,0
185,"Westguard Keep, Howling Fjord",1342.8399658203,-3287.8999023438,174.44999694824,0,541,0.00999999978,-0.00499999989,0,0,0,571,0,185,1,0,0
186,"Quest - Howling Fjord - Flight to the Windrunner - Start",1911.8199462891,-6179.0698242188,24.61000061035,3574,0,0,0,0,0,0,571,0,0,0,0,0
187,"Quest - Howling Fjord - Flight to the Windrunner - End",1652.8299560547,-6512.1098632812,18.47999954224,3574,0,0,0,0,0,0,571,0,0,0,0,0
188,"Quest - Howling Fjord - Test at Sea - Start",1912.7800292969,-6178.8100585938,24.63999938965,3574,0,0,0,0,0,0,571,0,0,0,0,0
189,"Quest - Howling Fjord - Test at Sea - End",1913.9000244141,-6177.8701171875,24.62000083923,0,0,0,0,0,0,0,571,0,0,0,0,0
190,"New Agamand, Howling Fjord",401.11999511719,-4544.2998046875,244.53999328613,3574,0,-0.00999999978,-0.02500000037,0,0,0,571,0,190,2,0,0
191,"Vengeance Landing, Howling Fjord",1918.5999755859,-6175.8901367188,24.40999984741,3574,0,0,0,0,0,0,571,0,191,2,0,0
