Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,Criteria_tree,Shares_criteria
"Gana en el Valle de Alterac mientras tu equipo controla ambas minas.","Todo cuenta",,225,30,1,0,14801,0,10,0,7,236389,124864,0
"Gana en el Valle de Alterac en 6 minutos.","El rayo de Alterac",,226,30,-1,0,14801,0,20,0,9,236390,126949,0
"Duelos perdidos","Duelos perdidos",,320,-1,-1,0,154,0,0,1,2,136243,121472,0
"Inflige 300000 p. de daño o de sanación en cualquier campo de batalla. El daño o la sanación deben realizarse a un jugador.","Control de daños",,227,-1,-1,0,95,1,10,0,39,236374,122154,0
"Consigue 30 muertes con honor en una sola batalla, en cualquier campo de batalla.","La parca",,229,-1,-1,0,95,1,10,0,34,136177,124563,0
"Completa los logros de campos de batalla listados a continuación.","Maestro de batalla","Título recompensa: Maestro de batalla",230,-1,1,0,95,0,50,0,43,236591,127514,0
"Consigue 20 golpes de gracia en una sola batalla, en cualquier campo de batalla sin morir.","Bola de demolición",,231,-1,-1,0,95,1,10,16,40,132364,121323,0
"Consigue un golpe de gracia bajo los efectos de la ventaja rabiosa en el Ojo de la Tormenta.","Rabioso sediento de sangre",,233,566,-1,0,14803,0,10,0,11,136012,124230,0
"Consigue una muerte con honor.","Una muerte con honor",,238,-1,-1,0,95,0,10,0,1,236647,124429,0
"Consigue 25000 muertes con honor.","25000 muertes con honor",,239,-1,-1,509,95,0,10,0,7,236657,124431,0
"Consigue un golpe de gracia con honor con un jugador de cada clase.","Hace falta clase",,245,-1,-1,0,95,0,10,0,11,132092,123851,0
"Consigue un golpe de gracia con honor con cinco razas diferentes.","Conoce a tu enemigo",,246,-1,1,0,95,0,10,0,12,132155,127831,0
"Usa la emoción /abrazo con 1 enemigo muerto antes de que libere su espíritu.","Haz el amor, no Warcraft",,247,-1,-1,0,95,0,10,0,14,135767,125261,0
"Descubre la Camisa de esmoquin blanca y los Pantalones de esmoquin negros abriendo huevos de colores vivos durante la celebración del Jardín Noble.","El traje de domingo",,248,-1,-1,0,159,0,10,0,4,135012,126292,0
"Descubre un Vestido elegante abriendo huevos de colores vivos durante la celebración del Jardín Noble.","Vestido para la ocasión",,249,-1,-1,0,159,0,10,0,5,132645,126802,0
"Consigue 50 muertes con honor como pequeño ayudante de la máquina del Maravoltio Invernal.","Con un poco de ayuda de mis amigos",,252,-1,-1,0,156,0,10,136,2,236703,125839,0
"Mata al Jinete decapitado.","Tráeme la cabeza de... esto, vaya",,255,-1,-1,0,158,0,10,0,3,134015,121889,0
"Lanza una bola de nieve a Cairne Pezuña de Sangre en el festín del Festival de Invierno.",Avaricioso,,259,-1,0,0,156,1,10,0,3,132387,121371,0
"Crea 12 pulseras de talismanes preciosos.",Encantador,,260,-1,-1,0,187,0,10,0,2,133334,123330,0
"Mata a Ahune en el Recinto de los Esclavos.","Hiela al Señor de la Escarcha",,263,-1,-1,0,161,1,10,0,1,135861,125253,0
"Baila durante 60 segundos en el poste de fuego mientras llevas puesto el conjunto completo del solsticio.","Baile ardiente en el poste caliente",,271,-1,-1,0,161,0,10,0,2,236216,125563,0
"Haz malabarismos con 40 antorchas durante 15 s en Dalaran, Ventormenta, Forjaz, Orgrimmar o Entrañas.",Malabarista,,272,-1,-1,0,161,0,10,0,20,135433,124592,0
"Salva a Metzen el Reno.","¡Vamos, Metzen!",,273,-1,-1,0,156,1,10,0,1,236707,121351,0
"Consigue a Willy el Dormilón, el huevo de Egbert y la collera de entrenamiento de elekk con un solo personaje.","Niñera veterana",,275,-1,-1,0,163,0,50,0,7,134505,126919,0
"Durante el festín del Festival de Invierno, ponte tres prendas de invierno y come pastel de macedonia y carne de Graccu.","Es la temporada",,277,-1,-1,0,156,0,10,0,6,132934,127794,0
"Completa la misión para recuperar los regalitos robados de los Pastos de Bosquehumeante y recibe Un agradecimiento de los Pastos de Bosquehumeante.","Simplemente abominable",,279,-1,-1,0,156,1,10,0,8,133170,131941,0
"Habilidad en primeros auxilios","Habilidad en primeros auxilios",,281,-1,-1,0,178,0,0,1,5,136243,123332,0
"Haz que te transformen con las varitas de Halloween listadas a continuación.","La Mascarada",,283,-1,-1,0,158,0,10,0,12,236548,126093,0
"Reúne las 20 máscaras endebles de la lista.","Una máscara para todas las ocasiones",,284,-1,-1,0,158,0,20,0,6,133567,127773,0
"Come dulces de Halloween hasta que te duela la barriga.",Sácalo,,288,-1,-1,0,158,0,10,0,2,136182,128703,0
"Completa todas las misiones para salvar a un poblado del Jinete decapitado.","El salvador de Halloween",,289,-1,-1,0,158,1,10,0,4,236545,124872,0
"Usa Calabazas iluminadas pesadas para colocar cabezas de calabaza a las razas listadas a continuación.","Búscate la cabeza",,291,-1,-1,0,158,0,10,0,11,133661,121461,0
"Consigue una mascota de calabacino siniestro y un yelmo sacralizado.","Llamada siniestra",,292,-1,-1,0,158,0,10,0,13,236547,121878,0
"Ponte 3 prendas de la Fiesta de la cerveza, acaba totalmente borracho y baila en Dalaran.","Perturbar la paz",,293,571,-1,0,162,0,10,0,10,133696,123066,0
"Mata a Coren Cerveza Temible.","Fiesta de la Cerveza Temible",,295,230,-1,0,162,0,10,0,8,134159,125135,0
"Consigue una montura de la Fiesta de la cerveza, o transforma la tuya en una usando lúpulo de la Fiesta de la cerveza.","Viajará gracias al barril",,303,-1,-1,0,162,1,10,0,11,132620,126851,0
"Gana el concurso de pesca de Bahía del Botín o la competición de pesca Kalu'ak.","Maestro pescador de Azeroth",,306,-1,-1,0,171,1,20,0,9,133892,126797,0
,"Veces que te ha matado la facción contraria",,318,-1,-1,0,21,0,0,1,2,136243,125881,0
"Duelos ganados","Duelos ganados",,319,-1,-1,0,154,0,0,1,1,136243,127439,0
"Muertes en mazmorra y banda","Muertes en mazmorra y banda",,321,-1,-1,0,125,0,0,9,1,0,124571,0
"Lich King: Muertes contra jefes (5 j.)","Lich King: Muertes contra jefes (5 j.)",,322,-1,-1,0,125,0,0,9,6,0,124294,0
"Lich King: Muertes contra jefes (10 j.)","Lich King: Muertes contra jefes (10 j.)",,323,-1,-1,0,125,0,0,9,8,0,126559,0
"Lich King: Muertes contra jefes (25 j.)","Lich King: Muertes contra jefes (25 j.)",,324,-1,-1,0,125,0,0,9,10,0,121474,0
"Oro obtenido como recompensa de misiones","Oro obtenido como recompensa de misiones",,326,-1,-1,0,140,0,0,1,4,136243,128216,0
"Oro total adquirido","Oro total adquirido",,328,-1,-1,0,140,0,0,9,1,136243,124219,0
"Cantidad de subastas creadas","Cantidad de subastas creadas",,329,-1,-1,0,140,0,0,1,6,136243,128753,0
"Compras realizadas en la casa de subastas","Compras realizadas en la casa de subastas",,330,-1,-1,0,140,0,0,1,7,136243,128930,0
"La puja más alta realizada en una subasta","La puja más alta realizada en una subasta",,331,-1,-1,0,140,0,0,1,8,136243,129365,0
"Venta más cara realizada en una subasta","Venta más cara realizada en una subasta",,332,-1,-1,0,140,0,0,1,9,136243,124224,0
"Cantidad de oro despojado","Cantidad de oro despojado",,333,-1,-1,0,140,0,0,1,3,136243,124226,0
"Mayor cantidad de oro jamás poseída","Mayor cantidad de oro jamás poseída",,334,-1,-1,0,140,0,0,1,15,136243,124228,0
"Objetos legendarios adquiridos","Objetos legendarios adquiridos",,336,-1,-1,0,191,0,0,1,4,0,123672,0
"Mascotas de vanidad poseídas","Mascotas de vanidad poseídas",,338,-1,-1,0,191,0,0,1,6,0,124755,0
"Monturas poseídas","Monturas poseídas",,339,-1,-1,0,191,0,0,1,5,0,122250,0
"Objetos épicos despojados","Objetos épicos despojados",,341,-1,-1,0,191,0,0,1,3,0,127612,0
"Objetos épicos adquiridos","Objetos épicos adquiridos",,342,-1,-1,0,191,0,0,1,2,0,123114,0
"Vendas usadas","Vendas usadas",,344,-1,-1,0,145,0,0,9,1,136243,123428,0
"Pociones de salud consumidas","Pociones de salud consumidas",,345,-1,-1,0,145,0,0,9,4,136243,128755,0
"Bebidas consumidas","Bebidas consumidas",,346,-1,-1,0,145,0,0,9,16,136243,122252,0
"Comida consumida","Comida consumida",,347,-1,-1,0,145,0,0,9,19,136243,122443,0
"Rutas de vuelo tomadas","Rutas de vuelo tomadas",,349,-1,-1,0,134,0,0,1,1,136243,123675,0
"Portales de mago atravesados","Portales de mago atravesados",,350,-1,-1,0,134,0,0,9,3,136243,129855,0
"Veces que has usado la piedra de hogar","Veces que has usado la piedra de hogar",,353,-1,-1,0,134,0,0,1,5,136243,123802,0
"Victorias 5c5","Victorias 5c5",,362,-1,-1,0,152,0,0,9,4,136243,124353,0
"Encuentros 5c5","Encuentros 5c5",,363,-1,-1,0,152,0,0,9,3,136243,121809,0
"Victorias 3c3","Victorias 3c3",,364,-1,-1,0,152,0,0,9,6,136243,123677,0
"Encuentros 3c3","Encuentros 3c3",,365,-1,-1,0,152,0,0,9,5,136243,121815,0
"Victorias 2c2","Victorias 2c2",,366,-1,-1,0,152,0,0,9,8,136243,121821,0
"Encuentros 2c2","Encuentros 2c2",,367,-1,-1,0,152,0,0,9,7,136243,124359,0
,"Mayor índice personal en grupos de 2 personas",,370,-1,-1,0,152,0,0,1,21,136243,121827,0
,"Mayor índice de equipo en grupos de 2 personas",,374,-1,-1,0,152,0,0,1,24,136243,127615,0
"Mayoría de facciones a nivel Exaltado","Mayoría de facciones a nivel Exaltado",,377,-1,-1,0,147,0,0,1,1,0,125583,0
"Mayoría de facciones en Venerado o superior","Mayoría de facciones en Venerado o superior",,378,-1,-1,0,147,0,0,1,2,0,124365,0
"Muertes con honor en el mundo","Muertes con honor en el mundo",,381,-1,-1,0,136,0,0,9,2,136243,121829,0
"Muertes con honor en campos de batalla","Muertes con honor en campos de batalla",,382,-1,-1,0,136,0,0,9,5,136243,132858,0
"Muertes con honor en la arena","Muertes con honor en la arena",,383,-1,-1,0,136,0,0,9,4,136243,121834,0
"Mata a 50 jugadores enemigos en cualquiera de tus capitales.","Defensor de la ciudad",,388,-1,1,0,95,0,10,136,17,236593,126198,0
"Despoja el abalorio del maestro de arena en la Arena Gurubashi.","Maestro de la Arena Gurubashi",,389,-1,-1,0,95,1,10,0,15,133608,126888,0
"Torres defendidas en el Valle de Alterac","Torres defendidas en el Valle de Alterac",,393,-1,-1,0,153,0,0,1,17,136243,123117,0
"Torres capturadas en el Valle de Alterac","Torres capturadas en el Valle de Alterac",,394,-1,-1,0,153,0,0,1,18,136243,124433,0
"Banderas capturadas en la Garganta Grito de Guerra","Banderas capturadas en la Garganta Grito de Guerra",,395,-1,-1,0,153,0,0,1,20,136243,125190,0
"Recibido el título ""Sargento primero"".","Sargento primero",,441,-1,1,0,81,0,0,0,102,236580,123870,0
"Completa la misión del Corto John Mitril para obtener el abalorio de gran maestro de arena.","Gran Maestro de la Arena Gurubashi",,396,-1,-1,0,95,1,10,0,16,133599,127463,0
"Gana un encuentro en la arena puntuado en nivel 80.","Entra en la arena",,397,-1,-1,0,165,0,10,0,1,236543,121451,0
"Gana 100 encuentros en la arena puntuados en nivel 80.","Despiadadamente entregado",,398,-1,-1,397,165,0,10,0,2,236534,121453,0
"Consigue un índice personal de 1550 en la rama de la arena 2c2 en el nivel 80.","Entre tú y yo: 1550",,399,-1,-1,0,165,0,10,0,6,236323,140616,0
"Consigue un índice personal de 1750 en la rama de la arena 2c2 en el nivel 80.","Entre tú y yo: 1750",,400,-1,-1,399,165,0,10,0,7,236326,140618,0
"Consigue un índice personal de 2000 en la rama de la arena 2c2 en el nivel 80.","Entre tú y yo: 2000",,401,-1,-1,400,165,0,10,0,8,236327,140620,0
"Consigue un índice personal de 1550 en la rama de la arena 3c3 en el nivel 80.","Tres son multitud: 1550",,402,-1,-1,0,165,0,10,0,10,236330,140624,0
"Consigue un índice personal de 1750 en la rama de la arena 3c3 en el nivel 80.","Tres son multitud: 1750",,403,-1,-1,402,165,0,10,0,11,236333,140626,0
"Consigue un índice personal de 2000 en la rama de la arena 5c5 en el nivel 80.","Choca esos cinco: 2000",,404,-1,-1,407,165,0,10,0,16,236341,140636,0
"Consigue un índice personal de 2000 en la rama de la arena 3c3 en el nivel 80.","Tres son multitud: 2000",,405,-1,-1,403,165,0,10,0,12,236334,140628,0
"Consigue un índice personal de 1550 en la rama de la arena 5c5 en el nivel 80.","Choca esos cinco: 1550",,406,-1,-1,0,165,0,10,0,14,236337,140632,0
"Consigue un índice personal de 1750 en la rama de la arena 5c5 en el nivel 80.","Choca esos cinco: 1750",,407,-1,-1,406,165,0,10,0,15,236340,140634,0
"Gana diez encuentros puntuados seguidos en nivel 80.","Una buena racha",,408,-1,-1,0,165,0,10,0,18,135805,128706,0
