Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,Criteria_tree,Shares_criteria
"Victoires dans les ruines de Lordaeron","Victoires dans les ruines de Lordaeron",,102,-1,-1,0,152,0,0,1,18,136243,127443,0
"Matchs dans le Cercle de sang","Matchs dans le Cercle de sang",,103,-1,-1,0,152,0,0,1,9,136243,123285,0
"Victoires dans le Cercle de sang","Victoires dans le Cercle de sang",,104,-1,-1,0,152,0,0,1,10,136243,128751,0
"Victoires dans le goulet des Chanteguerres","Victoires dans le goulet des Chanteguerres",,105,-1,-1,0,153,0,0,1,14,136243,121932,0
"Créatures tuées","Créatures tuées",,107,-1,-1,0,135,0,0,9,1,136243,122186,0
"Bestioles tuées","Bestioles tuées",,108,-1,-1,0,135,0,0,1,4,136243,123501,0
"Boss de donjon à 5 de Lich King le plus tué","Boss de donjon à 5 de Lich King le plus tué",,110,-1,-1,0,14807,0,0,17,14,0,128330,1467
"Morts par noyade","Morts par noyade",,112,-1,-1,0,126,0,0,1,1,136243,132274,0
"Morts de fatigue","Morts de fatigue",,113,-1,-1,0,126,0,0,1,3,136243,123503,0
"Morts des suites d’une chute","Morts des suites d’une chute",,114,-1,-1,0,126,0,0,1,4,136243,123075,0
"Morts par le feu ou la lave","Morts par le feu ou la lave",,115,-1,-1,0,126,0,0,9,5,136243,123505,0
"Devenir un compagnon dans un métier.","Compagnon de métier",,116,-1,-1,0,169,1,10,0,1,134327,123508,0
"Devenir un compagnon cuisinier.","Compagnon cuisinier",,121,-1,-1,0,170,0,10,0,1,133971,125873,0
"Devenir un expert cuisinier.","Expert cuisinier",,122,-1,-1,121,170,0,10,0,2,133971,121924,0
"Devenir un artisan cuisinier.","Artisan cuisinier",,123,-1,-1,122,170,0,10,0,3,133971,127610,0
"Devenir un maître cuisinier.","Maître cuisinier",,124,-1,-1,123,170,0,10,0,4,133971,123077,0
"Devenir un grand maître cuisinier.","Grand maître cuisinier",,125,-1,-1,124,170,0,10,0,5,133971,123520,0
"Devenir un compagnon pêcheur.","Compagnon pêcheur",,126,-1,-1,0,171,0,10,0,1,136245,123522,0
"Devenir un expert pêcheur.","Expert pêcheur",,127,-1,-1,126,171,0,10,0,2,136245,121934,0
"Devenir un artisan pêcheur.","Artisan pêcheur",,128,-1,-1,127,171,0,10,0,3,136245,123704,0
"Devenir un maître pêcheur.","Maître pêcheur",,129,-1,-1,128,171,0,10,0,4,136245,126923,0
"Devenir un grand maître pêcheur.","Grand maître pêcheur",,130,-1,-1,129,171,0,10,0,5,136245,121926,0
"Devenir un compagnon secouriste.","Compagnon secouriste",,131,-1,-1,0,172,0,10,0,1,135966,123670,0
"Devenir expert secouriste.","Expert secouriste",,132,-1,-1,131,172,0,10,0,2,135966,124254,0
"Devenir artisan secouriste.","Artisan secouriste",,133,-1,-1,132,172,0,10,0,3,135966,124256,0
"Devenir un maître secouriste.","Maître secouriste",,134,-1,-1,133,172,0,10,0,4,135966,123706,0
"Devenir un grand maître secouriste.","Grand maître secouriste",,135,-1,-1,134,172,0,10,0,5,135966,123531,0
"Créer 500 bandages épais en tisse-givre.",Réserves,,137,-1,-1,0,172,0,10,0,6,133674,122240,0
"Soigner un autre personnage ou soi-même avec un bandage épais en tisse-givre lorsqu'il reste moins de 5% de vie au blessé.","Triage ultime",,141,-1,-1,0,172,0,10,0,7,134470,125433,0
"Pêcher le Rôdeur d’En bas dans la caverne du sanctuaire du Serpent.","Le Rôdeur d’En haut",,144,-1,-1,0,171,0,10,0,15,132107,123014,0
"Pêcher quelque chose dans Orgrimmar et Hurlevent","Le pêcheur diplomate",,150,-1,-1,0,171,0,10,0,8,133146,121978,0
"Pêcher un poisson dans un banc de poissons.","Le vieux gnome et la mer",,153,-1,-1,0,171,1,10,0,6,236573,121415,0
"Gagner dans le bassin Arathi.","Victoire dans le bassin Arathi",,154,529,-1,0,14802,0,10,0,1,236385,123277,0
"Obtenir 100 victoires au bassin Arathi.","Vétéran du bassin Arathi",,155,529,-1,154,14802,0,10,0,2,236381,127324,0
"Gagner 10 batailles dans le bassin Arathi en contrôlant les 5 drapeaux.","Domination territoriale",,156,529,-1,0,14802,0,10,0,9,236386,123466,0
"Venir 50 fois à la rescousse d'une base du bassin Arathi en récupérant le drapeau.","À la rescousse !",,157,529,-1,0,14802,0,10,0,7,132365,126804,0
"Capturer 50 drapeaux au bassin Arathi.","Cap ou pas cap ?",,158,529,-1,0,14802,0,10,0,4,236373,124099,0
"Gagner dans le bassin Arathi en 6 minutes.","Une formalité à régler",,159,529,-1,0,14802,0,10,0,10,236387,124101,0
"Rattraper un retard de 500 ressources dans une bataille pour le bassin Arathi et obtenir la victoire.","Victoire arrachée",,161,529,-1,0,14802,1,10,0,8,236371,125158,0
"Gagner dans le bassin Arathi avec une différence de 10 points (1600 à 1590).","C'était gagné d'avance *hum hum*",,162,529,-1,0,14802,0,10,0,11,136165,124759,0
"Gagner dans le bassin Arathi par 1600 à 0.","Bassin Arathi parfait",,165,529,-1,0,14802,0,20,0,3,236348,121665,0
"Gagner dans le goulet des Chanteguerres.","Victoire dans le goulet des Chanteguerres",,166,489,-1,0,14804,0,10,0,1,236396,121667,0
"Obtenir 100 victoires dans le goulet des Chanteguerres.","Vétéran du goulet des Chanteguerres",,167,489,-1,166,14804,0,10,0,2,236384,122230,0
"Gagner une bataille pour le goulet des Chanteguerres par 3 à 0.","Goulet des Chanteguerres parfait",,168,489,-1,0,14804,0,10,0,8,236397,132664,0
"Formules d’enchantement apprises","Formules d’enchantement apprises",,178,-1,-1,0,173,0,0,1,6,136243,121981,0
"Objets désenchantés","Objets désenchantés",,181,-1,-1,0,173,0,0,1,8,136243,124252,0
"Matériaux obtenus par désenchantement","Matériaux obtenus par désenchantement",,183,-1,-1,0,173,0,0,1,7,136243,129942,0
"Plus gros soin","Plus gros soin",,189,-1,-1,0,141,0,0,1,5,0,122232,0
"Plus gros dégâts effectués","Plus gros dégâts effectués",,193,-1,-1,0,141,0,0,1,1,0,122234,0
"Dégâts totaux infligés","Dégâts totaux infligés",,197,-1,-1,0,141,0,0,1,3,0,127441,0
"Total de soins effectués","Total de soins effectués",,198,-1,-1,0,141,0,0,1,7,0,121939,0
"Porter et capturer soi-même le drapeau dans le goulet des Chanteguerres.","Capture du drapeau",,199,489,-1,0,14804,0,10,0,3,236350,127330,0
"Ramener 50 drapeaux en défense dans le goulet des Chanteguerres.","Défenseur obstiné",,200,489,-1,0,14804,0,10,0,4,236355,121928,0
"Gagner une bataille pour le goulet des Chanteguerres en moins de 7 minutes.","Goulet expédié",,201,489,-1,0,14804,0,10,0,9,236398,128594,0
"Prendre le drapeau et le capturer en moins de 75 secondes.","À toute vitesse",,202,489,1,0,14804,0,10,0,16,236353,121915,0
"Dans un même goulet des Chanteguerres, tuer 2 porteurs de drapeau avant qu'ils ne quittent la salle du drapeau des Ailes-d'argent.","Pas de ça chez moi",,203,489,1,0,14804,0,10,0,14,236362,124561,0
"Dans une même bataille pour le goulet des Chanteguerres, porter et capturer 3 fois le drapeau sans mourir.","L'homme de fer",,204,489,-1,0,14804,0,10,0,10,236344,125153,0
"Tuer 100 porteurs de drapeau dans le goulet des Chanteguerres.","Défenseur suprême",,206,489,1,0,14804,0,10,0,6,236360,123493,0
"Tuer l'ennemi qui porte le drapeau dans la pièce du drapeau du camp ennemi, alors que le drapeau ennemi est dans leur base et sous leur contrôle.","Sauveur du jour",,207,489,-1,0,14804,1,10,0,18,132308,125181,0
"Gagner dans l'Œil du cyclone.","Victoire dans l'Œil du cyclone",,208,566,-1,0,14803,0,10,0,1,236392,121714,0
"Obtenir 100 victoires dans l'Œil du cyclone.","Vétéran de l'Œil du cyclone",,209,566,-1,208,14803,0,10,0,2,236383,121716,0
"Pendant que votre équipe possède 4 bases dans l'Œil du cyclone, prendre soi-même le drapeau et le capturer.","Fierté du cyclone",,211,566,-1,0,14803,0,10,0,12,236354,121718,0
"Porter et capturer soi-même le drapeau dans l'Œil du cyclone.","Au centre du cyclone",,212,566,-1,0,14803,0,10,0,7,236349,126970,0
"Tuer 5 porteurs de drapeau dans une même bataille pour l'Œil du cyclone.","Le cyclone détruit tout sur son passage",,213,566,-1,0,14803,0,10,0,6,236359,125246,0
"Gagner une bataille pour l'Œil du cyclone en moins de 6 minutes.",Rafale,,214,566,-1,0,14803,0,10,0,5,236393,123380,0
"Dans une même bataille pour l'Œil du cyclone, capturer le drapeau 3 fois sans mourir.","En route pour la gloire",,216,566,-1,0,14803,0,10,0,8,135739,127732,0
"Gagner dans la vallée d'Alterac.","Victoire dans la vallée d'Alterac",,218,30,-1,0,14801,0,10,0,1,236388,127320,0
"Obtenir 100 victoires dans la vallée d'Alterac.","Vétéran de la vallée d'Alterac",,219,30,-1,218,14801,0,10,0,2,236382,127322,0
"Gagner la bataille pour la vallée d'Alterac sans perdre une tour ou un capitaine. Vous devez également contrôler toutes les tours de la Horde.","La perfection selon les Foudrepiques",,220,30,1,0,14801,0,20,0,11,133431,124853,0
"Prendre 50 cimetières dans la vallée d'Alterac.","Pilleur de tombes d'Alterac",,221,30,-1,0,14801,0,10,0,3,236399,121895,0
"Défendre 50 tours dans la vallée d'Alterac.","Défense des tours",,222,30,-1,0,14801,0,10,0,4,236351,121897,0
"Dans la vallée d'Alterac, tuer un ennemi dans le Champ sanglant avant qu'il ne soit descendu de monture.","La proie la plus faible",,223,30,-1,0,14801,0,10,0,10,236361,123668,0
"Dans la vallée d'Alterac, tuer 50 ennemis dans le hall des Loups-de-givre.","Défenseur loyal",,224,30,0,0,14801,0,10,0,5,236368,127734,0
"Gagner dans la vallée d'Alterac tandis que votre équipe contrôle les deux mines.","Chaque détail compte",,225,30,1,0,14801,0,10,0,7,236389,124864,0
"Gagner dans la vallée d'Alterac en 6 minutes.","L'Alterac express",,226,30,-1,0,14801,0,20,0,9,236390,126949,0
"Infliger 300 000 points de dégâts ou prodiguer 300 000 points de soins au cours d'un même champ de bataille. Les dégâts ou les soins doivent cibler des personnages-joueurs.","Contrôle des dégâts",,227,-1,-1,0,95,1,10,0,39,236374,122154,0
"Obtenir 30 victoires honorables au cours d'un même champ de bataille.","Le Faucheur",,229,-1,-1,0,95,1,10,0,34,136177,124563,0
"Accomplir les hauts faits de champ de bataille listés ci-dessous.","Maître de guerre","Titre : maître de guerre",230,-1,1,0,95,0,50,0,43,236591,127514,0
"Asséner 20 coups fatals sans mourir au cours de la même bataille sur n'importe quel champ de bataille.","Boulet de démolition",,231,-1,-1,0,95,1,10,16,40,132364,121323,0
"Asséner un coup fatal sous berserker dans l'Œil du cyclone.","Berserker assoiffé de sang",,233,566,-1,0,14803,0,10,0,11,136012,124230,0
"Obtenir une victoire honorable.","Une victoire honorable",,238,-1,-1,0,95,0,10,0,1,236647,124429,0
"Obtenir 25 000 victoires honorables.","25 000 victoires honorables",,239,-1,-1,509,95,0,10,0,7,236657,124431,0
"Asséner un coup fatal apportant une victoire honorable sur un membre de chaque classe.","Ça, c'est la classe",,245,-1,-1,0,95,0,10,0,11,132092,123851,0
"Asséner un coup fatal apportant une victoire honorable sur cinq représentants de différentes races.","Connais ton ennemi...",,246,-1,1,0,95,0,10,0,12,132155,127831,0
"Faire l'emote /serrer sur un ennemi mort avant qu'il ne libère l'esprit.","Faites l'amour, pas la guerre",,247,-1,-1,0,95,0,10,0,14,135767,125261,0
"Découvrir la chemise blanche de smoking et le pantalon de smoking noir en ouvrant des œufs vivement colorés pendant la fête du Jardin des nobles.","Habits du dimanche",,248,-1,-1,0,159,0,10,0,4,135012,126292,0
"Découvrir une robe de soirée en ouvrant des œufs vivement colorés pendant la fête du Jardin des nobles.","Tenue de soirée",,249,-1,-1,0,159,0,10,0,5,132645,126802,0
"Obtenir 50 victoires honorables en étant déguisé en petit assistant grâce au Fabulovolt PX-238 Hiver.","Petits assistants entre amis",,252,-1,-1,0,156,0,10,136,2,236703,125839,0
"Tuer le Cavalier sans tête.","Ramenez-moi la tête de… Oh, mince…",,255,-1,-1,0,158,0,10,0,3,134015,121889,0
"Lancer une boule de neige sur Cairne Sabot-de-sang pendant la fête du Voile d'hiver.","Blague de Noël",,259,-1,0,0,156,1,10,0,3,132387,121371,0
"Fabriquer 12 bracelets de breloques ravissantes.","Le charme opère",,260,-1,-1,0,187,0,10,0,2,133334,123330,0
"Tuer Ahune dans les enclos aux esclaves.","Tel est glacé qui croyait geler",,263,-1,-1,0,161,1,10,0,1,135861,125253,0
"Danser au mât enrubanné pendant 60 secondes après avoir revêtu l'ensemble du solstice complet.","La danse du feu",,271,-1,-1,0,161,0,10,0,2,236216,125563,0
"Jongler avec 40 torches en 15 secondes à Dalaran, Hurlevent, Forgefer, Orgrimmar ou Fossoyeuse.",Jongleur,,272,-1,-1,0,161,0,10,0,20,135433,124592,0
"Sauver Metzen le renne","Allez Metzen !",,273,-1,-1,0,156,1,10,0,1,236707,121351,0
"Obtenir l'Œuf d'Egbert, Willy l'Endormi et le Collier de dressage d'elekk sur un même personnage.","Nounou chevronnée",,275,-1,-1,0,163,0,50,0,7,134505,126919,0
"Pendant la fête du Voile d'hiver, porter 3 pièces des atours d'hiver et manger un gâteau aux fruits secs de Graccu.","Vive le vent d'hiver",,277,-1,-1,0,156,0,10,0,6,132934,127794,0
"Achever la quête de récupération des friandises volées des Gourmandises Fumebois et recevoir un grand merci des Gourmandises Fumebois.",A-BO-MI-NA-BLE !,,279,-1,-1,0,156,1,10,0,8,133170,131941,0
"Compétence en secourisme","Compétence en secourisme",,281,-1,-1,0,178,0,0,1,5,136243,123332,0
"Être transformé sous tous les costumes listés ci-dessous.","La grande mascarade",,283,-1,-1,0,158,0,10,0,12,236548,126093,0
"Collecter les 20 différents masques fragiles listés ci-dessous.","Un masque en toutes occasions",,284,-1,-1,0,158,0,20,0,6,133567,127773,0
"Manger tellement de bonbons farceurs que vous en attrapez mal au ventre.","Vas-y, parle !",,288,-1,-1,0,158,0,10,0,2,136182,128703,0
"Achever l'une des quêtes demandant de sauver un village du Cavalier sans tête.","Le sauveur de la Sanssaint",,289,-1,-1,0,158,1,10,0,4,236545,124872,0
"Utiliser des citrouilles de la Sanssaint lestées pour mettre des têtes de citrouilles sur chacune des races listées ci-dessous.","Attention à la tête",,291,-1,-1,0,158,0,10,0,11,133661,121461,0
"Obtenir un sprotchelin sinistre et le casque de la Sanssaint.","L'appel sinistre",,292,-1,-1,0,158,0,10,0,13,236547,121878,0
"Rassembler 3 pièces de la tenue de la fête des Brasseurs, se soûler et danser à Dalaran.",Trouble-fête,,293,571,-1,0,162,0,10,0,10,133696,123066,0
"Tuer Coren Navrebière.","Faites la fête au brasseur",,295,230,-1,0,162,0,10,0,8,134159,125135,0
"Obtenir une monture de la fête des Brasseurs ou transformer la vôtre à l'aide de houblon de la fête des Brasseurs.","Qui veut s'abreuver loin aménage sa monture",,303,-1,-1,0,162,1,10,0,11,132620,126851,0
"Gagner le concours de pêche de Baie-du-Butin ou le tournoi de pêche kalu'ak.","Maître pêcheur d'Azeroth",,306,-1,-1,0,171,1,20,0,9,133892,126797,0
,"Nombre total de morts causées par la faction adverse",,318,-1,-1,0,21,0,0,1,2,136243,125881,0
"Duels gagnés","Duels gagnés",,319,-1,-1,0,154,0,0,1,1,136243,127439,0
"Duels perdus","Duels perdus",,320,-1,-1,0,154,0,0,1,2,136243,121472,0
"Nombre total de morts en donjons et raids","Nombre total de morts en donjons et raids",,321,-1,-1,0,125,0,0,9,1,0,124571,0
"Morts sur des boss de donjons de Wrath of the Lich King","Morts sur des boss de donjons de Wrath of the Lich King",,322,-1,-1,0,125,0,0,9,6,0,124294,0
"Morts sur des boss de raids à 10 de Wrath of the Lich King","Morts sur des boss de raids à 10 de Wrath of the Lich King",,323,-1,-1,0,125,0,0,9,8,0,126559,0
"Morts sur des boss de raids à 25 de Wrath of the Lich King","Morts sur des boss de raids à 25 de Wrath of the Lich King",,324,-1,-1,0,125,0,0,9,10,0,121474,0
"Argent obtenu en récompense de quêtes","Argent obtenu en récompense de quêtes",,326,-1,-1,0,140,0,0,1,4,136243,128216,0
"Quantité totale d’argent obtenu","Quantité totale d’argent obtenu",,328,-1,-1,0,140,0,0,9,1,136243,124219,0
"Mises en vente à l’hôtel des ventes","Mises en vente à l’hôtel des ventes",,329,-1,-1,0,140,0,0,1,6,136243,128753,0
"Nombre d’achats à l’hôtel des ventes","Nombre d’achats à l’hôtel des ventes",,330,-1,-1,0,140,0,0,1,7,136243,128930,0
"Enchère la plus importante à l’hôtel des ventes","Enchère la plus importante à l’hôtel des ventes",,331,-1,-1,0,140,0,0,1,8,136243,129365,0
"Plus grosse vente à l’hôtel des ventes","Plus grosse vente à l’hôtel des ventes",,332,-1,-1,0,140,0,0,1,9,136243,124224,0
"Argent ramassé","Argent ramassé",,333,-1,-1,0,140,0,0,1,3,136243,124226,0
"Plus grande quantité d’argent possédée","Plus grande quantité d’argent possédée",,334,-1,-1,0,140,0,0,1,15,136243,124228,0
"Objets légendaires obtenus","Objets légendaires obtenus",,336,-1,-1,0,191,0,0,1,4,0,123672,0
"Mascottes possédées","Mascottes possédées",,338,-1,-1,0,191,0,0,1,6,0,124755,0
"Montures possédées","Montures possédées",,339,-1,-1,0,191,0,0,1,5,0,122250,0
"Objets épiques ramassés","Objets épiques ramassés",,341,-1,-1,0,191,0,0,1,3,0,127612,0
"Objets épiques obtenus","Objets épiques obtenus",,342,-1,-1,0,191,0,0,1,2,0,123114,0
"Bandages utilisés","Bandages utilisés",,344,-1,-1,0,145,0,0,9,1,136243,123428,0
"Potions de soins consommées","Potions de soins consommées",,345,-1,-1,0,145,0,0,9,4,136243,128755,0
"Boissons consommées","Boissons consommées",,346,-1,-1,0,145,0,0,9,16,136243,122252,0
"Denrées consommées","Denrées consommées",,347,-1,-1,0,145,0,0,9,19,136243,122443,0
"Trajets aériens empruntés","Trajets aériens empruntés",,349,-1,-1,0,134,0,0,1,1,136243,123675,0
"Portails de mages empruntés","Portails de mages empruntés",,350,-1,-1,0,134,0,0,9,3,136243,129855,0
"Nombre d’utilisations de la pierre de foyer","Nombre d’utilisations de la pierre de foyer",,353,-1,-1,0,134,0,0,1,5,136243,123802,0
"Victoires en 5c5","Victoires en 5c5",,362,-1,-1,0,152,0,0,9,4,136243,124353,0
"Matchs en 5c5","Matchs en 5c5",,363,-1,-1,0,152,0,0,9,3,136243,121809,0
"Victoires en 3c3","Victoires en 3c3",,364,-1,-1,0,152,0,0,9,6,136243,123677,0
"Matchs en 3c3","Matchs en 3c3",,365,-1,-1,0,152,0,0,9,5,136243,121815,0
"Victoires en 2c2","Victoires en 2c2",,366,-1,-1,0,152,0,0,9,8,136243,121821,0
"Matchs en 2c2","Matchs en 2c2",,367,-1,-1,0,152,0,0,9,7,136243,124359,0
,"Plus haute cote personnelle en 2c2",,370,-1,-1,0,152,0,0,1,21,136243,121827,0
,"Plus haute cote équipe en 2c2",,374,-1,-1,0,152,0,0,1,24,136243,127615,0
"Plus grand nombre de réputations exaltées","Plus grand nombre de réputations exaltées",,377,-1,-1,0,147,0,0,1,1,0,125583,0
"Plus grand nombre de réputations révérées ou supérieures","Plus grand nombre de réputations révérées ou supérieures",,378,-1,-1,0,147,0,0,1,2,0,124365,0
"Victoires honorables en extérieur","Victoires honorables en extérieur",,381,-1,-1,0,136,0,0,9,2,136243,121829,0
"Victoires honorables en champs de bataille","Victoires honorables en champs de bataille",,382,-1,-1,0,136,0,0,9,5,136243,132858,0
"Victoires honorables en arène","Victoires honorables en arène",,383,-1,-1,0,136,0,0,9,4,136243,121834,0
"Tuer 50 personnages ennemis dans n'importe laquelle de vos capitales.","Défenseur de la ville",,388,-1,1,0,95,0,10,136,17,236593,126198,0
"Obtenir le bijou Maître de l'arène dans l'arène des Gurubashi.","Maître de l'arène des Gurubashi",,389,-1,-1,0,95,1,10,0,15,133608,126888,0
"Tours de la vallée d’Alterac défendues","Tours de la vallée d’Alterac défendues",,393,-1,-1,0,153,0,0,1,17,136243,123117,0
"Tours de la vallée d’Alterac capturées","Tours de la vallée d’Alterac capturées",,394,-1,-1,0,153,0,0,1,18,136243,124433,0
"Drapeaux du goulet des Chanteguerres capturés","Drapeaux du goulet des Chanteguerres capturés",,395,-1,-1,0,153,0,0,1,20,136243,125190,0
"Achever la quête de Court John Mithril pour obtenir le bijou Grand maître de l'arène.","Grand maître de l'arène des Gurubashi",,396,-1,-1,0,95,1,10,0,16,133599,127463,0
"Gagner un match d'arène du championnat au niveau 80.","Un pied dans l'arène",,397,-1,-1,0,165,0,10,0,1,236543,121451,0
"Gagner 100 matchs d'arène du championnat au niveau 80.","Dévouement impitoyable",,398,-1,-1,397,165,0,10,0,2,236534,121453,0
"Obtenir une cote personnelle de 1550 en équipe d'arène de 2c2 au niveau 80.","Rien que nous deux : 1550",,399,-1,-1,0,165,0,10,0,6,236323,140616,0
"Obtenir une cote personnelle de 1750 en équipe d'arène de 2c2 au niveau 80.","Rien que nous deux : 1750",,400,-1,-1,399,165,0,10,0,7,236326,140618,0
"Obtenir une cote personnelle de 2000 en équipe d'arène de 2c2 au niveau 80.","Rien que nous deux : 2000",,401,-1,-1,400,165,0,10,0,8,236327,140620,0
"Obtenir une cote personnelle de 1550 en équipe d'arène de 3c3 au niveau 80.","Jamais deux sans trois : 1550",,402,-1,-1,0,165,0,10,0,10,236330,140624,0
"Obtenir une cote personnelle de 1750 en équipe d'arène de 3c3 au niveau 80.","Jamais deux sans trois : 1750",,403,-1,-1,402,165,0,10,0,11,236333,140626,0
"Obtenir une cote personnelle de 2000 en équipe d'arène de 5c5 au niveau 80.","Les cinq doigts de la main : 2000",,404,-1,-1,407,165,0,10,0,16,236341,140636,0
"Obtenir une cote personnelle de 2000 en équipe d'arène de 3c3 au niveau 80.","Jamais deux sans trois : 2000",,405,-1,-1,403,165,0,10,0,12,236334,140628,0
