Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,Criteria_tree,Shares_criteria
"Siege in den Ruinen von Lordaeron","Siege in den Ruinen von Lordaeron",,102,-1,-1,0,152,0,0,1,18,136243,127443,0
"Kämpfe im Zirkel des Blutes","Kämpfe im Zirkel des Blutes",,103,-1,-1,0,152,0,0,1,9,136243,123285,0
"Siege im Zirkel des Blutes","Siege im Zirkel des Blutes",,104,-1,-1,0,152,0,0,1,10,136243,128751,0
"Siege in der Kriegshymnenschlucht","Siege in der Kriegshymnenschlucht",,105,-1,-1,0,153,0,0,1,14,136243,121932,0
"Kreaturen getötet","Kreaturen getötet",,107,-1,-1,0,135,0,0,9,1,136243,122186,0
"Kleintiere getötet","Kleintiere getötet",,108,-1,-1,0,135,0,0,1,4,136243,123501,0
"Am häufigsten getöteter 5-Spieler-Boss in Nordend","Am häufigsten getöteter 5-Spieler-Boss in Nordend",,110,-1,-1,0,14807,0,0,17,14,0,128330,1467
"Tode durch Ertrinken","Tode durch Ertrinken",,112,-1,-1,0,126,0,0,1,1,136243,132274,0
"Tode durch Erschöpfung","Tode durch Erschöpfung",,113,-1,-1,0,126,0,0,1,3,136243,123503,0
"Tode durch Stürze","Tode durch Stürze",,114,-1,-1,0,126,0,0,1,4,136243,123075,0
"Tode durch Feuer und Lava","Tode durch Feuer und Lava",,115,-1,-1,0,126,0,0,9,5,136243,123505,0
"Werdet Geselle in einem Beruf.",Gesellenprüfung,,116,-1,-1,0,169,1,10,0,1,134327,123508,0
"Werdet Kochgeselle.",Kochgeselle,,121,-1,-1,0,170,0,10,0,1,133971,125873,0
"Werdet Expertenkoch.",Expertenkoch,,122,-1,-1,121,170,0,10,0,2,133971,121924,0
"Werdet Kochfachmann.","Der Kochfachmann",,123,-1,-1,122,170,0,10,0,3,133971,127610,0
"Werdet Meisterkoch.",Meisterkoch,,124,-1,-1,123,170,0,10,0,4,133971,123077,0
"Werdet Großmeisterkoch.",Großmeisterkoch,,125,-1,-1,124,170,0,10,0,5,133971,123520,0
"Werdet Anglergeselle.",Anglergeselle,,126,-1,-1,0,171,0,10,0,1,136245,123522,0
"Werdet Expertenangler.",Expertenangler,,127,-1,-1,126,171,0,10,0,2,136245,121934,0
"Werdet Anglerfachmann.",Anglerfachmann,,128,-1,-1,127,171,0,10,0,3,136245,123704,0
"Werdet Anglermeister.",Meisterangler,,129,-1,-1,128,171,0,10,0,4,136245,126923,0
"Werdet Anglergroßmeister.",Anglergroßmeister,,130,-1,-1,129,171,0,10,0,5,136245,121926,0
"Werdet Geselle der Ersten Hilfe.","Geselle in Erster Hilfe",,131,-1,-1,0,172,0,10,0,1,135966,123670,0
"Werdet Experte in Erster Hilfe.","Experte in Erster Hilfe",,132,-1,-1,131,172,0,10,0,2,135966,124254,0
"Werdet Fachmann in Erster Hilfe.","Fachmann in Erster Hilfe",,133,-1,-1,132,172,0,10,0,3,135966,124256,0
"Werdet Meister für Erste Hilfe.","Meister der Ersten Hilfe",,134,-1,-1,133,172,0,10,0,4,135966,123706,0
"Werdet Großmeister für Erste Hilfe.","Großmeister der Ersten Hilfe",,135,-1,-1,134,172,0,10,0,5,135966,123531,0
"Stellt 500 schwere Froststoffverbände her.","Vorrat aufstocken",,137,-1,-1,0,172,0,10,0,6,133674,122240,0
"Verbindet einen anderen Spieler oder Euch selbst bei einer Gesundheit von weniger als 5% mit einem schweren Froststoffverband.","Ultimative Triage",,141,-1,-1,0,172,0,10,0,7,134470,125433,0
"Angelt das Grauen aus der Tiefe in der Höhle des Schlangenschreins.","Das Grauen aus der Tiefe",,144,-1,-1,0,171,0,10,0,15,132107,123014,0
"Bekommt etwas in Orgrimmar und Sturmwind an den Haken.","Der angelnde Diplomat",,150,-1,-1,0,171,0,10,0,8,133146,121978,0
"Angelt erfolgreich in einem Schwarm.","Der alte Gnom und das Meer",,153,-1,-1,0,171,1,10,0,6,236573,121415,0
"Gewinnt im Arathibecken.","Sieg im Arathibecken",,154,529,-1,0,14802,0,10,0,1,236385,123277,0
"Erringt 100 Siege im Arathibecken.","Veteran des Arathibeckens",,155,529,-1,154,14802,0,10,0,2,236381,127324,0
"Gewinnt 10 Schlachten im Arathibecken, während Ihr 5 Flaggen kontrolliert.","Territoriale Vorherrschaft",,156,529,-1,0,14802,0,10,0,9,236386,123466,0
"Eilt im Arathibecken 50-mal zur Verteidigung einer Basis, indem Ihr die Flagge zurückerobert.",Rettungseinsatz,,157,529,-1,0,14802,0,10,0,7,132365,126804,0
"Erobert 50 Flaggen im Arathibecken.",Flaggenjagd,,158,529,-1,0,14802,0,10,0,4,236373,124099,0
"Gewinnt im Arathibecken in 6 Minuten.","Auf die Schnelle",,159,529,-1,0,14802,0,10,0,10,236387,124101,0
"Übersteht einen Ressourcennachteil von 500 in einem Kampf im Arathibecken und erringt den Sieg.","Zäher Sieg",,161,529,-1,0,14802,1,10,0,8,236371,125158,0
"Gewinnt im Arathibecken mit einem Vorsprung von 10 Punkten (1.600 zu 1.590).","War doch kinderleicht *hust*",,162,529,-1,0,14802,0,10,0,11,136165,124759,0
"Gewinnt im Arathibecken mit einer Punktzahl von 1.600 zu 0.",Arathibecken-Perfektion,,165,529,-1,0,14802,0,20,0,3,236348,121665,0
"Gewinnt in der Kriegshymnenschlucht.","Sieg in der Kriegshymnenschlucht",,166,489,-1,0,14804,0,10,0,1,236396,121667,0
"Erringt 100 Siege in der Kriegshymnenschlucht.","Veteran der Kriegshymnenschlucht",,167,489,-1,166,14804,0,10,0,2,236384,122230,0
"Gewinnt die Kriegshymnenschlucht mit einem Ergebnis von 3:0.",Kriegshymnenperfektion,,168,489,-1,0,14804,0,10,0,8,236397,132664,0
"Erlernte Verzauberungsformeln","Erlernte Verzauberungsformeln",,178,-1,-1,0,173,0,0,1,6,136243,121981,0
"Entzauberte Gegenstände","Entzauberte Gegenstände",,181,-1,-1,0,173,0,0,1,8,136243,124252,0
"Durch Entzaubern produzierte Materialien","Durch Entzaubern produzierte Materialien",,183,-1,-1,0,173,0,0,1,7,136243,129942,0
"Höchste gewirkte Heilung","Höchste gewirkte Heilung",,189,-1,-1,0,141,0,0,1,5,0,122232,0
"Schwerster verursachter Treffer","Schwerster verursachter Treffer",,193,-1,-1,0,141,0,0,1,1,0,122234,0
"Verursachter Schaden insgesamt","Verursachter Schaden insgesamt",,197,-1,-1,0,141,0,0,1,3,0,127441,0
"Heilung durchgeführt insgesamt","Heilung durchgeführt insgesamt",,198,-1,-1,0,141,0,0,1,7,0,121939,0
"Ergreift und erobert persönlich die Flagge in der Kriegshymnenschlucht.","Erobert die Flagge",,199,489,-1,0,14804,0,10,0,3,236350,127330,0
"Bringt als Verteidiger in der Kriegshymnenschlucht 50 Flaggen zurück.","Hartnäckiger Verteidiger",,200,489,-1,0,14804,0,10,0,4,236355,121928,0
"Gewinnt in der Kriegshymnenschlucht in weniger als 7 Minuten.","Motivation der Kriegshymne",,201,489,-1,0,14804,0,10,0,9,236398,128594,0
"Ergreift und erobert die Flagge in weniger als 75 Sekunden.","Schnelle Flagge",,202,489,1,0,14804,0,10,0,16,236353,121915,0
"Tötet in einer einzigen Schlacht in der Kriegshymnenschlucht 2 Flaggenträger, bevor sie den Flaggenraum der Silberschwingen verlassen.","Nicht in meinem Haus",,203,489,1,0,14804,0,10,0,14,236362,124561,0
"Ergreift und erobert in einer einzigen Schlacht in der Kriegshymnenschlucht die Flagge 3-mal, ohne zu sterben.","Aus Stahl",,204,489,-1,0,14804,0,10,0,10,236344,125153,0
"Tötet 100 Flaggenträger in der Kriegshymnenschlucht.","Überragender Verteidiger",,206,489,1,0,14804,0,10,0,6,236360,123493,0
"Tötet den Gegner, der Eure Flagge in den Flaggenraum des gegnerischen Teams trägt, während sich die Flagge des gegnerischen Teams unter ihrer Kontrolle in ihrer Basis befindet.","Rettet den Tag",,207,489,-1,0,14804,1,10,0,18,132308,125181,0
"Gewinnt im Auge des Sturms.","Sieg im Auge des Sturms",,208,566,-1,0,14803,0,10,0,1,236392,121714,0
"Erringt 100 Siege im Auge des Sturms.","Veteran im Auge des Sturms",,209,566,-1,208,14803,0,10,0,2,236383,121716,0
"Nehmt persönlich die Flagge in Besitz, während Euer Team 4 Basen im Auge des Sturms hält.","Stürmischer Ruhm",,211,566,-1,0,14803,0,10,0,12,236354,121718,0
"Ergreift und erobert persönlich die Flagge im Auge des Sturms.",Sturmeroberer,,212,566,-1,0,14803,0,10,0,7,236349,126970,0
"Tötet 5 Flaggenträger in einem einzigen Auge des Sturms.",Sturmtruppe,,213,566,-1,0,14803,0,10,0,6,236359,125246,0
"Gewinnt im Auge des Sturms in weniger als 6 Minuten.","Der Sturm",,214,566,-1,0,14803,0,10,0,5,236393,123380,0
"Erobert in einem einzigen Auge des Sturm-Kampfes die Flagge 3-mal, ohne zu sterben.","Für den Ruhm",,216,566,-1,0,14803,0,10,0,8,135739,127732,0
"Gewinnt im Alteractal.","Sieg im Alteractal",,218,30,-1,0,14801,0,10,0,1,236388,127320,0
"Erringt 100 Siege im Alteractal.","Veteran des Alteractals",,219,30,-1,218,14801,0,10,0,2,236382,127322,0
"Gewinnt im Alteractal ohne einen Turm oder Hauptmann zu verlieren. Ihr müsst auch sämtliche Türme der Horde kontrollieren.",Sturmlanzenperfektion,,220,30,1,0,14801,0,20,0,11,133431,124853,0
"Nehmt 50 Friedhöfe im Alteractal ein.",Alterac-Grabjäger,,221,30,-1,0,14801,0,10,0,3,236399,121895,0
"Verteidigt 50 Türme im Alteractal.",Turmverteidigung,,222,30,-1,0,14801,0,10,0,4,236351,121897,0
"Tötet einen Gegner auf dem Feld des Kampfes im Alteractal, bevor er absteigt.","Die kranke Gazelle",,223,30,-1,0,14801,0,10,0,10,236361,123668,0
"Tötet im Alteractal 50 gegnerische Spieler in der Halle der Frostwölfe.","Loyaler Verteidiger",,224,30,0,0,14801,0,10,0,5,236368,127734,0
"Gewinnt im Alteractal, während Euer Team beide Minen kontrolliert.","Alles zählt",,225,30,1,0,14801,0,10,0,7,236389,124864,0
"Gewinnt im Alteractal innerhalb von 6 Minuten.","Der Alteracblitz",,226,30,-1,0,14801,0,20,0,9,236390,126949,0
"Verursacht in einer einzigen Schlacht auf einem beliebigen Schlachtfeld 300.000 Schaden oder Heilung. Muss einen Spieler als Ziel haben.",Schadenskontrolle,,227,-1,-1,0,95,1,10,0,39,236374,122154,0
"Erringt 30 ehrenhafte Siege in einer einzigen Schlacht auf einem beliebigen Schlachtfeld.",Todesengel,,229,-1,-1,0,95,1,10,0,34,136177,124563,0
"Schließt die unten aufgelisteten Schlachtfeld-Erfolge ab.",Kampfmeister,"Bonustitel: Kampfmeister",230,-1,1,0,95,0,50,0,43,236591,127514,0
"Erreicht 20 Todesstöße in einer einzigen Schlacht auf beliebigem Schlachtfeld, ohne selbst zu sterben.",Abrisskugel,,231,-1,-1,0,95,1,10,16,40,132364,121323,0
"Erteilt einen Todesstoß, während Ihr im Auge des Sturms unter dem Stärkungszauber Berserker steht.","Blutrünstiger Berserker",,233,566,-1,0,14803,0,10,0,11,136012,124230,0
"Erringt einen ehrenhaften Sieg.","Ein ehrenhafter Sieg",,238,-1,-1,0,95,0,10,0,1,236647,124429,0
"Erringt 25.000 ehrenhafte Siege.","25.000 ehrenhafte Siege",,239,-1,-1,509,95,0,10,0,7,236657,124431,0
"Erreicht einen ehrenhaften Todesstoß gegen einen Vertreter jeder Klasse.","Klasse & Stil",,245,-1,-1,0,95,0,10,0,11,132092,123851,0
"Erringt einen ehrenhaften Todesstoß bei fünf verschiedenen Völkern.","Kenne deinen Feind",,246,-1,1,0,95,0,10,0,12,132155,127831,0
"Umarmt (/umarmen) einen toten Gegner, bevor der Geist freigelassen wird.","Make Love, Not Warcraft",,247,-1,-1,0,95,0,10,0,14,135767,125261,0
"Findet das weiße Smokinghemd und die schwarze Smokinghose, indem Ihr die bunt gefärbten Eier während des Nobelgartenfests öffnet.","Smoking und Häschen",,248,-1,-1,0,159,0,10,0,4,135012,126292,0
"Entdeckt ein elegantes Kleid, indem Ihr die bunt gefärbten Eier während des Nobelgartenfests öffnet.","Dem Anlass entsprechend gekleidet",,249,-1,-1,0,159,0,10,0,5,132645,126802,0
"Erringt 50 ehrenhafte Siege als kleiner Helfer der Winterwundervolt-Maschine.","Kleiner Helfer in der Not",,252,-1,-1,0,156,0,10,136,2,236703,125839,0
"Tötet den kopflosen Reiter.","Bringt mir den Kopf von... Oh, wartet mal",,255,-1,-1,0,158,0,10,0,3,134015,121889,0
"Werft während des Winterhauchfests einen Schneeball auf Cairne Bluthuf.","Mitten ins Gesicht",,259,-1,0,0,156,1,10,0,3,132387,121371,0
"Stellt 12 hübsche Glücksbringerarmreife her.",Glücksbringer,,260,-1,-1,0,187,0,10,0,2,133334,123330,0
"Tötet Ahune in den Sklavenunterkünften.","Legt den Frostfürsten auf Eis",,263,-1,-1,0,161,1,10,0,1,135861,125253,0
"Tanzt 60 Sekunden lang am Sonnenbaum, während Ihr das komplette Sonnenwendset tragt.","Feuriger Sonnenbaumtanz",,271,-1,-1,0,161,0,10,0,2,236216,125563,0
"Jongliert in Dalaran, Sturmwind, Eisenschmiede, Orgrimmar oder Unterstadt 40 Fackeln in 15 Sekunden.",Fackeljongleur,,272,-1,-1,0,161,0,10,0,20,135433,124592,0
"Rettet Metzen das Rentier.","Auf Metzen!",,273,-1,-1,0,156,1,10,0,1,236707,121351,0
"Erhaltet das Ei des Kolumbus, den schläfrigen Willy und das Elekkhalsband mit einem Charakter.",Tierhüterveteran,,275,-1,-1,0,163,0,50,0,7,134505,126919,0
"Zieht Euch während des Winterhauchfests 3 Winterkleidungsstücke an und esst Graccus hausgemachte Früchtepastete.","Alle Jahre wieder",,277,-1,-1,0,156,0,10,0,6,132934,127794,0
"Schließt die Quest zur Wiederbeschaffung von Kokelwälders gestohlenen Leckereien ab und erhaltet ein Dankeschön von Kokelwälder.","Einfach grässlich",,279,-1,-1,0,156,1,10,0,8,133170,131941,0
Erste-Hilfe-Fertigkeit,Erste-Hilfe-Fertigkeit,,281,-1,-1,0,178,0,0,1,5,136243,123332,0
"Lasst Euch von den unten aufgelisteten Stäben der Verwandlung transformieren.","Die Maskerade",,283,-1,-1,0,158,0,10,0,12,236548,126093,0
"Sammelt die 20 unten aufgelisteten einzigartigen leichten Masken.","Eine Maske für jede Gelegenheit",,284,-1,-1,0,158,0,20,0,6,133567,127773,0
"Esst so viele Süßigkeiten, dass Ihr Bauchschmerzen bekommt.","Raus damit",,288,-1,-1,0,158,0,10,0,2,136182,128703,0
"Schließt eine der Quests zum Erretten eines Dorfes vor dem kopflosen Reiter ab.","Held der Schlotternächte",,289,-1,-1,0,158,1,10,0,4,236545,124872,0
"Benutzt gewichtige Kürbislaternen, um Kürbisköpfe auf jede der unten aufgelisteten Völker zu setzen.",Kopfschmuck,,291,-1,-1,0,158,0,10,0,11,133661,121461,0
"Erhaltet ein Gruselkürbis-Haustier und einen Gruselhelm.","Finstere Berufung",,292,-1,-1,0,158,0,10,0,13,236547,121878,0
"Zieht Euch 3 Braufestkleidungsstücke an, sorgt dafür, dass Ihr sternhagelvoll seid, und tanzt in Dalaran.","Öffentliche Ruhestörung",,293,571,-1,0,162,0,10,0,10,133696,123066,0
"Tötet Coren Düsterbräu.",Düsterbräufest,,295,230,-1,0,162,0,10,0,8,134159,125135,0
"Erhaltet ein Braufestreittier, oder verwandelt Euer Reittier in eines, indem Ihr Braufesthopfen verwendet.","Hab' ein Fass, jetzt will ich reisen",,303,-1,-1,0,162,1,10,0,11,132620,126851,0
"Gewinnt den Angelwettbewerb in der Beutebucht oder den Angelwettstreit der Kalu'ak.","Meisterangler von Azeroth",,306,-1,-1,0,171,1,20,0,9,133892,126797,0
,"Gesamtzahl der Tode durch die gegnerische Fraktion",,318,-1,-1,0,21,0,0,1,2,136243,125881,0
"Duelle gewonnen","Duelle gewonnen",,319,-1,-1,0,154,0,0,1,1,136243,127439,0
"Duelle verloren","Duelle verloren",,320,-1,-1,0,154,0,0,1,2,136243,121472,0
"Tode in Schlachtzügen und Dungeons insgesamt","Tode in Schlachtzügen und Dungeons insgesamt",,321,-1,-1,0,125,0,0,9,1,0,124571,0
"Tode durch Dungeonbosse insgesamt in Nordend","Tode durch Dungeonbosse insgesamt in Nordend",,322,-1,-1,0,125,0,0,9,6,0,124294,0
"Den Titel ""Kriegsfürst(in)"" erhalten.",Kriegsfürst(in),,445,-1,0,0,81,0,0,0,97,236624,122010,0
"Tode durch 10-Spieler-Schlachtzugsbosse insgesamt in Nordend","Tode durch 10-Spieler-Schlachtzugsbosse insgesamt in Nordend",,323,-1,-1,0,125,0,0,9,8,0,126559,0
"Tode durch 25-Spieler-Schlachtzugsbosse insgesamt in Nordend","Tode durch 25-Spieler-Schlachtzugsbosse insgesamt in Nordend",,324,-1,-1,0,125,0,0,9,10,0,121474,0
"Durch Questbelohnungen erhaltenes Gold","Durch Questbelohnungen erhaltenes Gold",,326,-1,-1,0,140,0,0,1,4,136243,128216,0
"Erhaltenes Gold insgesamt","Erhaltenes Gold insgesamt",,328,-1,-1,0,140,0,0,9,1,136243,124219,0
"Erstellte Auktionen","Erstellte Auktionen",,329,-1,-1,0,140,0,0,1,6,136243,128753,0
Auktionserwerbungen,Auktionserwerbungen,,330,-1,-1,0,140,0,0,1,7,136243,128930,0
"Höchstes Gebot auf eine Auktion","Höchstes Gebot auf eine Auktion",,331,-1,-1,0,140,0,0,1,8,136243,129365,0
"Teuerste verkaufte Auktion","Teuerste verkaufte Auktion",,332,-1,-1,0,140,0,0,1,9,136243,124224,0
"Geplündertes Gold","Geplündertes Gold",,333,-1,-1,0,140,0,0,1,3,136243,124226,0
"Die größte Menge jemals besessenen Goldes","Die größte Menge jemals besessenen Goldes",,334,-1,-1,0,140,0,0,1,15,136243,124228,0
"Erhaltene Legendäre Gegenstände","Erhaltene Legendäre Gegenstände",,336,-1,-1,0,191,0,0,1,4,0,123672,0
"Anzahl der besessenen Haustiere","Anzahl der besessenen Haustiere",,338,-1,-1,0,191,0,0,1,6,0,124755,0
"Reittiere besessen","Reittiere besessen",,339,-1,-1,0,191,0,0,1,5,0,122250,0
"Geplünderte epische Gegenstände","Geplünderte epische Gegenstände",,341,-1,-1,0,191,0,0,1,3,0,127612,0
"Erhaltene epische Gegenstände","Erhaltene epische Gegenstände",,342,-1,-1,0,191,0,0,1,2,0,123114,0
"Angelegte Verbände","Angelegte Verbände",,344,-1,-1,0,145,0,0,9,1,136243,123428,0
"Heiltränke verbraucht","Heiltränke verbraucht",,345,-1,-1,0,145,0,0,9,4,136243,128755,0
"Getränke verbraucht","Getränke verbraucht",,346,-1,-1,0,145,0,0,9,16,136243,122252,0
"Nahrung konsumiert","Nahrung konsumiert",,347,-1,-1,0,145,0,0,9,19,136243,122443,0
"Bereiste Flugrouten","Bereiste Flugrouten",,349,-1,-1,0,134,0,0,1,1,136243,123675,0
"Benutzte Magierportale","Benutzte Magierportale",,350,-1,-1,0,134,0,0,9,3,136243,129855,0
"Anzahl der Nutzungen des Ruhesteins","Anzahl der Nutzungen des Ruhesteins",,353,-1,-1,0,134,0,0,1,5,136243,123802,0
5vs5-Siege,5vs5-Siege,,362,-1,-1,0,152,0,0,9,4,136243,124353,0
5vs5-Kämpfe,5vs5-Kämpfe,,363,-1,-1,0,152,0,0,9,3,136243,121809,0
3vs3-Siege,3vs3-Siege,,364,-1,-1,0,152,0,0,9,6,136243,123677,0
3vs3-Kämpfe,3vs3-Kämpfe,,365,-1,-1,0,152,0,0,9,5,136243,121815,0
2vs2-Siege,2vs2-Siege,,366,-1,-1,0,152,0,0,9,8,136243,121821,0
2vs2-Kämpfe,2vs2-Kämpfe,,367,-1,-1,0,152,0,0,9,7,136243,124359,0
,"Höchste persönliche 2-Spieler-Wertung",,370,-1,-1,0,152,0,0,1,21,136243,121827,0
,"Höchste 2-Spieler-Teamwertung",,374,-1,-1,0,152,0,0,1,24,136243,127615,0
"Höchste Anzahl Fraktionen auf Ehrfürchtig","Höchste Anzahl Fraktionen auf Ehrfürchtig",,377,-1,-1,0,147,0,0,1,1,0,125583,0
"Höchste Anzahl Fraktionen auf Respektvoll oder höher","Höchste Anzahl Fraktionen auf Respektvoll oder höher",,378,-1,-1,0,147,0,0,1,2,0,124365,0
"Weltweite ehrenhafte Siege","Weltweite ehrenhafte Siege",,381,-1,-1,0,136,0,0,9,2,136243,121829,0
"Ehrenhafte Siege auf Schlachtfeldern","Ehrenhafte Siege auf Schlachtfeldern",,382,-1,-1,0,136,0,0,9,5,136243,132858,0
"Ehrenhafte Siege in Arenen","Ehrenhafte Siege in Arenen",,383,-1,-1,0,136,0,0,9,4,136243,121834,0
"Erledigt 50 gegnerische Spieler in einer Eurer Heimatstädte.",Stadtverteidiger,,388,-1,1,0,95,0,10,136,17,236593,126198,0
"Plündert den Schmuck des Arenameisters in der Arena der Gurubashi.","Gurubashi Arenameister",,389,-1,-1,0,95,1,10,0,15,133608,126888,0
"Im Alteractal verteidigte Türme","Im Alteractal verteidigte Türme",,393,-1,-1,0,153,0,0,1,17,136243,123117,0
"Im Alteractal eingenommene Türme","Im Alteractal eingenommene Türme",,394,-1,-1,0,153,0,0,1,18,136243,124433,0
"In der Kriegshymnenschlucht eingenommene Flaggen","In der Kriegshymnenschlucht eingenommene Flaggen",,395,-1,-1,0,153,0,0,1,20,136243,125190,0
"Schließt die Quest von Störtebrecher ab, um den Schmuck des Arenagroßmeisters zu erhalten.","Gurubashi Arenagroßmeister",,396,-1,-1,0,95,1,10,0,16,133599,127463,0
"Gewinnt einen gewerteten Arenakampf auf Stufe 80.","Die Arena betreten",,397,-1,-1,0,165,0,10,0,1,236543,121451,0
"Gewinnt 100 gewertete Arenakämpfe auf Stufe 80.","Gnadenlos ehrgeizig",,398,-1,-1,397,165,0,10,0,2,236534,121453,0
